,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000000_RGB.png,"[960.0, 504.0, 1.0]","[996.0000000000001, 474.0, 1.0]","[930.0, 474.0, 1.0]","[1038.0, 504.0, 1.0]","[888.0, 504.0, 1.0]","[1110.0, 678.0, 1.0]","[828.0, 672.0, 1.0]","[1152.0, 912.0, 1.0]","[768.0, 894.0, 1.0]","[1146.0, 936.0, 0.0]","[846.0, 1056.0, 0.0]","[1056.0, 1020.0, 0.0]","[852.0, 1080.0, 0.0]","[1170.0, 954.0, 0.0]","[822.0, 900.0, 0.0]","[1170.0, 983.9999999999999, 0.0]","[840.0, 1080.0, 0.0]","[2.5627895160213554, -2.3534561949372206, 0.65968334148921]","[0.02711187714972848, 9.911696692721668, -0.8806472330616044]"
1,1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000001_RGB.png,"[966.0, 516.0, 1.0]","[1002.0, 480.0, 1.0]","[930.0, 480.0, 1.0]","[1038.0, 504.0, 1.0]","[888.0, 504.0, 1.0]","[1110.0, 684.0, 1.0]","[828.0, 672.0, 1.0]","[1158.0, 906.0, 1.0]","[762.0, 894.0, 1.0]","[1116.0, 1050.0, 0.0]","[834.0, 1026.0, 0.0]","[1056.0, 1020.0, 0.0]","[893.9999999999999, 1020.0, 0.0]","[1086.0, 918.0, 0.0]","[834.0, 978.0, 0.0]","[1170.0, 972.0, 0.0]","[840.0, 1074.0, 0.0]","[5.331577567398635, -2.1257759070490745, 0.7387457200137482]","[0.07173420118902099, 11.444148610330332, -0.09343495951609715]"
2,2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000002_RGB.png,"[966.0, 522.0, 1.0]","[1002.0, 491.99999999999994, 1.0]","[930.0, 491.99999999999994, 1.0]","[1038.0, 510.0, 1.0]","[888.0, 504.0, 1.0]","[1110.0, 684.0, 1.0]","[822.0, 684.0, 1.0]","[1158.0, 912.0, 1.0]","[762.0, 894.0, 1.0]","[1116.0, 954.0, 0.0]","[834.0, 1050.0, 0.0]","[1008.0, 1074.0, 0.0]","[858.0, 1050.0, 0.0]","[1164.0, 906.0, 0.0]","[804.0, 906.0, 0.0]","[828.0, 1080.0, 0.0]","[834.0, 1080.0, 0.0]","[7.465106877265151, -1.9606301526199768, 0.7373710289240607]","[-1.5706264068774254, 11.551588715761612, -0.9040189495631464]"
3,3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000003_RGB.png,"[966.0, 540.0, 1.0]","[1002.0, 504.0, 1.0]","[930.0, 504.0, 1.0]","[1044.0, 522.0, 1.0]","[893.9999999999999, 528.0, 1.0]","[1110.0, 702.0, 1.0]","[822.0, 684.0, 1.0]","[1164.0, 918.0, 1.0]","[762.0, 888.0, 1.0]","[1098.0, 1032.0, 0.0]","[846.0, 1032.0, 0.0]","[1050.0, 1032.0, 0.0]","[888.0, 1026.0, 0.0]","[918.0, 1074.0, 0.0]","[816.0, 906.0, 0.0]","[840.0, 1074.0, 0.0]","[846.0, 1074.0, 0.0]","[9.789596006544437, -1.7664967733347858, 0.5995208080441901]","[0.3474544760382559, 14.311617026461013, 0.30709564993210386]"
4,4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000004_RGB.png,"[966.0, 546.0, 1.0]","[1002.0, 510.0, 1.0]","[930.0, 510.0, 1.0]","[1050.0, 528.0, 1.0]","[888.0, 522.0, 1.0]","[1110.0, 702.0, 1.0]","[822.0, 684.0, 1.0]","[1158.0, 912.0, 1.0]","[756.0, 900.0, 1.0]","[1110.0, 1026.0, 0.0]","[828.0, 1026.0, 0.0]","[1050.0, 1038.0, 0.0]","[893.9999999999999, 1038.0, 0.0]","[1176.0, 954.0, 0.0]","[810.0, 900.0, 0.0]","[1170.0, 983.9999999999999, 0.0]","[912.0, 1080.0, 0.0]","[12.290331299155742, -1.5588663236009155, 0.46399383110067194]","[0.24284060656540662, 15.643371655774283, 0.27372030268118225]"
5,5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000005_RGB.png,"[966.0, 558.0, 1.0]","[1002.0, 516.0, 1.0]","[930.0, 516.0, 1.0]","[1044.0, 534.0, 1.0]","[893.9999999999999, 528.0, 1.0]","[1110.0, 708.0, 1.0]","[822.0, 690.0, 1.0]","[1164.0, 918.0, 1.0]","[750.0, 894.0, 1.0]","[1092.0, 1013.9999999999999, 0.0]","[834.0, 1013.9999999999999, 0.0]","[1044.0, 1026.0, 0.0]","[858.0, 1020.0, 0.0]","[810.0, 882.0, 0.0]","[810.0, 888.0, 0.0]","[1164.0, 954.0, 0.0]","[852.0, 1068.0, 0.0]","[13.580685107953814, -1.4734438987240277, 0.389455790518527]","[0.37298212456131635, 18.306196592954084, 0.39679734927383137]"
6,6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000006_RGB.png,"[960.0, 576.0, 1.0]","[1002.0, 534.0, 1.0]","[936.0, 534.0, 1.0]","[1044.0, 540.0, 1.0]","[888.0, 540.0, 1.0]","[1128.0, 726.0, 1.0]","[816.0, 708.0, 1.0]","[1164.0, 924.0, 1.0]","[756.0, 894.0, 1.0]","[1098.0, 1013.9999999999999, 0.0]","[840.0, 1044.0, 0.0]","[1038.0, 1032.0, 0.0]","[906.0, 1032.0, 0.0]","[906.0, 1080.0, 0.0]","[810.0, 906.0, 0.0]","[906.0, 1080.0, 0.0]","[906.0, 1080.0, 0.0]","[14.9016808044085, -1.4598338372032749, 0.371089606679577]","[-0.1357652546685857, 18.006456111936075, 0.40122718151611736]"
7,7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000007_RGB.png,"[960.0, 582.0, 1.0]","[1002.0, 540.0, 1.0]","[930.0, 540.0, 1.0]","[1050.0, 540.0, 1.0]","[888.0, 546.0, 1.0]","[1128.0, 726.0, 1.0]","[810.0, 714.0, 1.0]","[1164.0, 930.0, 1.0]","[750.0, 906.0, 1.0]","[1092.0, 1044.0, 0.0]","[858.0, 1080.0, 0.0]","[1014.0, 1080.0, 0.0]","[906.0, 1026.0, 0.0]","[906.0, 1080.0, 0.0]","[900.0, 1080.0, 0.0]","[906.0, 1080.0, 0.0]","[906.0, 1080.0, 0.0]","[16.248429055882564, -1.358530754419108, 0.4385631980330094]","[-0.6353838182979838, 17.895170635139067, 0.39426889440170126]"
8,8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000008_RGB.png,"[966.0, 606.0, 1.0]","[996.0000000000001, 570.0, 1.0]","[930.0, 564.0, 1.0]","[1050.0, 564.0, 1.0]","[888.0, 564.0, 1.0]","[1122.0, 732.0, 1.0]","[810.0, 726.0, 1.0]","[1170.0, 924.0, 1.0]","[750.0, 906.0, 1.0]","[1146.0, 942.0, 0.0]","[852.0, 1080.0, 0.0]","[906.0, 1080.0, 0.0]","[888.0, 1080.0, 0.0]","[900.0, 1080.0, 0.0]","[798.0, 906.0, 0.0]","[893.9999999999999, 1080.0, 0.0]","[900.0, 1080.0, 0.0]","[19.986484382683837, -0.9403682568629366, 0.4869848654171293]","[0.42142189973013106, 24.093592984304287, 1.1851907381235425]"
9,9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000009_RGB.png,"[966.0, 618.0, 1.0]","[1002.0, 582.0, 1.0]","[930.0, 576.0, 1.0]","[1056.0, 576.0, 1.0]","[888.0, 570.0, 1.0]","[1128.0, 744.0, 1.0]","[810.0, 732.0, 1.0]","[1164.0, 924.0, 1.0]","[750.0, 912.0, 1.0]","[1044.0, 1056.0, 0.0]","[846.0, 1080.0, 0.0]","[1002.0, 1080.0, 0.0]","[893.9999999999999, 1080.0, 0.0]","[906.0, 1080.0, 0.0]","[893.9999999999999, 1080.0, 0.0]","[828.0, 1080.0, 0.0]","[888.0, 1080.0, 0.0]","[23.39807210685344, -0.6009938900079594, 0.44291593924713357]","[0.028474854463957613, 24.030111330695583, 1.365805551631506]"
