,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_2_ID16/RGB/000000_RGB.png,"[984.0, 510.0, 1.0]","[1002.0, 480.0, 1.0]","[960.0, 480.0, 1.0]","[1038.0, 498.00000000000006, 1.0]","[912.0, 498.00000000000006, 1.0]","[1098.0, 624.0, 1.0]","[852.0, 648.0, 1.0]","[1152.0, 804.0, 1.0]","[804.0, 834.0, 1.0]","[1116.0, 816.0, 0.0]","[816.0, 720.0, 1.0]","[1068.0, 978.0, 1.0]","[906.0, 936.0, 1.0]","[1050.0, 1080.0, 0.0]","[893.9999999999999, 1080.0, 0.0]","[1110.0, 798.0, 0.0]","[1122.0, 1080.0, 0.0]","[4.436003099872003, -0.4514126458291268, 1.4945108760136712]","[2.5158331165685053, 8.960957738787897, -0.23586144351894367]"
1,1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_2_ID16/RGB/000001_RGB.png,"[978.0, 510.0, 1.0]","[1002.0, 480.0, 1.0]","[954.0, 480.0, 1.0]","[1038.0, 491.99999999999994, 1.0]","[918.0, 498.00000000000006, 0.0]","[1098.0, 624.0, 1.0]","[852.0, 648.0, 1.0]","[1164.0, 780.0, 1.0]","[798.0, 822.0, 1.0]","[1152.0, 798.0, 0.0]","[810.0, 756.0, 0.0]","[1074.0, 966.0000000000001, 1.0]","[918.0, 936.0, 1.0]","[1050.0, 1080.0, 0.0]","[888.0, 1080.0, 0.0]","[1170.0, 1008.0, 0.0]","[906.0, 983.9999999999999, 0.0]","[5.292133778377329, -0.28933502558662616, 0.8342002398692886]","[3.240109103787604, 8.470007342505792, -0.30802729895886183]"
2,2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_2_ID16/RGB/000002_RGB.png,"[978.0, 504.0, 1.0]","[1002.0, 480.0, 1.0]","[954.0, 486.0, 1.0]","[1032.0, 491.99999999999994, 1.0]","[912.0, 498.00000000000006, 0.0]","[1092.0, 624.0, 1.0]","[858.0, 642.0, 1.0]","[1146.0, 786.0, 1.0]","[792.0, 816.0, 1.0]","[1140.0, 804.0, 0.0]","[798.0, 780.0, 1.0]","[1068.0, 930.0, 1.0]","[912.0, 942.0, 1.0]","[1158.0, 983.9999999999999, 0.0]","[893.9999999999999, 1008.0, 0.0]","[912.0, 1002.0, 0.0]","[846.0, 990.0, 0.0]","[5.3178546733803, -0.22451127010707672, 0.5106833520301041]","[3.844178244823027, 7.998039638094062, -0.5470759315487369]"
3,3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_2_ID16/RGB/000003_RGB.png,"[978.0, 510.0, 1.0]","[1002.0, 480.0, 1.0]","[942.0, 480.0, 1.0]","[1038.0, 498.00000000000006, 1.0]","[906.0, 498.00000000000006, 1.0]","[1098.0, 630.0, 1.0]","[870.0, 636.0, 1.0]","[1158.0, 798.0, 1.0]","[792.0, 828.0, 0.0]","[1152.0, 744.0, 0.0]","[786.0, 816.0, 1.0]","[1068.0, 948.0, 1.0]","[900.0, 942.0, 0.0]","[1074.0, 1086.0, 0.0]","[870.0, 1086.0, 0.0]","[816.0, 1086.0, 0.0]","[816.0, 1086.0, 0.0]","[5.15049111660458, -0.267888622481735, 0.24971403473287984]","[4.175041470998422, 7.845871160143969, -0.7630360194113421]"
4,4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_2_ID16/RGB/000004_RGB.png,"[972.0, 504.0, 1.0]","[996.0000000000001, 480.0, 1.0]","[948.0, 474.0, 1.0]","[1044.0, 491.99999999999994, 1.0]","[906.0, 498.00000000000006, 1.0]","[1104.0, 624.0, 1.0]","[858.0, 636.0, 1.0]","[1152.0, 792.0, 1.0]","[780.0, 816.0, 1.0]","[1182.0000000000002, 804.0, 1.0]","[774.0, 822.0, 1.0]","[1068.0, 948.0, 1.0]","[893.9999999999999, 942.0, 1.0]","[1086.0, 1092.0, 0.0]","[870.0, 1080.0, 0.0]","[792.0, 1002.0, 0.0]","[792.0, 1062.0, 0.0]","[4.52148287872967, -0.22204497852091634, -0.62714700310556]","[3.9616667304740223, 7.856552619890648, -0.9188063163116936]"
5,5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_2_ID16/RGB/000005_RGB.png,"[966.0, 504.0, 1.0]","[990.0, 480.0, 1.0]","[948.0, 480.0, 1.0]","[1026.0, 498.00000000000006, 1.0]","[912.0, 491.99999999999994, 1.0]","[1098.0, 624.0, 1.0]","[846.0, 642.0, 1.0]","[1158.0, 786.0, 1.0]","[798.0, 804.0, 1.0]","[1164.0, 906.0, 0.0]","[762.0, 894.0, 1.0]","[1086.0, 936.0, 1.0]","[912.0, 936.0, 1.0]","[1098.0, 1062.0, 0.0]","[912.0, 918.0, 0.0]","[1182.0000000000002, 1002.0, 0.0]","[732.0, 978.0, 0.0]","[3.996390903183556, -0.13515145718923346, -1.3155633146906258]","[3.521998234683986, 7.716092358914108, -1.1899204864320143]"
6,6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_2_ID16/RGB/000006_RGB.png,"[966.0, 510.0, 1.0]","[990.0, 480.0, 1.0]","[948.0, 480.0, 1.0]","[1026.0, 498.00000000000006, 1.0]","[906.0, 498.00000000000006, 1.0]","[1098.0, 624.0, 1.0]","[852.0, 642.0, 1.0]","[1158.0, 798.0, 1.0]","[780.0, 882.0, 0.0]","[1194.0, 930.0, 0.0]","[750.0, 930.0, 0.0]","[1086.0, 936.0, 1.0]","[893.9999999999999, 936.0, 1.0]","[1188.0, 1080.0, 0.0]","[906.0, 912.0, 0.0]","[1182.0000000000002, 1080.0, 0.0]","[756.0, 918.0, 0.0]","[3.377044036049933, 0.304132691407354, -2.124471500837005]","[3.30164239047981, 7.62565650129253, -1.3160246796014168]"
7,7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_2_ID16/RGB/000007_RGB.png,"[966.0, 504.0, 1.0]","[990.0, 474.0, 1.0]","[936.0, 480.0, 1.0]","[1026.0, 491.99999999999994, 1.0]","[900.0, 498.00000000000006, 1.0]","[1092.0, 624.0, 1.0]","[846.0, 642.0, 1.0]","[1164.0, 792.0, 1.0]","[774.0, 894.0, 1.0]","[1194.0, 996.0000000000001, 0.0]","[834.0, 924.0, 0.0]","[1062.0, 966.0000000000001, 1.0]","[918.0, 930.0, 1.0]","[1128.0, 1080.0, 0.0]","[858.0, 900.0, 0.0]","[1218.0, 1080.0, 0.0]","[1206.0, 1080.0, 0.0]","[2.9688580251701264, 0.5255128809900477, -2.752200056958715]","[2.2922426686135773, 6.9562766324229575, -1.494467630660412]"
8,8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_2_ID16/RGB/000008_RGB.png,"[960.0, 504.0, 1.0]","[984.0, 480.0, 1.0]","[930.0, 480.0, 1.0]","[1020.0, 491.99999999999994, 1.0]","[893.9999999999999, 498.00000000000006, 1.0]","[1092.0, 630.0, 1.0]","[858.0, 642.0, 1.0]","[1152.0, 810.0, 1.0]","[792.0, 840.0, 1.0]","[1194.0, 1013.9999999999999, 0.0]","[762.0, 1020.0, 0.0]","[1062.0, 972.0, 1.0]","[888.0, 972.0, 1.0]","[1152.0, 1056.0, 0.0]","[714.0, 990.0, 0.0]","[1176.0, 1062.0, 0.0]","[702.0, 1080.0, 0.0]","[1.626269225710364, 0.4482361494254934, -3.8573249111108368]","[2.0282063004475184, 6.683071866583443, -1.5986647860766308]"
9,9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_2_ID16/RGB/000009_RGB.png,"[954.0, 504.0, 1.0]","[978.0, 480.0, 1.0]","[936.0, 474.0, 1.0]","[1026.0, 491.99999999999994, 1.0]","[893.9999999999999, 498.00000000000006, 1.0]","[1092.0, 624.0, 1.0]","[852.0, 642.0, 1.0]","[1146.0, 804.0, 1.0]","[786.0, 852.0, 1.0]","[1188.0, 1020.0, 0.0]","[762.0, 1026.0, 0.0]","[1062.0, 954.0, 1.0]","[893.9999999999999, 960.0, 1.0]","[1086.0, 1080.0, 0.0]","[726.0000000000001, 1074.0, 0.0]","[1176.0, 1080.0, 0.0]","[726.0000000000001, 1080.0, 0.0]","[1.0193049879486098, -0.09663124674260405, -4.128785008624194]","[1.6635183992862743, 6.411449247683357, -1.6281024202746806]"
