,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/18/base_1_ID18/RGB/000000_RGB.png,"[972.0, 474.0, 1.0]","[990.0, 450.0, 1.0]","[948.0, 456.0, 1.0]","[1032.0, 474.0, 1.0]","[912.0, 474.0, 1.0]","[1110.0, 642.0, 1.0]","[846.0, 642.0, 1.0]","[1188.0, 816.0, 1.0]","[774.0, 804.0, 1.0]","[1146.0, 912.0, 1.0]","[816.0, 918.0, 1.0]","[1080.0, 948.0, 1.0]","[900.0, 948.0, 1.0]","[1164.0, 972.0, 0.0]","[912.0, 1068.0, 0.0]","[1170.0, 948.0, 0.0]","[1104.0, 1068.0, 0.0]","[-3.2988384610295403, 1.2261696081354236, -0.2968565895018186]","[3.983055683603323, -25.32287198325389, -1.100463181428852]"
1,1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/18/base_1_ID18/RGB/000001_RGB.png,"[972.0, 480.0, 1.0]","[990.0, 456.0, 1.0]","[948.0, 456.0, 1.0]","[1032.0, 474.0, 1.0]","[912.0, 474.0, 1.0]","[1104.0, 636.0, 1.0]","[846.0, 642.0, 1.0]","[1182.0000000000002, 816.0, 1.0]","[774.0, 804.0, 1.0]","[1146.0, 918.0, 1.0]","[816.0, 924.0, 1.0]","[1074.0, 954.0, 1.0]","[900.0, 954.0, 1.0]","[1116.0, 1068.0, 0.0]","[918.0, 1068.0, 0.0]","[1164.0, 948.0, 0.0]","[1152.0, 948.0, 0.0]","[-3.1835358064985138, 1.25634614365602, -0.30303792938531027]","[3.975276297694033, -25.318328697297293, -1.1016101378333254]"
2,2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/18/base_1_ID18/RGB/000002_RGB.png,"[972.0, 474.0, 1.0]","[990.0, 450.0, 1.0]","[948.0, 456.0, 1.0]","[1032.0, 474.0, 1.0]","[912.0, 474.0, 1.0]","[1110.0, 642.0, 1.0]","[846.0, 642.0, 1.0]","[1188.0, 810.0, 1.0]","[774.0, 804.0, 1.0]","[1152.0, 912.0, 1.0]","[816.0, 918.0, 1.0]","[1080.0, 948.0, 1.0]","[900.0, 954.0, 1.0]","[1116.0, 1068.0, 0.0]","[918.0, 1068.0, 0.0]","[1170.0, 948.0, 0.0]","[1098.0, 1068.0, 0.0]","[-3.126483387436621, 1.3136699953825546, -0.28107644042842567]","[3.9900574475680313, -25.322375823706267, -1.1011090939293022]"
3,3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/18/base_1_ID18/RGB/000003_RGB.png,"[972.0, 474.0, 1.0]","[990.0, 450.0, 1.0]","[948.0, 456.0, 1.0]","[1032.0, 474.0, 1.0]","[912.0, 474.0, 1.0]","[1110.0, 642.0, 1.0]","[846.0, 642.0, 1.0]","[1188.0, 810.0, 1.0]","[774.0, 798.0, 1.0]","[1152.0, 912.0, 1.0]","[816.0, 918.0, 1.0]","[1080.0, 948.0, 1.0]","[900.0, 954.0, 1.0]","[1164.0, 972.0, 0.0]","[906.0, 1068.0, 0.0]","[1170.0, 954.0, 0.0]","[828.0, 954.0, 0.0]","[-3.0985013085195545, 1.3303828138616731, -0.3072220036656786]","[3.8951406263330544, -25.27207826035072, -1.0449564335026538]"
4,4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/18/base_1_ID18/RGB/000004_RGB.png,"[972.0, 474.0, 1.0]","[990.0, 456.0, 1.0]","[948.0, 456.0, 1.0]","[1032.0, 474.0, 1.0]","[912.0, 480.0, 1.0]","[1110.0, 636.0, 1.0]","[846.0, 642.0, 1.0]","[1188.0, 810.0, 1.0]","[774.0, 798.0, 1.0]","[1152.0, 918.0, 1.0]","[816.0, 918.0, 1.0]","[1074.0, 948.0, 1.0]","[900.0, 948.0, 1.0]","[1122.0, 1068.0, 0.0]","[912.0, 1068.0, 0.0]","[1164.0, 954.0, 0.0]","[1098.0, 1068.0, 0.0]","[-3.0861644237613173, 1.3511860566374785, -0.3475757137865081]","[3.9137644750564364, -25.281523373113394, -1.049585096283801]"
5,5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/18/base_1_ID18/RGB/000005_RGB.png,"[972.0, 480.0, 1.0]","[990.0, 456.0, 1.0]","[954.0, 456.0, 1.0]","[1032.0, 474.0, 1.0]","[912.0, 474.0, 1.0]","[1104.0, 636.0, 1.0]","[846.0, 642.0, 1.0]","[1182.0000000000002, 816.0, 1.0]","[774.0, 804.0, 1.0]","[1146.0, 918.0, 1.0]","[810.0, 924.0, 1.0]","[1074.0, 948.0, 1.0]","[900.0, 948.0, 1.0]","[1116.0, 1068.0, 0.0]","[912.0, 1068.0, 0.0]","[1164.0, 948.0, 0.0]","[1098.0, 1068.0, 0.0]","[-3.0998928011838123, 1.3484488586567676, -0.34681541639705926]","[3.929408805691057, -25.2848838221902, -1.0604921879892022]"
6,6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/18/base_1_ID18/RGB/000006_RGB.png,"[972.0, 474.0, 1.0]","[990.0, 456.0, 1.0]","[948.0, 456.0, 1.0]","[1032.0, 474.0, 1.0]","[912.0, 474.0, 1.0]","[1110.0, 642.0, 1.0]","[846.0, 642.0, 1.0]","[1188.0, 810.0, 1.0]","[774.0, 798.0, 1.0]","[1152.0, 912.0, 1.0]","[816.0, 918.0, 1.0]","[1074.0, 948.0, 1.0]","[900.0, 948.0, 1.0]","[1164.0, 972.0, 0.0]","[906.0, 1068.0, 0.0]","[1170.0, 948.0, 0.0]","[1098.0, 1068.0, 0.0]","[-3.1018884421433084, 1.3620676321648337, -0.324615982804661]","[3.9403104427017466, -25.280969869935273, -1.0667226422416023]"
7,7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/18/base_1_ID18/RGB/000007_RGB.png,"[972.0, 480.0, 1.0]","[996.0000000000001, 456.0, 1.0]","[948.0, 462.0, 1.0]","[1032.0, 474.0, 1.0]","[912.0, 480.0, 1.0]","[1104.0, 636.0, 1.0]","[846.0, 642.0, 1.0]","[1182.0000000000002, 810.0, 1.0]","[774.0, 804.0, 1.0]","[1146.0, 912.0, 1.0]","[816.0, 918.0, 1.0]","[1074.0, 942.0, 1.0]","[900.0, 948.0, 1.0]","[1110.0, 1062.0, 0.0]","[900.0, 1062.0, 0.0]","[1158.0, 942.0, 0.0]","[828.0, 948.0, 0.0]","[-3.0875822098540033, 1.382483220535314, -0.3074310557528197]","[3.9413304898398485, -25.286552186216916, -1.065652560351423]"
8,8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/18/base_1_ID18/RGB/000008_RGB.png,"[972.0, 480.0, 1.0]","[990.0, 456.0, 1.0]","[954.0, 456.0, 1.0]","[1032.0, 474.0, 1.0]","[912.0, 474.0, 1.0]","[1104.0, 636.0, 1.0]","[846.0, 642.0, 1.0]","[1182.0000000000002, 816.0, 1.0]","[774.0, 804.0, 1.0]","[1146.0, 918.0, 1.0]","[816.0, 924.0, 1.0]","[1074.0, 948.0, 1.0]","[900.0, 948.0, 1.0]","[1116.0, 1068.0, 0.0]","[906.0, 1068.0, 0.0]","[1164.0, 948.0, 0.0]","[1152.0, 948.0, 0.0]","[-3.0723983217228947, 1.4206972853242485, -0.26405486445970705]","[3.9661086298223966, -25.28794498448124, -1.0803167861894074]"
9,9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/18/base_1_ID18/RGB/000009_RGB.png,"[972.0, 474.0, 1.0]","[990.0, 450.0, 1.0]","[948.0, 456.0, 1.0]","[1032.0, 474.0, 1.0]","[912.0, 474.0, 1.0]","[1110.0, 636.0, 1.0]","[846.0, 642.0, 1.0]","[1188.0, 810.0, 1.0]","[774.0, 798.0, 1.0]","[1152.0, 912.0, 1.0]","[816.0, 918.0, 1.0]","[1080.0, 942.0, 1.0]","[900.0, 948.0, 1.0]","[1164.0, 978.0, 0.0]","[906.0, 1068.0, 0.0]","[1170.0, 954.0, 0.0]","[1098.0, 1068.0, 0.0]","[-3.087292945763613, 1.42470334591425, -0.25631209830579454]","[3.9692341337869057, -25.295620478344098, -1.0820426307914397]"
