,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000000_RGB.png,"[948.0, 510.0, 1.0]","[966.0, 491.99999999999994, 1.0]","[924.0, 491.99999999999994, 1.0]","[1002.0, 510.0, 1.0]","[893.9999999999999, 516.0, 1.0]","[1044.0, 660.0, 1.0]","[840.0, 660.0, 1.0]","[1092.0, 858.0, 1.0]","[786.0, 840.0, 1.0]","[1008.0, 966.0000000000001, 1.0]","[888.0, 972.0, 1.0]","[1008.0, 954.0, 0.0]","[900.0, 996.0000000000001, 0.0]","[948.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[936.0, 1068.0, 0.0]","[924.0, 1068.0, 0.0]","[-8.32312154931035, -1.3464137623743886, 0.6898386899465555]","[-0.6532963058030238, -9.959712829400083, 2.11404162037712]"
1,1,1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000001_RGB.png,"[948.0, 504.0, 1.0]","[966.0, 486.0, 1.0]","[930.0, 491.99999999999994, 1.0]","[996.0000000000001, 504.0, 1.0]","[893.9999999999999, 516.0, 1.0]","[1044.0, 654.0, 1.0]","[840.0, 654.0, 1.0]","[1098.0, 858.0, 1.0]","[786.0, 834.0, 1.0]","[1002.0, 966.0000000000001, 1.0]","[888.0, 972.0, 1.0]","[1014.0, 996.0000000000001, 0.0]","[893.9999999999999, 996.0000000000001, 0.0]","[942.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[936.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[-11.68324679531912, -1.8687879506792533, 0.8752349140711643]","[-0.5345161218911866, -9.773616675155878, 1.77832264842594]"
2,2,2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000002_RGB.png,"[948.0, 504.0, 1.0]","[966.0, 486.0, 1.0]","[930.0, 486.0, 1.0]","[1002.0, 510.0, 1.0]","[893.9999999999999, 510.0, 1.0]","[1044.0, 648.0, 1.0]","[840.0, 648.0, 1.0]","[1092.0, 852.0, 1.0]","[786.0, 834.0, 1.0]","[1008.0, 966.0000000000001, 1.0]","[888.0, 966.0000000000001, 1.0]","[1014.0, 954.0, 0.0]","[900.0, 996.0000000000001, 0.0]","[954.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[936.0, 1068.0, 0.0]","[924.0, 1068.0, 0.0]","[-12.486367487576398, -2.0580683761113554, 0.8862326800210722]","[-0.5083748860616436, -9.675737835129917, 1.546938224275588]"
3,3,3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000003_RGB.png,"[948.0, 504.0, 1.0]","[972.0, 480.0, 1.0]","[930.0, 486.0, 1.0]","[1002.0, 498.00000000000006, 0.0]","[893.9999999999999, 510.0, 0.0]","[1044.0, 654.0, 1.0]","[840.0, 654.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1008.0, 972.0, 1.0]","[888.0, 972.0, 1.0]","[1008.0, 983.9999999999999, 0.0]","[900.0, 996.0000000000001, 0.0]","[1044.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[942.0, 1068.0, 0.0]","[924.0, 1068.0, 0.0]","[-13.720200626489808, -2.4691176475964904, 0.8102147997000895]","[-0.22826430640262108, -9.669825751436111, 1.0702294178760212]"
4,4,4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000004_RGB.png,"[948.0, 504.0, 1.0]","[972.0, 486.0, 1.0]","[930.0, 486.0, 1.0]","[1002.0, 498.00000000000006, 0.0]","[893.9999999999999, 510.0, 0.0]","[1044.0, 654.0, 1.0]","[840.0, 660.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1008.0, 966.0000000000001, 1.0]","[888.0, 966.0000000000001, 1.0]","[1020.0, 983.9999999999999, 0.0]","[900.0, 996.0000000000001, 0.0]","[948.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[936.0, 1068.0, 0.0]","[924.0, 1068.0, 0.0]","[-13.522872758778432, -2.4749148189599524, 0.7856779944352849]","[0.539263961507744, -10.001904567215732, 1.074538373572431]"
5,5,5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000005_RGB.png,"[948.0, 504.0, 1.0]","[972.0, 486.0, 1.0]","[930.0, 486.0, 1.0]","[1002.0, 504.0, 1.0]","[893.9999999999999, 510.0, 0.0]","[1050.0, 660.0, 1.0]","[840.0, 654.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1008.0, 972.0, 1.0]","[888.0, 966.0000000000001, 1.0]","[1014.0, 983.9999999999999, 0.0]","[900.0, 996.0000000000001, 0.0]","[1038.0, 1080.0, 0.0]","[924.0, 1080.0, 0.0]","[942.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[-13.07275915820398, -2.471207111523636, 0.7443764246423017]","[0.2940078625143132, -9.909381473439659, 1.7918543232377844]"
6,6,6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000006_RGB.png,"[948.0, 504.0, 1.0]","[966.0, 486.0, 1.0]","[930.0, 486.0, 1.0]","[1002.0, 504.0, 1.0]","[893.9999999999999, 510.0, 1.0]","[1044.0, 654.0, 1.0]","[846.0, 654.0, 1.0]","[1098.0, 852.0, 1.0]","[792.0, 834.0, 1.0]","[1008.0, 966.0000000000001, 1.0]","[888.0, 966.0000000000001, 1.0]","[1008.0, 983.9999999999999, 0.0]","[893.9999999999999, 990.0, 0.0]","[948.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[936.0, 1068.0, 0.0]","[924.0, 1068.0, 0.0]","[-11.983400679297155, -2.4186758806482755, 0.6841866247092531]","[0.19575718972493703, -9.866846352923886, 1.7774767206583066]"
7,7,7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000007_RGB.png,"[948.0, 504.0, 1.0]","[966.0, 491.99999999999994, 1.0]","[924.0, 491.99999999999994, 1.0]","[1002.0, 510.0, 1.0]","[893.9999999999999, 510.0, 1.0]","[1050.0, 654.0, 1.0]","[846.0, 654.0, 1.0]","[1092.0, 852.0, 1.0]","[786.0, 840.0, 1.0]","[1014.0, 966.0000000000001, 1.0]","[888.0, 966.0000000000001, 1.0]","[1008.0, 983.9999999999999, 0.0]","[893.9999999999999, 990.0, 0.0]","[954.0, 1080.0, 0.0]","[912.0, 1080.0, 0.0]","[942.0, 1068.0, 0.0]","[924.0, 1068.0, 0.0]","[-10.332154990184668, -2.380361308051417, 0.6138525865247163]","[-0.018963581504996465, -9.84092388011335, 1.6248586667727312]"
8,8,8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000008_RGB.png,"[948.0, 504.0, 1.0]","[972.0, 491.99999999999994, 1.0]","[930.0, 491.99999999999994, 1.0]","[1002.0, 504.0, 1.0]","[893.9999999999999, 510.0, 0.0]","[1044.0, 660.0, 1.0]","[840.0, 654.0, 1.0]","[1092.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1008.0, 966.0000000000001, 1.0]","[893.9999999999999, 966.0000000000001, 1.0]","[1014.0, 983.9999999999999, 0.0]","[893.9999999999999, 996.0000000000001, 0.0]","[954.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[942.0, 1068.0, 0.0]","[876.0, 1074.0, 0.0]","[-8.817678695786196, -2.3030897039600045, 0.5856520806609379]","[-0.0707113598924026, -9.795529175524514, 1.4906302472591628]"
9,9,9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000009_RGB.png,"[948.0, 510.0, 1.0]","[966.0, 491.99999999999994, 1.0]","[930.0, 491.99999999999994, 1.0]","[1002.0, 516.0, 1.0]","[893.9999999999999, 516.0, 1.0]","[1044.0, 654.0, 1.0]","[846.0, 654.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1002.0, 966.0000000000001, 1.0]","[888.0, 972.0, 1.0]","[1014.0, 990.0, 0.0]","[888.0, 996.0000000000001, 0.0]","[954.0, 1080.0, 0.0]","[912.0, 1080.0, 0.0]","[936.0, 1074.0, 0.0]","[924.0, 1074.0, 0.0]","[-8.225898521457031, -2.2590643375556, 0.5796985503082727]","[-0.12188059483990728, -9.804417124244715, 1.4257880003902867]"
10,10,10,10,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000010_RGB.png,"[948.0, 516.0, 1.0]","[966.0, 491.99999999999994, 1.0]","[930.0, 491.99999999999994, 1.0]","[1002.0, 516.0, 1.0]","[893.9999999999999, 522.0, 1.0]","[1044.0, 660.0, 1.0]","[846.0, 654.0, 1.0]","[1098.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1002.0, 966.0000000000001, 1.0]","[888.0, 972.0, 1.0]","[1020.0, 983.9999999999999, 0.0]","[893.9999999999999, 996.0000000000001, 0.0]","[954.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[936.0, 1068.0, 0.0]","[924.0, 1074.0, 0.0]","[-7.213038761824546, -2.15891927259442, 0.5612138061426579]","[-0.2747590210917477, -9.82900507466353, 1.5689894647025264]"
11,11,11,11,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000011_RGB.png,"[942.0, 510.0, 1.0]","[966.0, 491.99999999999994, 1.0]","[924.0, 498.00000000000006, 1.0]","[1002.0, 510.0, 1.0]","[893.9999999999999, 516.0, 1.0]","[1050.0, 660.0, 1.0]","[840.0, 654.0, 1.0]","[1092.0, 858.0, 1.0]","[792.0, 840.0, 1.0]","[1008.0, 966.0000000000001, 1.0]","[888.0, 966.0000000000001, 1.0]","[1020.0, 983.9999999999999, 1.0]","[893.9999999999999, 996.0000000000001, 0.0]","[1038.0, 1080.0, 0.0]","[918.0, 1080.0, 0.0]","[948.0, 1068.0, 0.0]","[924.0, 1068.0, 0.0]","[-2.372465988652208, -1.7483997993414369, 0.6700369761240259]","[-0.30850507803267324, -9.854490646943473, 1.6125602829934593]"
12,12,12,12,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_1_ID22/RGB/000012_RGB.png,"[942.0, 516.0, 1.0]","[966.0, 498.00000000000006, 1.0]","[924.0, 498.00000000000006, 1.0]","[1002.0, 516.0, 1.0]","[893.9999999999999, 522.0, 1.0]","[1044.0, 660.0, 1.0]","[846.0, 654.0, 1.0]","[1098.0, 864.0, 1.0]","[792.0, 840.0, 1.0]","[1002.0, 966.0000000000001, 1.0]","[888.0, 972.0, 1.0]","[1020.0, 983.9999999999999, 1.0]","[888.0, 996.0000000000001, 0.0]","[954.0, 1080.0, 0.0]","[912.0, 1080.0, 0.0]","[942.0, 1074.0, 0.0]","[876.0, 1080.0, 0.0]","[-0.3338687825762475, -1.5093326693854148, 0.7101323116832488]","[-0.3642743647012007, -9.831958404439483, 1.4240477522366661]"
