,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/base_2_ID10/RGB/000000_RGB.png,"[975, 434, 0.7839567]","[1000, 412, 0.90738624]","[951, 411, 0.89678186]","[1032, 433, 0.8697136]","[915, 431, 0.83129644]","[1094, 587, 0.9408397]","[845, 584, 0.95827115]","[1161, 768, 0.9619124]","[791, 770, 0.96909976]","[1188, 882, 0.84965366]","[760, 884, 0.9027558]","[1061, 908, 0.94241345]","[894, 913, 0.94704074]","[1225, 1070, 0.29773778]","[728, 1072, 0.26084518]","[1165, 1084, 0.1]","[740, 1088, 0.1]","[-1.1917285704568934, 1.1118514438275635, 1.7611223102204874]","[4.153209887163233, -13.464401589357005, 1.1133063634687612]"
1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/base_2_ID10/RGB/000001_RGB.png,"[975, 433, 0.79134077]","[1000, 412, 0.90812045]","[951, 411, 0.896479]","[1032, 432, 0.8780627]","[915, 432, 0.82538575]","[1094, 587, 0.94300306]","[844, 585, 0.95973134]","[1160, 768, 0.9617028]","[790, 771, 0.96906865]","[1188, 882, 0.84490085]","[759, 885, 0.9098647]","[1061, 908, 0.9426503]","[894, 913, 0.94709843]","[1225, 1070, 0.30122757]","[730, 1072, 0.23137474]","[1164, 1087, 0.1]","[737, 1090, 0.1]","[-1.3358189081671943, 1.24307875716305, 1.4671600934953895]","[4.220403905154305, -13.498680456418557, 1.1133072513614868]"
2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/base_2_ID10/RGB/000002_RGB.png,"[975, 433, 0.78258896]","[999, 412, 0.9098127]","[950, 411, 0.8965086]","[1031, 433, 0.8730853]","[915, 431, 0.8300508]","[1094, 588, 0.94485724]","[844, 585, 0.96143955]","[1161, 770, 0.96420455]","[790, 771, 0.9694129]","[1188, 882, 0.85245186]","[760, 884, 0.9149203]","[1061, 908, 0.9447443]","[894, 912, 0.9485455]","[1224, 1069, 0.2976435]","[729, 1072, 0.28586787]","[1165, 1085, 0.1]","[740, 1089, 0.1]","[-1.3812189550388878, 1.2637563601107866, 1.2806862334460294]","[3.31891181280752, -13.047572051278026, 1.3425556637784888]"
3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/base_2_ID10/RGB/000003_RGB.png,"[975, 433, 0.7752555]","[999, 412, 0.91062844]","[950, 411, 0.8950518]","[1031, 432, 0.87919325]","[915, 431, 0.82775486]","[1094, 588, 0.94409966]","[844, 585, 0.9608739]","[1160, 770, 0.96624076]","[790, 771, 0.97003365]","[1188, 883, 0.8439545]","[760, 885, 0.9143503]","[1060, 908, 0.9442891]","[894, 912, 0.9498629]","[1230, 1069, 0.30645862]","[729, 1072, 0.2651577]","[1164, 1081, 0.1]","[739, 1087, 0.1]","[-1.3982581698267518, 1.4047816717631034, 0.7410882246498455]","[2.8625416524312315, -12.834379102366835, 1.454687964680515]"
4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/base_2_ID10/RGB/000004_RGB.png,"[975, 433, 0.79077715]","[999, 411, 0.91319275]","[950, 411, 0.8936721]","[1031, 432, 0.8891443]","[914, 430, 0.8389271]","[1094, 588, 0.9420202]","[844, 585, 0.9593643]","[1161, 770, 0.9649403]","[790, 771, 0.9705565]","[1189, 883, 0.8524578]","[760, 885, 0.9201125]","[1061, 908, 0.94594306]","[894, 913, 0.9504938]","[1223, 1069, 0.30432087]","[729, 1071, 0.30831847]","[1159, 1078, 0.1]","[746, 1084, 0.1]","[-1.365360484995985, 1.5473825651128945, 0.17867597030192864]","[2.280303331601922, -12.574919457370934, 1.6320965014087827]"
5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/base_2_ID10/RGB/000005_RGB.png,"[973, 433, 0.8206713]","[997, 411, 0.91154057]","[948, 411, 0.8846767]","[1031, 432, 0.89513344]","[914, 430, 0.8412287]","[1093, 588, 0.9427105]","[843, 585, 0.96273464]","[1161, 769, 0.9644098]","[790, 771, 0.9702923]","[1190, 880, 0.87126577]","[760, 884, 0.9116347]","[1061, 906, 0.94644]","[894, 912, 0.95215344]","[1226, 1070, 0.29332146]","[728, 1072, 0.27302256]","[1164, 1082, 0.1]","[740, 1088, 0.1]","[-1.3050894212844628, 1.690007204166876, -0.5598945481903439]","[2.567757655417383, -12.718539524953583, 1.5915470184060427]"
6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/base_2_ID10/RGB/000006_RGB.png,"[972, 433, 0.83378524]","[996, 411, 0.90942425]","[947, 411, 0.8759595]","[1031, 432, 0.8995899]","[913, 431, 0.8403935]","[1094, 588, 0.94189405]","[843, 585, 0.9607948]","[1161, 769, 0.96512735]","[790, 771, 0.9711834]","[1189, 882, 0.86234385]","[759, 885, 0.9104372]","[1061, 908, 0.94595975]","[895, 913, 0.9487571]","[1229, 1068, 0.30578765]","[729, 1072, 0.28240734]","[1162, 1082, 0.1]","[745, 1088, 0.1]","[-1.29577826065279, 1.7705051647818448, -1.6698831974409662]","[2.6781005005996046, -12.775708961354146, 1.5822617775563659]"
7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/base_2_ID10/RGB/000007_RGB.png,"[968, 433, 0.8394194]","[993, 411, 0.8788116]","[944, 412, 0.8244743]","[1029, 433, 0.8979353]","[913, 431, 0.801511]","[1093, 588, 0.9414121]","[844, 584, 0.96061677]","[1162, 769, 0.96499836]","[790, 771, 0.9711258]","[1193, 885, 0.87304145]","[760, 885, 0.9129369]","[1059, 908, 0.94771683]","[894, 913, 0.95023704]","[1225, 1070, 0.31244662]","[728, 1073, 0.25445032]","[1160, 1087, 0.1]","[745, 1093, 0.1]","[-1.5238815804960755, 2.0626982079256098, -3.3562905848661133]","[2.617880861509614, -12.834796850484029, 1.6343073063557385]"
8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/base_2_ID10/RGB/000008_RGB.png,"[965, 433, 0.843869]","[991, 411, 0.8594583]","[943, 412, 0.841008]","[1029, 433, 0.902729]","[913, 433, 0.7902991]","[1093, 589, 0.9459526]","[844, 584, 0.9625841]","[1165, 772, 0.9643177]","[790, 770, 0.9715388]","[1193, 886, 0.88032925]","[760, 885, 0.9137999]","[1060, 909, 0.94748545]","[895, 913, 0.9521818]","[1230, 1068, 0.32767156]","[729, 1072, 0.25551003]","[1164, 1090, 0.1]","[744, 1095, 0.1]","[-1.5228107138085847, 2.1932048651415608, -4.17356435696688]","[2.566519885143108, -12.84314052832023, 1.6659821261430343]"
9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/base_2_ID10/RGB/000009_RGB.png,"[963, 433, 0.8028721]","[989, 411, 0.84960854]","[941, 412, 0.8667565]","[1028, 433, 0.90208656]","[913, 432, 0.7629991]","[1093, 588, 0.946524]","[844, 584, 0.9630725]","[1166, 773, 0.9639457]","[790, 771, 0.97237194]","[1193, 886, 0.89156145]","[760, 884, 0.9101098]","[1060, 910, 0.94775766]","[894, 914, 0.95110244]","[1230, 1068, 0.31579536]","[728, 1072, 0.26591897]","[1166, 1087, 0.1]","[745, 1093, 0.1]","[-1.4127186853995244, 2.411259760497546, -5.31418997097173]","[2.712456318384996, -12.628792257734839, 1.5896106721748129]"
