,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/free_1_ID10/RGB/000000_RGB.png,"[987, 392, 0.89853543]","[1018, 367, 0.9118491]","[956, 365, 0.90120375]","[1057, 397, 0.9155788]","[910, 390, 0.8974438]","[1125, 581, 0.96801907]","[829, 576, 0.98047966]","[1216, 795, 0.9812871]","[762, 802, 0.98517954]","[1423, 873, 0.9843599]","[576, 875, 0.97167486]","[1082, 989, 0.95901453]","[883, 996, 0.97166926]","[1241, 1099, 0.1]","[747, 1137, 0.1]","[1193, 1012, 0.1]","[775, 1039, 0.1]","[-0.2732605380269593, -0.05309945932432598, 0.723778623113489]","[3.7896542072339123, 0.6856319093795233, 0.7654247104064803]"
1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/free_1_ID10/RGB/000001_RGB.png,"[987, 392, 0.8999199]","[1018, 367, 0.91524184]","[955, 366, 0.90593183]","[1057, 397, 0.90765685]","[910, 390, 0.89660555]","[1125, 581, 0.9663398]","[829, 576, 0.9811554]","[1215, 794, 0.97957456]","[762, 801, 0.985501]","[1424, 873, 0.98629516]","[577, 875, 0.9711048]","[1082, 989, 0.9604586]","[880, 996, 0.9723255]","[1242, 1096, 0.1]","[748, 1135, 0.1]","[1193, 1010, 0.1]","[778, 1038, 0.1]","[-0.2117468027624231, -0.03834254118994544, 0.7819968381788863]","[3.780151580818166, 0.6430065607195333, 0.7825449465885923]"
2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/free_1_ID10/RGB/000002_RGB.png,"[986, 392, 0.89926]","[1017, 367, 0.9152585]","[955, 366, 0.9096497]","[1056, 397, 0.9009611]","[910, 390, 0.9031738]","[1125, 581, 0.96898353]","[829, 576, 0.98111844]","[1215, 794, 0.9795693]","[761, 802, 0.9864092]","[1423, 872, 0.9847505]","[576, 874, 0.9735649]","[1082, 989, 0.9587317]","[880, 996, 0.9722006]","[1241, 1099, 0.1]","[747, 1136, 0.1]","[1192, 1011, 0.1]","[779, 1038, 0.1]","[-0.19695730983532186, -0.031764104090776145, 0.7958270244496658]","[3.7683892649278192, 0.5772764007267106, 0.7977716605434417]"
3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/free_1_ID10/RGB/000003_RGB.png,"[986, 392, 0.90180284]","[1017, 366, 0.91989356]","[955, 366, 0.91012096]","[1056, 396, 0.8875219]","[910, 390, 0.9032111]","[1125, 581, 0.96807545]","[829, 576, 0.97994477]","[1215, 795, 0.9795075]","[761, 804, 0.9866812]","[1423, 872, 0.9856957]","[575, 874, 0.97255474]","[1082, 989, 0.95930266]","[880, 996, 0.9702368]","[1240, 1097, 0.1]","[746, 1135, 0.1]","[1191, 1012, 0.1]","[776, 1038, 0.1]","[-0.19621156280737848, -0.02001375155221263, 0.8315406809838538]","[3.781020294026507, 0.5578730350440342, 0.8049246733256297]"
4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/free_1_ID10/RGB/000004_RGB.png,"[986, 392, 0.90374666]","[1017, 366, 0.91926473]","[955, 366, 0.9097279]","[1056, 395, 0.87850046]","[910, 390, 0.9012686]","[1125, 581, 0.97008175]","[829, 576, 0.9808203]","[1215, 793, 0.97830385]","[760, 805, 0.9868328]","[1422, 872, 0.98510873]","[575, 875, 0.973974]","[1081, 989, 0.9585614]","[880, 996, 0.97231764]","[1239, 1099, 0.1]","[746, 1137, 0.1]","[1192, 1010, 0.1]","[777, 1037, 0.1]","[-0.16901300181712572, 0.04408296778089804, 0.8200966369223373]","[3.795096000459778, 0.5136962687143279, 0.8052015120786989]"
5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/free_1_ID10/RGB/000005_RGB.png,"[986, 392, 0.9056281]","[1017, 366, 0.92324865]","[955, 365, 0.91254973]","[1055, 393, 0.8487453]","[910, 390, 0.89990467]","[1125, 581, 0.9697864]","[829, 577, 0.9804917]","[1215, 794, 0.9784314]","[761, 802, 0.9863707]","[1422, 871, 0.9833015]","[575, 875, 0.97309315]","[1082, 991, 0.95834076]","[880, 997, 0.97150946]","[1242, 1099, 0.1]","[745, 1138, 0.1]","[1190, 1011, 0.1]","[774, 1038, 0.1]","[-0.2526518643318129, 0.08436165379607966, 0.8394292568095554]","[3.8628598504592317, 0.5278565348180247, 0.7493270113460566]"
6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/free_1_ID10/RGB/000006_RGB.png,"[986, 392, 0.9042243]","[1017, 366, 0.92663586]","[955, 365, 0.9111968]","[1055, 393, 0.8405762]","[910, 390, 0.9040599]","[1125, 581, 0.96871763]","[829, 576, 0.98031354]","[1215, 794, 0.9788975]","[761, 802, 0.98574114]","[1423, 870, 0.982211]","[576, 875, 0.9750883]","[1082, 990, 0.95704496]","[879, 996, 0.9716128]","[1241, 1099, 0.1]","[744, 1136, 0.1]","[1193, 1010, 0.1]","[775, 1037, 0.1]","[-0.3290589833954801, 0.1302183223579033, 0.8799391764802134]","[3.9323190298733457, 0.5253024006907094, 0.7057191832012124]"
7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/free_1_ID10/RGB/000007_RGB.png,"[986, 392, 0.9047223]","[1017, 366, 0.92415]","[955, 365, 0.91044885]","[1055, 392, 0.8664777]","[909, 391, 0.9064507]","[1125, 580, 0.96818095]","[829, 576, 0.98108953]","[1215, 793, 0.978185]","[761, 803, 0.9864306]","[1423, 870, 0.98278284]","[576, 875, 0.9724763]","[1082, 990, 0.9572762]","[880, 996, 0.9716]","[1241, 1101, 0.1]","[743, 1139, 0.1]","[1191, 1010, 0.1]","[773, 1036, 0.1]","[-0.4171626523420616, 0.1612142203499615, 0.8745065718031992]","[3.8910818855502924, 0.48450650758064534, 0.7269450199373001]"
8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/free_1_ID10/RGB/000008_RGB.png,"[986, 392, 0.9065652]","[1016, 366, 0.9282656]","[954, 365, 0.91315836]","[1055, 391, 0.8595391]","[909, 391, 0.91026086]","[1126, 580, 0.96887565]","[829, 577, 0.980723]","[1215, 793, 0.97850627]","[761, 803, 0.98663676]","[1423, 870, 0.9842596]","[576, 875, 0.97335654]","[1082, 989, 0.9574766]","[879, 996, 0.9721203]","[1240, 1101, 0.1]","[743, 1138, 0.1]","[1188, 1011, 0.1]","[771, 1037, 0.1]","[-0.48832164744652173, 0.20400006689309946, 0.8516335174175049]","[3.869069999701485, 0.45452222988389474, 0.7360280378245616]"
9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/10/free_1_ID10/RGB/000009_RGB.png,"[986, 392, 0.9079497]","[1016, 366, 0.93186164]","[954, 366, 0.9157172]","[1055, 391, 0.86117595]","[910, 391, 0.9144093]","[1125, 580, 0.9699446]","[829, 576, 0.98069733]","[1214, 793, 0.9796139]","[761, 803, 0.98648655]","[1423, 870, 0.98257387]","[576, 874, 0.9729246]","[1082, 989, 0.9573279]","[879, 996, 0.97174984]","[1239, 1101, 0.1]","[743, 1139, 0.1]","[1184, 1013, 0.1]","[772, 1038, 0.1]","[-0.5596302056208926, 0.2402482174332919, 0.8214224372144368]","[3.858611431626578, 0.3951163268447843, 0.738990158934913]"
