,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/06/base_1_ID06/RGB/000000_RGB.png,"[466.6376037597656, 552.2642211914062, 0.6956983208656311]","[453.7280578613281, 569.2793579101562, 0.5679822564125061]","[451.5066223144531, 537.285888671875, 0.5835814476013184]","[473.3863830566406, 589.9873046875, 0.3967231214046478]","[465.84130859375, 516.5339965820312, 0.7913949489593506]","[548.2943115234375, 626.0090942382812, 0.7443221211433411]","[551.1436767578125, 474.6742248535156, 0.8181501030921936]","[676.7244262695312, 636.2647094726562, 0.582717776298523]","[676.8771362304688, 455.6015319824219, 0.5887562036514282]","[773.6973266601562, 581.6425170898438, 0.3152211308479309]","[786.491455078125, 513.2382202148438, 0.49744677543640137]","[775.1422729492188, 600.42529296875, 0.4817400276660919]","[770.7780151367188, 500.9429626464844, 0.5747438073158264]","[829.34326171875, 641.6804809570312, 0.1984991729259491]","[830.861572265625, 455.04547119140625, 0.1069648340344429]","[821.0184326171875, 567.7213134765625, 0.10310981422662735]","[822.9386596679688, 481.44061279296875, 0.0918055921792984]","[2.37747098954566, -2.0428647837724956, 0.17122564617958166]","[5.457051347891812, 5.61108807083711, 1.065026991377841]"
1,1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/06/base_1_ID06/RGB/000001_RGB.png,"[466.4350891113281, 552.8703002929688, 0.7025538086891174]","[453.5657653808594, 569.7120971679688, 0.5686137676239014]","[451.28955078125, 537.7630615234375, 0.5664292573928833]","[472.9156494140625, 590.0810546875, 0.38425886631011963]","[465.75885009765625, 516.7723388671875, 0.7931824922561646]","[548.7957153320312, 625.7274169921875, 0.7283340692520142]","[550.8458862304688, 474.89141845703125, 0.8204020857810974]","[676.3167114257812, 636.04443359375, 0.6003369688987732]","[676.4873046875, 456.0910949707031, 0.6021620035171509]","[773.4255981445312, 581.6997680664062, 0.3206191062927246]","[785.351318359375, 513.6337280273438, 0.4893607199192047]","[776.3436279296875, 599.9013061523438, 0.4683518409729004]","[771.6298217773438, 500.6794738769531, 0.5751950740814209]","[829.7487182617188, 642.1583862304688, 0.1883089542388916]","[831.5926513671875, 454.5711364746094, 0.1143152192234993]","[821.2532958984375, 568.0262451171875, 0.09816891700029373]","[823.4614868164062, 480.5885009765625, 0.08823138475418091]","[2.4118167806964217, -2.0569456745898878, 0.1368528776434057]","[5.463443663098177, 5.594628274869557, 1.079699776668462]"
2,2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/06/base_1_ID06/RGB/000002_RGB.png,"[465.89093017578125, 552.20751953125, 0.6982012987136841]","[453.3136291503906, 569.1592407226562, 0.5751688480377197]","[451.22930908203125, 537.3682250976562, 0.5804447531700134]","[473.08013916015625, 589.9097290039062, 0.38242465257644653]","[466.1897277832031, 516.5708618164062, 0.7907359600067139]","[548.2481689453125, 625.9472045898438, 0.7399367094039917]","[551.3866577148438, 474.39691162109375, 0.8189063668251038]","[677.22900390625, 636.0889282226562, 0.5950771570205688]","[677.0540161132812, 455.84307861328125, 0.5780840516090393]","[774.0512084960938, 581.3695068359375, 0.30215731263160706]","[786.12841796875, 511.82147216796875, 0.5003080368041992]","[776.974853515625, 600.355224609375, 0.4669731557369232]","[772.3796997070312, 500.5508728027344, 0.5758004784584045]","[829.4292602539062, 642.1141967773438, 0.17952470481395721]","[830.8419189453125, 455.1400451660156, 0.1098301038146019]","[822.5430297851562, 567.3355712890625, 0.0933518037199974]","[823.6929321289062, 481.00909423828125, 0.08823011815547943]","[2.442449176078621, -2.1167264846041824, 0.07847377284078759]","[5.476680107294187, 5.590872017711862, 1.0841987177106396]"
3,3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/06/base_1_ID06/RGB/000003_RGB.png,"[466.2124328613281, 552.5516967773438, 0.7005816698074341]","[453.3923645019531, 569.3870849609375, 0.5645402669906616]","[451.3212890625, 537.5686645507812, 0.574329674243927]","[472.8871154785156, 590.0657958984375, 0.37799203395843506]","[465.9293518066406, 516.9511108398438, 0.787560760974884]","[548.455078125, 626.0136108398438, 0.7380521297454834]","[550.91064453125, 474.9929504394531, 0.8211964964866638]","[677.435546875, 635.9204711914062, 0.5810828804969788]","[676.7184448242188, 455.41455078125, 0.5704585313796997]","[773.0658569335938, 581.976806640625, 0.3199763596057892]","[785.7540893554688, 512.2111206054688, 0.4957805871963501]","[775.105224609375, 600.3121337890625, 0.4744114577770233]","[770.6329956054688, 500.3141174316406, 0.5705212354660034]","[830.4185791015625, 642.4160766601562, 0.19779914617538452]","[831.1627807617188, 455.0169677734375, 0.11583071947097778]","[821.072265625, 568.0869750976562, 0.09750931710004807]","[822.8167724609375, 480.9008483886719, 0.08891691267490387]","[2.44608424399967, -2.127076883640066, 0.08215968991361045]","[5.486874828543946, 5.613408193238416, 1.0952385218161644]"
4,4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/06/base_1_ID06/RGB/000004_RGB.png,"[465.9556884765625, 552.552490234375, 0.6910138726234436]","[453.3490295410156, 569.5812377929688, 0.5627602338790894]","[451.02349853515625, 537.7120971679688, 0.5624381899833679]","[472.9856262207031, 589.8838500976562, 0.37569475173950195]","[465.5122375488281, 516.622314453125, 0.7920224666595459]","[548.0226440429688, 626.0408325195312, 0.7466996312141418]","[551.6116333007812, 474.41741943359375, 0.8249108791351318]","[676.6561279296875, 636.0213623046875, 0.5877624750137329]","[676.7871704101562, 455.7188415527344, 0.5967088937759399]","[773.8011474609375, 581.7957153320312, 0.3154475688934326]","[785.9301147460938, 512.2779541015625, 0.5012176036834717]","[776.8936157226562, 600.1530151367188, 0.40572527050971985]","[771.4982299804688, 501.6216125488281, 0.5781928300857544]","[829.4135131835938, 643.3719482421875, 0.21674098074436188]","[831.0110473632812, 454.8818359375, 0.11427945643663406]","[821.9771118164062, 568.2671508789062, 0.10260076075792313]","[822.7328491210938, 480.8643798828125, 0.08961490541696548]","[2.496237956437336, -2.1261885830606735, 0.13181847885851042]","[5.504305281159463, 5.611498864409988, 1.0969685295717388]"
5,5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/06/base_1_ID06/RGB/000005_RGB.png,"[466.25634765625, 552.5663452148438, 0.7025308012962341]","[453.5185546875, 569.5726318359375, 0.5573251247406006]","[451.48126220703125, 537.745361328125, 0.5636624693870544]","[472.9546813964844, 590.1659545898438, 0.38602638244628906]","[465.8392333984375, 516.9011840820312, 0.7865516543388367]","[548.8134765625, 625.861328125, 0.7315903306007385]","[550.8988647460938, 474.79754638671875, 0.8144598603248596]","[676.8623046875, 636.027099609375, 0.598442554473877]","[676.3472900390625, 455.9841003417969, 0.6039721369743347]","[773.6300659179688, 581.5731201171875, 0.31838399171829224]","[785.7545166015625, 513.9141845703125, 0.5018575191497803]","[775.68359375, 600.1383666992188, 0.4729480445384979]","[771.3529052734375, 500.8398742675781, 0.5692106485366821]","[829.4176025390625, 642.446044921875, 0.22165630757808685]","[831.0850830078125, 455.5309143066406, 0.11167518049478531]","[820.0885620117188, 568.6513061523438, 0.11438014358282089]","[821.810302734375, 481.6947326660156, 0.09223419427871704]","[2.6255172669106686, -2.1639208151502043, 0.10963486422867114]","[5.512072378921154, 5.5952456805622495, 1.1055473007845775]"
6,6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/06/base_1_ID06/RGB/000006_RGB.png,"[467.2924499511719, 552.4544677734375, 0.7044384479522705]","[454.38970947265625, 569.5198364257812, 0.5377997159957886]","[452.0189208984375, 537.61962890625, 0.5550951957702637]","[473.4215393066406, 590.276123046875, 0.40132954716682434]","[465.58837890625, 516.9199829101562, 0.7906692624092102]","[548.6174926757812, 625.8263549804688, 0.7282127141952515]","[550.9544677734375, 474.6550598144531, 0.818186342716217]","[676.4866333007812, 636.4172973632812, 0.5944549441337585]","[676.53076171875, 456.4779357910156, 0.6147865056991577]","[774.1021728515625, 582.1913452148438, 0.3207700848579407]","[785.6870727539062, 513.9892578125, 0.488240510225296]","[773.8867797851562, 599.4979858398438, 0.48321589827537537]","[769.5105590820312, 500.5592041015625, 0.5659211874008179]","[828.8798217773438, 643.3860473632812, 0.23781730234622955]","[831.3732299804688, 454.32568359375, 0.12089229375123978]","[820.6846313476562, 568.724609375, 0.10905276983976364]","[822.7448120117188, 480.9190979003906, 0.08809582144021988]","[2.916334886306005, -2.1860153771069344, 0.1176967430047806]","[5.51116795846644, 5.592066902514804, 1.1181223471704107]"
7,7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/06/base_1_ID06/RGB/000007_RGB.png,"[467.68463134765625, 551.5956420898438, 0.710473358631134]","[454.50323486328125, 568.626220703125, 0.5601658225059509]","[452.42041015625, 536.3412475585938, 0.58774733543396]","[473.66705322265625, 590.2514038085938, 0.40494847297668457]","[465.9060363769531, 516.7516479492188, 0.7885676026344299]","[548.9657592773438, 625.7682495117188, 0.7315718531608582]","[551.3890380859375, 474.78924560546875, 0.8263195157051086]","[675.5755004882812, 635.6047973632812, 0.5994570851325989]","[676.9683837890625, 455.96685791015625, 0.5990604758262634]","[774.5469970703125, 581.1937255859375, 0.3146578371524811]","[786.0079345703125, 513.5350341796875, 0.4870174825191498]","[775.4014282226562, 599.3917236328125, 0.4760364294052124]","[770.3247680664062, 500.9443664550781, 0.5676931142807007]","[828.947021484375, 642.8875732421875, 0.20957447588443756]","[831.804931640625, 454.71429443359375, 0.1305084377527237]","[820.357177734375, 568.0665283203125, 0.11232564598321915]","[821.8956909179688, 480.6406555175781, 0.09702009707689285]","[3.1390990005502943, -2.171064767940168, 0.0717484381711094]","[5.515244960360018, 5.593973574429479, 1.121454919811978]"
8,8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/06/base_1_ID06/RGB/000008_RGB.png,"[467.7059631347656, 551.5039672851562, 0.7154932022094727]","[454.4408264160156, 568.4439697265625, 0.5602645874023438]","[452.3992919921875, 536.0771484375, 0.5946113467216492]","[473.74188232421875, 590.4738159179688, 0.4109865128993988]","[465.8769836425781, 516.8948974609375, 0.7928599119186401]","[549.7106323242188, 625.4720458984375, 0.7200398445129395]","[551.2481689453125, 474.7093811035156, 0.8190228343009949]","[677.1403198242188, 635.9527587890625, 0.5903885364532471]","[677.0503540039062, 456.0526428222656, 0.5840470790863037]","[773.9409790039062, 581.1809692382812, 0.3141861855983734]","[786.4057006835938, 514.3600463867188, 0.5011628866195679]","[774.6574096679688, 599.5512084960938, 0.47970399260520935]","[770.3373413085938, 500.4101257324219, 0.5704244375228882]","[828.29345703125, 642.2481079101562, 0.22523055970668793]","[830.8154296875, 454.005859375, 0.11247173696756363]","[820.7877197265625, 567.7929077148438, 0.10119185596704483]","[822.564208984375, 481.068359375, 0.08842580020427704]","[3.31286192680658, -2.1002770126347725, 0.04500285684489514]","[5.512958199582636, 5.575079988557081, 1.1326209606081892]"
9,9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/06/base_1_ID06/RGB/000009_RGB.png,"[468.47686767578125, 550.8447875976562, 0.7046287655830383]","[455.1199951171875, 567.40673828125, 0.42832645773887634]","[453.0382080078125, 535.3931274414062, 0.5733845829963684]","[474.0386657714844, 590.578857421875, 0.42180335521698]","[466.277587890625, 516.6594848632812, 0.7887917757034302]","[549.412353515625, 625.9580078125, 0.733523964881897]","[551.1036376953125, 474.84454345703125, 0.8214880228042603]","[675.9353637695312, 636.2263793945312, 0.5979601740837097]","[676.8926391601562, 456.076171875, 0.5987126231193542]","[774.3527221679688, 580.63525390625, 0.298529714345932]","[785.67578125, 513.0962524414062, 0.49219825863838196]","[776.3856201171875, 599.2816162109375, 0.46438366174697876]","[771.8555908203125, 500.1457214355469, 0.5682534575462341]","[829.1954345703125, 641.7310180664062, 0.17692026495933533]","[831.1741333007812, 454.685302734375, 0.11373558640480042]","[821.767822265625, 567.2205810546875, 0.09609880298376083]","[822.88232421875, 480.4598083496094, 0.08990214765071869]","[3.350414174701, -2.0622193703057636, 0.013292183842428992]","[5.5282571215951295, 5.577786678784741, 1.1351858292424188]"
