,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/07/free_1_ID07/RGB/000000_RGB.png,"[461.73992919921875, 528.1485595703125, 0.6055811643600464]","[449.3663024902344, 541.6307373046875, 0.6229851245880127]","[450.3265075683594, 513.3714599609375, 0.7007436156272888]","[464.530517578125, 560.5833740234375, 0.7493996620178223]","[467.968994140625, 495.5166931152344, 0.7152868509292603]","[539.7640380859375, 601.0115966796875, 0.7297041416168213]","[553.5235595703125, 464.1267395019531, 0.8389427661895752]","[650.7605590820312, 622.272705078125, 0.6958809494972229]","[685.9116821289062, 465.21734619140625, 0.8329553008079529]","[743.0250854492188, 606.7763061523438, 0.4911210238933563]","[767.4767456054688, 526.5828247070312, 0.49883443117141724]","[769.1344604492188, 606.2876586914062, 0.6019365787506104]","[767.856689453125, 504.07342529296875, 0.6445853114128113]","[830.8079833984375, 678.1397705078125, 0.2723958194255829]","[833.0006713867188, 450.4358825683594, 0.44744497537612915]","[808.134033203125, 601.9671630859375, 0.20685681700706482]","[820.0682373046875, 487.0819091796875, 0.12296611070632935]","[0.3401230470208826, 0.40800906573275286, 0.3490431913891511]","[-1.2632853868388394, -6.465033622132732, -2.5125049628311533]"
1,1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/07/free_1_ID07/RGB/000001_RGB.png,"[461.37823486328125, 527.883056640625, 0.5920042395591736]","[449.10479736328125, 541.17041015625, 0.6088505387306213]","[450.3684387207031, 513.2711181640625, 0.6998320817947388]","[464.2131042480469, 560.5703735351562, 0.7568489909172058]","[468.2481689453125, 495.82244873046875, 0.7162563800811768]","[539.2974243164062, 601.3716430664062, 0.7156739234924316]","[553.4139404296875, 464.09033203125, 0.8377450704574585]","[652.321044921875, 622.9052734375, 0.6879734396934509]","[685.7366333007812, 464.3305358886719, 0.8321526050567627]","[744.5531005859375, 606.966552734375, 0.5062819719314575]","[768.6455688476562, 524.344482421875, 0.4607185423374176]","[770.4453735351562, 605.2044677734375, 0.6070811748504639]","[771.3490600585938, 504.1624755859375, 0.5742886662483215]","[830.928466796875, 678.1563110351562, 0.2782232165336609]","[833.0535888671875, 450.1420593261719, 0.42027172446250916]","[807.5307006835938, 602.452392578125, 0.21537156403064728]","[820.908447265625, 486.2299499511719, 0.12911850214004517]","[0.39243230060212714, 0.4539795151489016, 0.28172642886995086]","[-1.259940663354083, -6.462165319465938, -2.5153141280158042]"
2,2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/07/free_1_ID07/RGB/000002_RGB.png,"[461.3237609863281, 527.8841552734375, 0.5916808247566223]","[449.0118408203125, 541.046142578125, 0.6073577404022217]","[450.23223876953125, 513.1483154296875, 0.7012625932693481]","[464.0429992675781, 560.4536743164062, 0.7570088505744934]","[468.1705017089844, 495.816650390625, 0.7179124355316162]","[539.2318115234375, 601.2386474609375, 0.7163382768630981]","[553.723388671875, 463.95770263671875, 0.8349403142929077]","[651.6798706054688, 622.1116943359375, 0.697640061378479]","[685.9072875976562, 464.8338623046875, 0.8263582587242126]","[745.0476684570312, 605.8363037109375, 0.5089839696884155]","[768.3988037109375, 525.2538452148438, 0.48613181710243225]","[769.1270751953125, 605.1268920898438, 0.6037697792053223]","[770.1920776367188, 503.99957275390625, 0.5817862153053284]","[830.8468017578125, 677.4706420898438, 0.28888824582099915]","[833.1362915039062, 450.50091552734375, 0.42143288254737854]","[807.4694213867188, 602.3838500976562, 0.2156262993812561]","[820.0645751953125, 486.60406494140625, 0.13724835216999054]","[0.39152016618458707, 0.46058830551758817, 0.2511824005063402]","[-1.3130856919216922, -6.478513641444876, -2.5423627226421788]"
3,3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/07/free_1_ID07/RGB/000003_RGB.png,"[461.35479736328125, 528.1676025390625, 0.6014272570610046]","[449.0936584472656, 541.4730224609375, 0.6235465407371521]","[450.2796630859375, 513.384033203125, 0.7057666182518005]","[464.35028076171875, 560.75537109375, 0.756611168384552]","[468.3847351074219, 495.98626708984375, 0.7205085754394531]","[539.0597534179688, 601.4662475585938, 0.7190573215484619]","[553.5399169921875, 464.2035217285156, 0.8399885892868042]","[651.327392578125, 622.9356079101562, 0.671306848526001]","[686.0022583007812, 465.12750244140625, 0.8274432420730591]","[744.75927734375, 606.6586303710938, 0.5104579329490662]","[767.1985473632812, 526.1656494140625, 0.49819135665893555]","[769.2957763671875, 605.5482177734375, 0.602992594242096]","[770.155029296875, 504.5233459472656, 0.5817039012908936]","[830.7762451171875, 678.2416381835938, 0.28489652276039124]","[833.102783203125, 450.3480529785156, 0.43505650758743286]","[806.9927978515625, 603.1740112304688, 0.215997114777565]","[818.7613525390625, 487.20123291015625, 0.11872794479131699]","[0.39965875641839643, 0.44525473300333546, 0.21867511111285654]","[-1.3773701446134443, -6.500662677652353, -2.569936589043013]"
4,4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/07/free_1_ID07/RGB/000004_RGB.png,"[461.58404541015625, 527.9100341796875, 0.595869243144989]","[449.0778503417969, 541.1177368164062, 0.6126731634140015]","[450.53851318359375, 513.0445556640625, 0.6993613839149475]","[464.21429443359375, 560.5596923828125, 0.7549120783805847]","[468.9425048828125, 495.7556457519531, 0.7065992951393127]","[538.8304443359375, 601.0138549804688, 0.7153938412666321]","[553.2943115234375, 464.4507141113281, 0.8407109975814819]","[651.2042846679688, 622.4821166992188, 0.7015723586082458]","[685.5398559570312, 464.5344543457031, 0.8290203809738159]","[744.6224975585938, 607.0032958984375, 0.5180379748344421]","[767.4306640625, 525.8154907226562, 0.47972753643989563]","[768.6146240234375, 605.1326904296875, 0.6080940365791321]","[769.9646606445312, 504.4749755859375, 0.5824256539344788]","[829.7064819335938, 675.307373046875, 0.2977930009365082]","[833.1974487304688, 450.4794921875, 0.42189130187034607]","[807.1484985351562, 602.8402099609375, 0.2202792465686798]","[819.2855224609375, 486.690673828125, 0.1268945038318634]","[0.40543426420008516, 0.470824391921302, 0.20480144849345439]","[-1.4348521018002622, -6.516133074373321, -2.631275503756579]"
5,5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/07/free_1_ID07/RGB/000005_RGB.png,"[461.310302734375, 528.0831298828125, 0.5931981205940247]","[448.95001220703125, 541.3046875, 0.6169881820678711]","[450.1932373046875, 513.3478393554688, 0.7004829049110413]","[463.9737548828125, 560.416015625, 0.757771909236908]","[468.07196044921875, 495.8598327636719, 0.7189785838127136]","[539.2765502929688, 601.8489379882812, 0.7141532301902771]","[553.4075927734375, 464.43597412109375, 0.839798092842102]","[651.7025756835938, 622.582763671875, 0.6899007558822632]","[685.6343994140625, 464.32427978515625, 0.8236690759658813]","[745.11572265625, 606.749267578125, 0.5019792318344116]","[768.64111328125, 525.2123413085938, 0.48923802375793457]","[769.3367919921875, 606.0432739257812, 0.6172518134117126]","[770.1607666015625, 504.720458984375, 0.5863999724388123]","[831.5213012695312, 678.38037109375, 0.28215503692626953]","[833.184326171875, 449.67498779296875, 0.4283057153224945]","[807.919189453125, 617.2281494140625, 0.1928984373807907]","[819.8898315429688, 487.0574035644531, 0.13241396844387054]","[0.3303753744825824, 0.4492878244285694, 0.20135620866888854]","[-1.4516077971136154, -6.533375659623994, -2.671462951071356]"
6,6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/07/free_1_ID07/RGB/000006_RGB.png,"[461.1522216796875, 527.9625854492188, 0.58879554271698]","[448.85955810546875, 541.0850830078125, 0.61117023229599]","[450.2100830078125, 513.20947265625, 0.7024648189544678]","[463.98541259765625, 560.4767456054688, 0.7612677812576294]","[468.647705078125, 495.9453430175781, 0.7143749594688416]","[538.7185668945312, 601.7836303710938, 0.7077071666717529]","[553.5189819335938, 464.41546630859375, 0.8416979312896729]","[651.4667358398438, 622.6017456054688, 0.6942819952964783]","[685.568359375, 464.8343200683594, 0.8307192325592041]","[745.2133178710938, 607.3700561523438, 0.5214052796363831]","[768.4945678710938, 525.9089965820312, 0.49219998717308044]","[768.07568359375, 605.5817260742188, 0.6162689328193665]","[768.424072265625, 503.8525695800781, 0.6508357524871826]","[830.7554321289062, 678.9112548828125, 0.2937759459018707]","[833.1945190429688, 450.6216125488281, 0.4258533716201782]","[807.4912719726562, 603.2391357421875, 0.22222468256950378]","[820.013427734375, 487.2261657714844, 0.12589555978775024]","[0.32197515703482554, 0.4406855427467191, 0.19669714365651395]","[-1.342634129461254, -6.500218315261233, -2.5757536618165933]"
7,7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/07/free_1_ID07/RGB/000007_RGB.png,"[461.1138000488281, 528.5007934570312, 0.6056637167930603]","[448.8991394042969, 541.7261352539062, 0.6280685067176819]","[450.0679016113281, 513.6022338867188, 0.7108630537986755]","[463.9705810546875, 560.8543090820312, 0.7662554979324341]","[468.33245849609375, 495.9959716796875, 0.7207195162773132]","[538.679443359375, 601.97265625, 0.7089747190475464]","[553.3770751953125, 464.3332214355469, 0.839009702205658]","[652.9609375, 622.93310546875, 0.6730329394340515]","[685.6986694335938, 465.117919921875, 0.8258239030838013]","[745.4550170898438, 605.813232421875, 0.4977468252182007]","[768.430419921875, 525.9496459960938, 0.48968246579170227]","[768.2722778320312, 605.6896362304688, 0.6139991879463196]","[768.8997802734375, 504.1053771972656, 0.632841944694519]","[829.6514282226562, 675.626953125, 0.3044305145740509]","[833.4227294921875, 450.7030944824219, 0.43262264132499695]","[807.6326293945312, 602.0431518554688, 0.21995054185390472]","[819.2860107421875, 486.7841796875, 0.1258142739534378]","[0.3188051556796433, 0.3628047646339674, 0.25994520496886414]","[-1.2786509130340649, -6.484634668850203, -2.488746814506723]"
8,8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/07/free_1_ID07/RGB/000008_RGB.png,"[461.0947570800781, 528.5742797851562, 0.6038272380828857]","[449.043701171875, 541.821044921875, 0.6311162114143372]","[450.1449890136719, 513.6578369140625, 0.7068686485290527]","[464.37738037109375, 560.8489990234375, 0.7593520283699036]","[468.54571533203125, 496.0894470214844, 0.7187179327011108]","[539.475341796875, 602.2107543945312, 0.7212305665016174]","[553.4601440429688, 464.2159423828125, 0.8407291769981384]","[652.34814453125, 622.2421264648438, 0.6949672102928162]","[685.7333374023438, 464.8693542480469, 0.8369796276092529]","[744.063232421875, 606.820068359375, 0.4984520375728607]","[768.0204467773438, 526.8781127929688, 0.4948127269744873]","[770.9385375976562, 605.3031005859375, 0.5996955633163452]","[770.4796142578125, 503.67138671875, 0.6247514486312866]","[830.8388061523438, 678.0869140625, 0.2797349989414215]","[833.1150512695312, 450.6128845214844, 0.42868492007255554]","[808.5250244140625, 601.8986206054688, 0.21352891623973846]","[819.8436889648438, 487.50006103515625, 0.12535730004310608]","[0.33454631948030017, 0.3598187546675491, 0.2746664049168138]","[-1.2369246384843793, -6.4745119212382845, -2.4786261277104167]"
9,9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/07/free_1_ID07/RGB/000009_RGB.png,"[460.8966979980469, 528.5906982421875, 0.603484034538269]","[448.9283142089844, 541.7899780273438, 0.6310075521469116]","[450.0472717285156, 513.7174072265625, 0.718000590801239]","[464.239013671875, 561.0911865234375, 0.7646005749702454]","[468.3492736816406, 496.10546875, 0.7200621962547302]","[539.1222534179688, 602.0101928710938, 0.7221331000328064]","[553.1505737304688, 464.41363525390625, 0.8411462903022766]","[651.5281372070312, 622.7420043945312, 0.694195032119751]","[684.4454956054688, 464.16436767578125, 0.8390802145004272]","[743.7239379882812, 606.7901000976562, 0.4970855712890625]","[767.5639038085938, 524.0216674804688, 0.47254109382629395]","[770.2257080078125, 604.8599243164062, 0.6003064513206482]","[769.1893920898438, 503.58233642578125, 0.637419581413269]","[831.6057739257812, 678.9149780273438, 0.2614409029483795]","[833.6939086914062, 450.4375915527344, 0.40434369444847107]","[807.6373901367188, 601.9148559570312, 0.21381904184818268]","[819.766845703125, 486.6260986328125, 0.12694884836673737]","[0.41696593824157385, 0.3903008260674933, 0.3118476303426429]","[-1.1705359858910107, -6.4505750344504875, -2.4266973289718012]"
