,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/08/free_3_ID08/RGB/000000_RGB.png,"[510.57373046875, 534.8296508789062, 0.6374847888946533]","[498.4756774902344, 549.2415771484375, 0.7535150051116943]","[495.8886413574219, 520.0137939453125, 0.5656635761260986]","[508.9904479980469, 566.9097290039062, 0.7239369750022888]","[504.94342041015625, 501.47686767578125, 0.5595209002494812]","[588.7560424804688, 606.6275024414062, 0.5183954834938049]","[587.1406860351562, 457.0504455566406, 0.8301425576210022]","[698.2088012695312, 640.1091918945312, 0.5995453000068665]","[695.561279296875, 426.0374755859375, 0.6911579370498657]","[765.8226318359375, 613.7656860351562, 0.5229881405830383]","[778.2479248046875, 436.66180419921875, 0.486784964799881]","[817.3179321289062, 582.2677001953125, 0.484555184841156]","[818.5242919921875, 477.23565673828125, 0.551702082157135]","[832.8428344726562, 612.9016723632812, 0.0436052642762661]","[837.0093994140625, 430.5938415527344, 0.08757246285676956]","[819.259033203125, 607.23779296875, 0.04226669669151306]","[833.822265625, 436.2572937011719, 0.07569640874862671]","[-1.729106422724273, -0.43262776990967994, 0.15550729724749435]","[5.665931654776443, -20.823472453885465, -0.7886458239682079]"
1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/08/free_3_ID08/RGB/000001_RGB.png,"[510.8951416015625, 533.923095703125, 0.6573813557624817]","[499.3243408203125, 548.1583251953125, 0.746116042137146]","[496.745361328125, 519.041748046875, 0.6198769211769104]","[508.6743469238281, 566.3785400390625, 0.7091116309165955]","[505.4202880859375, 500.98944091796875, 0.5791261196136475]","[588.4066772460938, 606.4130249023438, 0.5073206424713135]","[588.0172119140625, 456.7490539550781, 0.8157713413238525]","[699.5186157226562, 639.6736450195312, 0.6109946966171265]","[696.297119140625, 425.4056091308594, 0.6971519589424133]","[766.0475463867188, 614.1127319335938, 0.519521176815033]","[777.4346923828125, 436.22332763671875, 0.48316141963005066]","[817.328125, 582.1939086914062, 0.48475706577301025]","[818.2278442382812, 477.49176025390625, 0.5487109422683716]","[833.6932373046875, 612.24609375, 0.03424549102783203]","[837.1961669921875, 431.27734375, 0.07979707419872284]","[819.9760131835938, 607.3848876953125, 0.03774194419384003]","[833.7532348632812, 435.12359619140625, 0.07221043109893799]","[-1.834520786773955, -0.4866068576844881, 0.19857162505764134]","[5.3801645197485835, -20.725448707477018, -0.6999073262999469]"
2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/08/free_3_ID08/RGB/000002_RGB.png,"[511.2998046875, 533.6853637695312, 0.6631385087966919]","[499.6916198730469, 548.0758056640625, 0.7275584936141968]","[497.02081298828125, 518.9747924804688, 0.6334015727043152]","[508.6385498046875, 566.392333984375, 0.7074711322784424]","[505.0302734375, 500.7693176269531, 0.5617789030075073]","[588.8297729492188, 606.3348388671875, 0.5213232636451721]","[588.281005859375, 456.8145751953125, 0.8137082457542419]","[699.0668334960938, 640.263427734375, 0.5932162404060364]","[697.4650268554688, 425.4276428222656, 0.6966928839683533]","[764.9208374023438, 615.0686645507812, 0.5173214673995972]","[779.17431640625, 436.9732360839844, 0.4765014052391052]","[820.7288208007812, 584.1835327148438, 0.6603769063949585]","[820.5751953125, 476.150634765625, 0.6712826490402222]","[834.3482055664062, 612.3441772460938, 0.03625641018152237]","[838.0847778320312, 430.863525390625, 0.08042753487825394]","[820.3206787109375, 607.1429443359375, 0.03962073102593422]","[834.634033203125, 435.8192138671875, 0.072187140583992]","[-1.951611893659104, -0.5108993324403515, 0.26668111018472035]","[5.32726328363571, -20.70519615493381, -0.6895022067495029]"
3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/08/free_3_ID08/RGB/000003_RGB.png,"[511.7074279785156, 534.2688598632812, 0.6700488924980164]","[499.98956298828125, 548.4303588867188, 0.7258924841880798]","[497.37408447265625, 519.3380737304688, 0.6266207695007324]","[508.4858703613281, 566.281982421875, 0.7141675353050232]","[505.35748291015625, 500.5871276855469, 0.5685758590698242]","[588.3484497070312, 606.2798461914062, 0.5073056221008301]","[587.6253051757812, 456.62664794921875, 0.8188335299491882]","[699.1900024414062, 640.1396484375, 0.5967376828193665]","[696.3160400390625, 425.3869934082031, 0.7005907297134399]","[765.244140625, 615.2307739257812, 0.5156089067459106]","[777.98291015625, 435.99981689453125, 0.48183396458625793]","[818.2312622070312, 581.4942016601562, 0.4783584475517273]","[819.5479125976562, 477.1107177734375, 0.5256034135818481]","[834.1699829101562, 612.220458984375, 0.037578508257865906]","[837.5253295898438, 430.9525146484375, 0.08557834476232529]","[820.0093994140625, 607.4213256835938, 0.03797219321131706]","[834.1008911132812, 434.99700927734375, 0.07631757855415344]","[-2.0707672505888235, -0.5448819830290491, 0.3468299064500633]","[5.265100577625955, -20.636592184831905, -0.7725582161828047]"
4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/08/free_3_ID08/RGB/000004_RGB.png,"[512.7518920898438, 535.5532836914062, 0.6849494576454163]","[501.17193603515625, 549.6142578125, 0.6942267417907715]","[498.4200744628906, 520.5161743164062, 0.5813186168670654]","[508.9090270996094, 566.8455810546875, 0.7260964512825012]","[505.3529968261719, 501.0860595703125, 0.5638971924781799]","[588.435791015625, 605.9375610351562, 0.4878670275211334]","[587.3690795898438, 456.9752502441406, 0.8228223323822021]","[698.222900390625, 640.2030639648438, 0.5857243537902832]","[695.19189453125, 425.7996826171875, 0.6894906759262085]","[765.5465698242188, 615.6633911132812, 0.5127150416374207]","[775.7278442382812, 435.1029968261719, 0.44895613193511963]","[821.1082153320312, 582.5256958007812, 0.6646382212638855]","[820.3157348632812, 474.9075927734375, 0.660961925983429]","[835.4215698242188, 611.967529296875, 0.030197054147720337]","[838.7114868164062, 430.71197509765625, 0.07348164170980453]","[821.019775390625, 607.3173828125, 0.03449051082134247]","[834.4960327148438, 434.1549377441406, 0.06442499905824661]","[-2.192727141933356, -0.5867443946266986, 0.395917704521382]","[5.214114267718807, -20.60181343271557, -0.7558539274979083]"
5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/08/free_3_ID08/RGB/000005_RGB.png,"[513.338623046875, 536.0750122070312, 0.6866027116775513]","[501.3506164550781, 549.8402099609375, 0.6889520883560181]","[498.95477294921875, 520.9635620117188, 0.5641419887542725]","[508.2091979980469, 566.6485595703125, 0.7175860404968262]","[505.6281433105469, 500.9323425292969, 0.5609776377677917]","[587.3265380859375, 605.6609497070312, 0.48073485493659973]","[587.823974609375, 456.7448425292969, 0.8147785663604736]","[697.3605346679688, 640.1305541992188, 0.5896810293197632]","[694.4302978515625, 425.33380126953125, 0.7009937167167664]","[764.487060546875, 615.8990478515625, 0.5146152973175049]","[777.567138671875, 435.40484619140625, 0.4721966087818146]","[820.2278442382812, 582.8141479492188, 0.6680939793586731]","[819.7738647460938, 476.127197265625, 0.6760203838348389]","[834.8079223632812, 611.7854614257812, 0.0327409952878952]","[838.2437744140625, 431.2362976074219, 0.07718972116708755]","[820.0289916992188, 607.2825317382812, 0.03447325900197029]","[834.8016967773438, 434.56719970703125, 0.07422370463609695]","[-1.2533849528744698, -0.22127520684819293, -0.19428278643761793]","[5.175146405223392, -20.532238801703432, -0.7695592340607345]"
6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/08/free_3_ID08/RGB/000006_RGB.png,"[515.2420654296875, 535.73046875, 0.7113265991210938]","[502.5122375488281, 549.6640625, 0.6695669293403625]","[500.77032470703125, 520.5931396484375, 0.5556241869926453]","[508.6806640625, 566.7742309570312, 0.7243688106536865]","[507.0368957519531, 500.5758361816406, 0.6418932676315308]","[587.4453735351562, 605.6655883789062, 0.47273069620132446]","[587.6033935546875, 456.915283203125, 0.815659761428833]","[696.8555297851562, 640.1544799804688, 0.5823249816894531]","[691.3052978515625, 425.0219421386719, 0.668511688709259]","[762.923583984375, 616.255126953125, 0.5193800330162048]","[774.3385009765625, 434.6129455566406, 0.4495132565498352]","[813.9480590820312, 581.1991577148438, 0.5533648729324341]","[815.7064819335938, 477.64593505859375, 0.597296953201294]","[832.945556640625, 611.9952392578125, 0.042668942362070084]","[836.968505859375, 431.76873779296875, 0.0795680582523346]","[818.8717041015625, 607.4424438476562, 0.03853379935026169]","[832.7236328125, 434.47271728515625, 0.06878657639026642]","[-1.1055313845019916, -0.1705971707759049, -0.308832538742492]","[5.038407346711908, -20.451802400513994, -0.7963640957877585]"
7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/08/free_3_ID08/RGB/000007_RGB.png,"[515.5737915039062, 535.8892822265625, 0.7297031879425049]","[502.7674865722656, 549.5577392578125, 0.6834219694137573]","[501.2500305175781, 520.041748046875, 0.5819838047027588]","[508.3686828613281, 566.7596435546875, 0.7181828022003174]","[507.2699279785156, 500.16156005859375, 0.6558665633201599]","[587.4324951171875, 605.5109252929688, 0.46881937980651855]","[588.5225830078125, 456.8169250488281, 0.8061215281486511]","[696.9191284179688, 640.4854125976562, 0.5799303650856018]","[693.0489501953125, 424.9355163574219, 0.6859124302864075]","[763.9634399414062, 616.5098266601562, 0.5261813998222351]","[775.4542846679688, 434.4636535644531, 0.45876801013946533]","[816.5519409179688, 580.4772338867188, 0.5305178761482239]","[818.2296752929688, 477.4473876953125, 0.5561697483062744]","[834.2882080078125, 611.8071899414062, 0.03999718651175499]","[838.1749267578125, 431.8265075683594, 0.08087552338838577]","[819.1817016601562, 607.4683837890625, 0.036473605781793594]","[833.4221801757812, 434.5079650878906, 0.07527504116296768]","[-0.8348850935559593, -0.02407397911529275, -0.6194226534665856]","[4.81460306367155, -20.329018281197065, -0.7273183010763841]"
8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/08/free_3_ID08/RGB/000008_RGB.png,"[516.8414916992188, 537.1834106445312, 0.7047294974327087]","[503.6391296386719, 550.6500244140625, 0.6529794335365295]","[502.02838134765625, 520.8052978515625, 0.5482602119445801]","[508.2846984863281, 566.8204345703125, 0.7295382618904114]","[506.81195068359375, 499.54071044921875, 0.6281135678291321]","[585.650146484375, 605.8955078125, 0.7359333038330078]","[587.7725219726562, 456.52685546875, 0.817579448223114]","[695.4005126953125, 640.7171020507812, 0.5641899704933167]","[693.9306030273438, 424.7991638183594, 0.7206234335899353]","[762.1891479492188, 615.838134765625, 0.5160985589027405]","[775.987060546875, 435.1923828125, 0.4827558994293213]","[816.0942993164062, 580.8403930664062, 0.5371947884559631]","[816.5602416992188, 477.6246337890625, 0.5969506502151489]","[833.0780029296875, 611.1367797851562, 0.04093833640217781]","[836.6653442382812, 433.1144104003906, 0.08145597577095032]","[811.3673706054688, 607.20166015625, 0.04193103685975075]","[833.012939453125, 435.7379455566406, 0.07518328726291656]","[0.49690515649035233, 1.8805230676259639, 4.048462936943163]","[4.54607740467257, -20.23748614441331, -0.7505531913814156]"
9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/08/free_3_ID08/RGB/000009_RGB.png,"[516.9608154296875, 536.991455078125, 0.7082110643386841]","[503.6284484863281, 550.3218383789062, 0.6545745134353638]","[502.5631103515625, 520.5513305664062, 0.5436416864395142]","[508.00201416015625, 566.5094604492188, 0.7327587604522705]","[507.6463623046875, 499.21246337890625, 0.6465291976928711]","[586.5444946289062, 605.31787109375, 0.4564207196235657]","[587.7098388671875, 456.4554748535156, 0.8204165697097778]","[696.4168090820312, 640.56005859375, 0.5792888402938843]","[692.4977416992188, 425.54742431640625, 0.7235184907913208]","[763.1449584960938, 616.5037841796875, 0.533016562461853]","[775.5336303710938, 434.8273620605469, 0.49096110463142395]","[815.5491943359375, 580.9218139648438, 0.5494549870491028]","[816.3902587890625, 477.1060791015625, 0.6107338070869446]","[833.11181640625, 611.8705444335938, 0.04629180580377579]","[836.1122436523438, 432.75653076171875, 0.0805349200963974]","[811.2693481445312, 607.5073852539062, 0.04391028359532356]","[832.4819946289062, 435.3797912597656, 0.07372403889894485]","[0.8326119867502789, 2.1301974432132424, 4.621323302851431]","[4.258190372081093, -20.093530680679226, -0.673547668935953]"
