,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000000_RGB.png,"[515.8155517578125, 535.8580932617188, 0.43341895937919617]","[501.8397521972656, 556.2916259765625, 0.32556045055389404]","[497.5841369628906, 521.9430541992188, 0.4867432117462158]","[497.4129638671875, 581.8204956054688, 0.6991609334945679]","[488.5843200683594, 499.0015563964844, 0.52741539478302]","[554.8161010742188, 619.8391723632812, 0.47546425461769104]","[547.2389526367188, 466.77557373046875, 0.7245562076568604]","[653.6614379882812, 659.5519409179688, 0.7236395478248596]","[651.0454711914062, 420.4726257324219, 0.7298381924629211]","[732.3270263671875, 653.1903076171875, 0.30044877529144287]","[749.2095947265625, 422.2255554199219, 0.4714984893798828]","[760.2439575195312, 589.4880981445312, 0.37708190083503723]","[759.0274047851562, 500.13226318359375, 0.5206252932548523]","[771.6941528320312, 631.1666259765625, 0.38401299715042114]","[785.1392822265625, 433.8563537597656, 0.5132086277008057]","[805.1771850585938, 631.2220458984375, 0.16118589043617249]","[796.2556762695312, 429.7156982421875, 0.23142357170581818]","[-4.8255075385452635, -1.8953594831666873, -0.011928314098980299]","[2.5612798752181254, 2.5320374833315578, 0.27595551039945726]"
1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000001_RGB.png,"[521.7313842773438, 535.84619140625, 0.3247627317905426]","[506.58746337890625, 557.8790283203125, 0.437382310628891]","[504.7120666503906, 520.7681274414062, 0.4817639887332916]","[499.7178649902344, 583.800537109375, 0.6476470828056335]","[492.6846618652344, 499.330322265625, 0.5649890303611755]","[554.287353515625, 618.97021484375, 0.7814837098121643]","[548.2326049804688, 466.308349609375, 0.7468259334564209]","[656.7489624023438, 657.466796875, 0.6179112195968628]","[652.7067260742188, 423.0750427246094, 0.7811885476112366]","[743.1868896484375, 644.5061645507812, 0.3381149470806122]","[747.453125, 422.795654296875, 0.5127505660057068]","[755.6392211914062, 590.8119506835938, 0.4777863919734955]","[754.0919189453125, 503.94024658203125, 0.5650497674942017]","[791.0557861328125, 628.9529418945312, 0.3588278889656067]","[792.623779296875, 433.16558837890625, 0.4053284227848053]","[804.96484375, 630.0643310546875, 0.19032910466194153]","[797.7861938476562, 432.6620178222656, 0.22003313899040222]","[-5.587810528377727, -2.5977147651729933, -0.4021517541671143]","[2.661718964126819, 2.540598561823469, 0.4908722785629664]"
2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000002_RGB.png,"[524.5692749023438, 541.109375, 0.379411518573761]","[508.3780212402344, 563.0840454101562, 0.5048527717590332]","[509.97528076171875, 527.8873291015625, 0.354769766330719]","[500.59307861328125, 585.300537109375, 0.632712721824646]","[495.21435546875, 502.5587463378906, 0.6033982038497925]","[551.8260498046875, 613.4739379882812, 0.7721143960952759]","[546.9573974609375, 468.43487548828125, 0.7113966345787048]","[653.0205078125, 648.1820068359375, 0.7533491253852844]","[656.3838500976562, 429.37506103515625, 0.7010695338249207]","[764.7542114257812, 633.8140258789062, 0.2609894573688507]","[759.2379760742188, 435.3891906738281, 0.41368648409843445]","[746.2598876953125, 588.5323486328125, 0.5284356474876404]","[744.4210815429688, 505.1409606933594, 0.4476122558116913]","[813.6683959960938, 625.6395263671875, 0.37826353311538696]","[808.8642578125, 427.1819763183594, 0.3682936429977417]","[808.58544921875, 618.0791625976562, 0.17163269221782684]","[807.6815795898438, 438.8736572265625, 0.17845746874809265]","[-6.534013659135826, -3.7058448465457547, -0.9833942729688464]","[2.9929074189917575, 2.5398124616855013, 0.9441589409910941]"
3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000003_RGB.png,"[521.4361572265625, 536.5826416015625, 0.311879962682724]","[505.8377990722656, 559.1740112304688, 0.4298115074634552]","[504.02398681640625, 523.2448120117188, 0.432852566242218]","[501.1633605957031, 583.5980224609375, 0.6343756914138794]","[493.7712707519531, 499.8193664550781, 0.5756826400756836]","[551.1541748046875, 614.246337890625, 0.7897705435752869]","[547.7758178710938, 467.4665222167969, 0.7471855282783508]","[654.52001953125, 646.8551025390625, 0.7485374212265015]","[658.3525390625, 429.4515380859375, 0.7104004621505737]","[766.372802734375, 630.045654296875, 0.30796411633491516]","[766.0052490234375, 442.1005554199219, 0.4072592556476593]","[749.253173828125, 585.962890625, 0.4873824715614319]","[754.2348022460938, 499.5263977050781, 0.5941413640975952]","[816.3719482421875, 624.9542236328125, 0.4518375098705292]","[809.4631958007812, 427.4687805175781, 0.27445897459983826]","[810.5270385742188, 615.66357421875, 0.15275165438652039]","[819.4833984375, 440.2689514160156, 0.14134085178375244]","[-7.291749454159694, -4.27764054408754, -1.102915223895738]","[3.1808718338258677, 2.5596825592820545, 1.161727462037615]"
4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000004_RGB.png,"[526.2675170898438, 535.6502685546875, 0.3340948820114136]","[511.50341796875, 557.8336791992188, 0.4670337438583374]","[511.4944152832031, 522.90625, 0.41539570689201355]","[503.5044860839844, 583.7957153320312, 0.609258234500885]","[496.8291931152344, 499.5427551269531, 0.6018303036689758]","[552.5390014648438, 613.4722290039062, 0.7643377780914307]","[547.4127197265625, 467.75482177734375, 0.731857180595398]","[657.6133422851562, 642.1607055664062, 0.5704892873764038]","[659.3697509765625, 431.3057556152344, 0.7217194437980652]","[763.8823852539062, 627.3626098632812, 0.26218271255493164]","[768.3223876953125, 441.633544921875, 0.3781141936779022]","[742.1449584960938, 584.6260375976562, 0.4413582682609558]","[747.5331420898438, 500.4607849121094, 0.3899925649166107]","[815.9893188476562, 621.414794921875, 0.4537864029407501]","[808.3366088867188, 435.7494201660156, 0.3336850106716156]","[810.9094848632812, 615.0845336914062, 0.15754257142543793]","[819.892578125, 440.6800537109375, 0.15468661487102509]","[-7.7153374705427336, -4.498708600279666, -0.944833159931153]","[3.4817767771673673, 2.5490982969123435, 1.4590065556095397]"
5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000005_RGB.png,"[522.0806274414062, 537.8873901367188, 0.3456166088581085]","[506.10968017578125, 560.391357421875, 0.4483514428138733]","[506.9403381347656, 524.5923461914062, 0.30476877093315125]","[498.9075622558594, 583.5869750976562, 0.6973403096199036]","[491.97802734375, 501.3152160644531, 0.6013938188552856]","[547.744384765625, 611.714599609375, 0.7769993543624878]","[545.8925170898438, 466.85479736328125, 0.7635133862495422]","[652.41845703125, 641.4063720703125, 0.6233894228935242]","[661.3255615234375, 433.81341552734375, 0.7447612881660461]","[760.6072387695312, 627.6476440429688, 0.31004467606544495]","[769.7169189453125, 444.5986022949219, 0.398837685585022]","[752.8062744140625, 581.378173828125, 0.4024989604949951]","[760.5321044921875, 493.2975769042969, 0.5575491189956665]","[815.9852294921875, 626.4415283203125, 0.5209746956825256]","[807.1062622070312, 436.904296875, 0.3606722056865692]","[796.2719116210938, 623.7930908203125, 0.2104036957025528]","[806.9177856445312, 442.622314453125, 0.242288738489151]","[-7.896291819142455, -4.524069122728824, -0.9401090153280466]","[3.9003798158497007, 2.6961816819813653, 1.0210979659221127]"
6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000006_RGB.png,"[523.005859375, 537.85107421875, 0.3541279137134552]","[507.37237548828125, 560.017578125, 0.4728195369243622]","[508.9193115234375, 525.193603515625, 0.31569939851760864]","[499.5387878417969, 583.6114501953125, 0.670750081539154]","[493.12982177734375, 502.90655517578125, 0.602419912815094]","[549.2572631835938, 612.1707153320312, 0.7702778577804565]","[546.7831420898438, 466.9835205078125, 0.759131669998169]","[654.6358642578125, 641.3660278320312, 0.6260882019996643]","[662.031494140625, 429.0562744140625, 0.544460654258728]","[766.822265625, 627.6441650390625, 0.2914583384990692]","[768.7313842773438, 447.3451843261719, 0.39489108324050903]","[750.4427490234375, 578.7706909179688, 0.540482223033905]","[757.639892578125, 492.5491943359375, 0.5712776780128479]","[811.2592163085938, 619.5369262695312, 0.5295059084892273]","[805.8897705078125, 437.3180236816406, 0.34842392802238464]","[809.8395385742188, 614.0824584960938, 0.168336883187294]","[816.953857421875, 441.7697448730469, 0.1654522716999054]","[-7.739990006042078, -4.281426423247466, -0.8536601531416287]","[3.9674383102164095, 2.6945539349199326, 1.1230915201177283]"
7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000007_RGB.png,"[521.86279296875, 538.2265625, 0.3336690664291382]","[506.29937744140625, 560.4050903320312, 0.442865252494812]","[505.16119384765625, 523.7052001953125, 0.38825953006744385]","[499.0542907714844, 583.8114624023438, 0.6620169281959534]","[492.6654968261719, 501.02154541015625, 0.5909832119941711]","[550.4202270507812, 613.5278930664062, 0.7787808179855347]","[546.0966796875, 468.0295715332031, 0.7361477017402649]","[654.94921875, 643.2108764648438, 0.6036692261695862]","[658.1687622070312, 434.1462707519531, 0.6971089839935303]","[768.5775146484375, 630.5386962890625, 0.3053019940853119]","[770.5632934570312, 443.5018005371094, 0.384237140417099]","[751.9833984375, 583.9566040039062, 0.43677330017089844]","[757.895751953125, 493.9327392578125, 0.5728417634963989]","[818.4915771484375, 626.4429321289062, 0.4487442672252655]","[809.429443359375, 434.3890380859375, 0.2983088195323944]","[809.262939453125, 623.8231811523438, 0.14660945534706116]","[819.65234375, 440.4479064941406, 0.15032772719860077]","[-6.759117266198855, -3.5466074436296964, -0.40997422239700515]","[4.005215103046459, 2.6531224999115683, 1.2631724830658173]"
8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000008_RGB.png,"[529.1202392578125, 536.8179931640625, 0.3937085270881653]","[514.71630859375, 558.2488403320312, 0.4668036997318268]","[513.5509643554688, 524.50830078125, 0.44145071506500244]","[501.2665710449219, 583.962158203125, 0.651580274105072]","[495.572265625, 499.7393493652344, 0.6389885544776917]","[550.251708984375, 612.98779296875, 0.7693572640419006]","[545.779296875, 467.8924865722656, 0.7351348400115967]","[655.1497802734375, 642.39453125, 0.5901104211807251]","[659.721923828125, 434.2049255371094, 0.7241836786270142]","[767.6697387695312, 632.0462036132812, 0.30178597569465637]","[771.1593627929688, 441.5903015136719, 0.37733012437820435]","[751.0442504882812, 584.2019653320312, 0.5201587080955505]","[756.5806274414062, 494.0881042480469, 0.5790114998817444]","[817.9138793945312, 626.6658325195312, 0.45419859886169434]","[808.6113891601562, 434.9261169433594, 0.3092580735683441]","[809.6401977539062, 625.7593994140625, 0.16653963923454285]","[818.7973022460938, 440.1171569824219, 0.16514058411121368]","[-5.942451642175473, -3.2862354708955355, -0.15840225872265445]","[4.12341456144232, 2.6816795245987612, 1.0527978661300526]"
9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000009_RGB.png,"[524.840576171875, 536.5789794921875, 0.3427048921585083]","[510.0146484375, 558.4393920898438, 0.47517624497413635]","[509.8966064453125, 521.8970947265625, 0.2862623333930969]","[498.84674072265625, 584.1505126953125, 0.6956130266189575]","[493.57269287109375, 498.9618835449219, 0.6125705242156982]","[551.1664428710938, 613.1868286132812, 0.7772761583328247]","[546.2061767578125, 467.9118957519531, 0.740310788154602]","[654.5404052734375, 640.9938354492188, 0.5890863537788391]","[659.6663818359375, 434.6986083984375, 0.7323210835456848]","[765.6614379882812, 632.0337524414062, 0.28259971737861633]","[769.8174438476562, 441.1423645019531, 0.3724970817565918]","[750.3074340820312, 583.571044921875, 0.4226004481315613]","[755.7735595703125, 494.9927062988281, 0.5804084539413452]","[811.7899169921875, 625.527099609375, 0.40481069684028625]","[808.2338256835938, 435.2640380859375, 0.3314497172832489]","[808.8087768554688, 625.7924194335938, 0.17808450758457184]","[808.9573974609375, 441.9410705566406, 0.2106960266828537]","[-5.012910595458172, -3.092067453275152, -0.03918821495770897]","[4.165075808357696, 2.6745554935397156, 0.9569444885671741]"
