,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000000_RGB.png,"[520.2387084960938, 546.099609375, 0.6247588992118835]","[503.61492919921875, 563.7546997070312, 0.6211297512054443]","[503.8165283203125, 528.5147705078125, 0.6110888123512268]","[517.9252319335938, 583.4500122070312, 0.6732064485549927]","[518.4270629882812, 504.7725830078125, 0.36553773283958435]","[613.1758422851562, 627.8190307617188, 0.7830350995063782]","[616.1630249023438, 459.5502624511719, 0.7980318665504456]","[741.831298828125, 654.9463500976562, 0.6379948854446411]","[742.307373046875, 433.9291076660156, 0.8086704015731812]","[814.6929931640625, 628.1337280273438, 0.3387484550476074]","[831.5038452148438, 476.98382568359375, 0.47992587089538574]","[848.35791015625, 604.3231201171875, 0.6574727892875671]","[848.8651733398438, 487.97308349609375, 0.6031382083892822]","[851.321044921875, 646.0210571289062, 0.01145924162119627]","[860.32373046875, 471.4653625488281, 0.01263475976884365]","[852.6475219726562, 629.7344360351562, 0.015284916386008263]","[867.0132446289062, 480.43280029296875, 0.01170092262327671]","[2.5627895160213554, -2.3534561949372206, 0.65968334148921]","[0.02711187714972848, 9.911696692721668, -0.8806472330616044]"
1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000001_RGB.png,"[525.491455078125, 543.8387451171875, 0.6023585200309753]","[510.7860412597656, 560.66162109375, 0.6191298365592957]","[510.3685607910156, 526.9801025390625, 0.613056480884552]","[523.0062866210938, 583.7427368164062, 0.6183420419692993]","[521.7066650390625, 504.6729431152344, 0.3996816873550415]","[615.2566528320312, 628.2902221679688, 0.7870570421218872]","[620.088623046875, 458.3916320800781, 0.8263066411018372]","[746.0152587890625, 653.826416015625, 0.6995584964752197]","[745.1837768554688, 432.6866455078125, 0.8353172540664673]","[820.9016723632812, 624.0275268554688, 0.3180052638053894]","[831.8050537109375, 476.3544006347656, 0.46206504106521606]","[848.787353515625, 603.315185546875, 0.6468270421028137]","[847.6934814453125, 488.4405822753906, 0.6473202705383301]","[851.7135620117188, 647.292236328125, 0.012072041630744934]","[860.8848266601562, 470.3737487792969, 0.01185945887118578]","[854.7491455078125, 628.41259765625, 0.016001105308532715]","[868.3189697265625, 480.0436096191406, 0.01086993608623743]","[5.331577567398635, -2.1257759070490745, 0.7387457200137482]","[0.07173420118902099, 11.444148610330332, -0.09343495951609715]"
2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000002_RGB.png,"[527.3140869140625, 543.494140625, 0.5878656506538391]","[511.51348876953125, 560.6968383789062, 0.6725662350654602]","[511.0803527832031, 526.46923828125, 0.6594216227531433]","[524.7387084960938, 583.8758544921875, 0.6383090019226074]","[524.1636962890625, 503.529052734375, 0.393642395734787]","[615.9259033203125, 628.62548828125, 0.8107404708862305]","[620.6190185546875, 458.1121826171875, 0.8303038477897644]","[748.8082275390625, 656.2872314453125, 0.7004731297492981]","[743.2321166992188, 430.2078857421875, 0.8373612761497498]","[819.5557861328125, 621.419921875, 0.3198060691356659]","[830.5311889648438, 474.24932861328125, 0.4584939777851105]","[850.1541748046875, 604.1803588867188, 0.6478065252304077]","[847.7465209960938, 488.3636474609375, 0.6601292490959167]","[849.2823486328125, 647.0159912109375, 0.012660064734518528]","[855.9479370117188, 466.9122314453125, 0.016352219507098198]","[852.4105224609375, 626.8623657226562, 0.01753806695342064]","[866.868896484375, 478.9565734863281, 0.013593417592346668]","[7.465106877265151, -1.9606301526199768, 0.7373710289240607]","[-1.5706264068774254, 11.551588715761612, -0.9040189495631464]"
3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000003_RGB.png,"[537.58935546875, 546.71337890625, 0.4987490773200989]","[520.1068115234375, 564.3031005859375, 0.673610508441925]","[519.6273803710938, 527.2247314453125, 0.6309360265731812]","[530.92041015625, 585.9547119140625, 0.7223794460296631]","[529.0538330078125, 502.62744140625, 0.631909191608429]","[618.4539184570312, 630.1490478515625, 0.8389661908149719]","[621.938232421875, 456.1352233886719, 0.8381140828132629]","[748.990966796875, 656.6803588867188, 0.7145432829856873]","[741.008056640625, 426.69366455078125, 0.8261125683784485]","[823.5909423828125, 620.8753051757812, 0.3234628438949585]","[829.2742919921875, 475.75384521484375, 0.49464112520217896]","[848.4110107421875, 605.5303955078125, 0.6500036120414734]","[846.0988159179688, 488.2461242675781, 0.6205301284790039]","[849.9201049804688, 646.752685546875, 0.012661014683544636]","[853.0243530273438, 469.2960510253906, 0.01756424829363823]","[854.9483032226562, 626.8048095703125, 0.017028866335749626]","[864.1876220703125, 480.41961669921875, 0.016838394105434418]","[9.789596006544437, -1.7664967733347858, 0.5995208080441901]","[0.3474544760382559, 14.311617026461013, 0.30709564993210386]"
4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000004_RGB.png,"[541.8557739257812, 544.5887451171875, 0.5814986824989319]","[525.6372680664062, 562.3085327148438, 0.6128102540969849]","[523.6407470703125, 526.2807006835938, 0.4797811210155487]","[534.8399047851562, 586.0511474609375, 0.6886755228042603]","[531.1643676757812, 501.4561462402344, 0.6723790764808655]","[622.6444091796875, 631.3294067382812, 0.6875355243682861]","[624.72607421875, 454.53448486328125, 0.786579966545105]","[745.8063354492188, 659.4982299804688, 0.7198165655136108]","[741.5884399414062, 425.6718444824219, 0.8112350702285767]","[820.856201171875, 626.4031982421875, 0.3518790602684021]","[829.1936645507812, 475.5498046875, 0.4516982138156891]","[852.5785522460938, 604.030029296875, 0.6363570690155029]","[849.343505859375, 487.765869140625, 0.6419064402580261]","[852.1480102539062, 646.4879150390625, 0.010163485072553158]","[859.7915649414062, 472.0812683105469, 0.01403597742319107]","[853.4698486328125, 629.1932373046875, 0.01390360202640295]","[864.1842651367188, 480.6046142578125, 0.01419805083423853]","[12.290331299155742, -1.5588663236009155, 0.46399383110067194]","[0.24284060656540662, 15.643371655774283, 0.27372030268118225]"
5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000005_RGB.png,"[544.0243530273438, 544.40771484375, 0.6146187782287598]","[528.5094604492188, 562.833251953125, 0.7406550049781799]","[526.1124267578125, 526.559814453125, 0.6619400978088379]","[540.8323364257812, 585.3739013671875, 0.5432774424552917]","[534.3751220703125, 500.5263366699219, 0.6541133522987366]","[623.8560180664062, 631.2874145507812, 0.7191054224967957]","[626.2545166015625, 453.4709777832031, 0.7513750791549683]","[747.9437866210938, 659.9009399414062, 0.7377802133560181]","[743.0586547851562, 424.74737548828125, 0.8298499584197998]","[820.99755859375, 625.5961303710938, 0.3112887740135193]","[827.93798828125, 475.30126953125, 0.44212979078292847]","[849.6612548828125, 606.19091796875, 0.6376634836196899]","[846.3307495117188, 488.66888427734375, 0.5860069394111633]","[850.3910522460938, 646.6181030273438, 0.011566337198019028]","[850.4276123046875, 469.1167297363281, 0.020008888095617294]","[854.2164916992188, 628.5146484375, 0.015798300504684448]","[861.7479858398438, 480.4137268066406, 0.018634909763932228]","[13.580685107953814, -1.4734438987240277, 0.389455790518527]","[0.37298212456131635, 18.306196592954084, 0.39679734927383137]"
6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000006_RGB.png,"[558.0359497070312, 544.013671875, 0.5886121988296509]","[541.1286010742188, 562.8898315429688, 0.5150407552719116]","[539.0679321289062, 524.9863891601562, 0.36255475878715515]","[549.2713623046875, 587.4976806640625, 0.6823190450668335]","[545.0043334960938, 498.99658203125, 0.6816349625587463]","[628.1051025390625, 631.2196655273438, 0.8199174404144287]","[631.130615234375, 452.265869140625, 0.6432232856750488]","[744.9638671875, 662.6983032226562, 0.7313132882118225]","[746.1428833007812, 422.8837890625, 0.8395279049873352]","[825.5505981445312, 620.031005859375, 0.3983510732650757]","[828.9447021484375, 474.98992919921875, 0.43502187728881836]","[851.5103759765625, 606.7840576171875, 0.6514267921447754]","[849.6986083984375, 487.7142639160156, 0.621091902256012]","[849.2852172851562, 645.7900390625, 0.01015839260071516]","[852.8301391601562, 468.8292236328125, 0.015606016851961613]","[857.718505859375, 615.7258911132812, 0.016354268416762352]","[864.0921020507812, 481.0906677246094, 0.01609637215733528]","[14.9016808044085, -1.4598338372032749, 0.371089606679577]","[-0.1357652546685857, 18.006456111936075, 0.40122718151611736]"
7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000007_RGB.png,"[563.0279541015625, 544.2408447265625, 0.6751323342323303]","[545.3309326171875, 563.2965087890625, 0.7166942358016968]","[543.7887573242188, 525.3626098632812, 0.5993874669075012]","[552.5244140625, 588.9913940429688, 0.6169447898864746]","[551.1830444335938, 498.7713317871094, 0.7241599559783936]","[631.0101318359375, 633.2320556640625, 0.8683874607086182]","[634.6427001953125, 453.16461181640625, 0.6882191896438599]","[740.8858642578125, 665.9227905273438, 0.6955535411834717]","[744.2086181640625, 421.7672424316406, 0.8145859241485596]","[818.4879150390625, 621.2545776367188, 0.31167033314704895]","[835.160888671875, 472.7315368652344, 0.3454747200012207]","[849.523193359375, 606.7608642578125, 0.6431654691696167]","[847.1309204101562, 487.9761962890625, 0.6121417284011841]","[848.3748779296875, 645.0311279296875, 0.00976281426846981]","[851.6517333984375, 469.3158874511719, 0.01948942430317402]","[852.6664428710938, 617.5371704101562, 0.016612306237220764]","[863.236083984375, 480.08154296875, 0.01867661066353321]","[16.248429055882564, -1.358530754419108, 0.4385631980330094]","[-0.6353838182979838, 17.895170635139067, 0.39426889440170126]"
8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000008_RGB.png,"[576.010986328125, 544.4755859375, 0.614594578742981]","[557.1205444335938, 565.529541015625, 0.4519357681274414]","[553.9261474609375, 525.6051635742188, 0.5105981230735779]","[562.2012939453125, 593.6598510742188, 0.6379209756851196]","[557.3703002929688, 497.6611633300781, 0.5877346396446228]","[635.4360961914062, 635.8321533203125, 0.8637850880622864]","[640.646484375, 450.92022705078125, 0.746069073677063]","[738.2108154296875, 669.582763671875, 0.7383233308792114]","[746.9835815429688, 422.02471923828125, 0.8044453263282776]","[817.1548461914062, 625.976318359375, 0.3343220353126526]","[826.7389526367188, 471.78985595703125, 0.3492615222930908]","[853.0783081054688, 605.4663696289062, 0.6062051057815552]","[851.4840698242188, 487.4541320800781, 0.6267297267913818]","[848.2644653320312, 644.6192016601562, 0.008137688972055912]","[852.1378173828125, 470.2097473144531, 0.017388971522450447]","[850.0573120117188, 628.1652221679688, 0.017718156799674034]","[862.42578125, 479.1834411621094, 0.017427649348974228]","[19.986484382683837, -0.9403682568629366, 0.4869848654171293]","[0.42142189973013106, 24.093592984304287, 1.1851907381235425]"
9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000009_RGB.png,"[582.0636596679688, 543.5590209960938, 0.648108959197998]","[563.8585815429688, 565.5645751953125, 0.7407091856002808]","[561.3885498046875, 525.5804443359375, 0.5899407267570496]","[568.998779296875, 594.4539184570312, 0.6098446846008301]","[563.5301513671875, 497.9530029296875, 0.7047626972198486]","[640.3396606445312, 635.7462768554688, 0.806433916091919]","[643.018798828125, 449.8379211425781, 0.746729850769043]","[740.2547607421875, 668.3033447265625, 0.7102011442184448]","[746.8082275390625, 419.37005615234375, 0.7696576118469238]","[818.8067016601562, 623.9873046875, 0.342152863740921]","[836.1265869140625, 470.974853515625, 0.35356470942497253]","[855.8822021484375, 603.7830810546875, 0.5746002793312073]","[854.1756591796875, 487.15264892578125, 0.649340033531189]","[851.4267578125, 628.221923828125, 0.00863993912935257]","[853.9530029296875, 471.13116455078125, 0.0160150695592165]","[849.9041748046875, 627.8981323242188, 0.01611863449215889]","[863.0493774414062, 480.4267578125, 0.017268318682909012]","[23.39807210685344, -0.6009938900079594, 0.44291593924713357]","[0.028474854463957613, 24.030111330695583, 1.365805551631506]"
