,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000000_RGB.png,"[518.5838012695312, 558.8714599609375, 0.5938950181007385]","[502.8132019042969, 574.5691528320312, 0.42295390367507935]","[502.6052551269531, 542.5364990234375, 0.5870722532272339]","[513.6727294921875, 591.6923217773438, 0.5897226929664612]","[514.8511352539062, 519.7175903320312, 0.6531655192375183]","[587.677978515625, 620.5225830078125, 0.7034387588500977]","[592.37255859375, 477.1973571777344, 0.6720062494277954]","[714.4979858398438, 636.7120361328125, 0.5495081543922424]","[711.4482421875, 458.8444519042969, 0.44236764311790466]","[820.4473266601562, 666.0140380859375, 0.563954770565033]","[819.0909423828125, 445.6226501464844, 0.4267333447933197]","[776.3184814453125, 587.8988037109375, 0.5595954656600952]","[776.0466918945312, 493.98052978515625, 0.5092580318450928]","[819.2015380859375, 627.7734985351562, 0.12681393325328827]","[830.349365234375, 467.84136962890625, 0.22212524712085724]","[835.07080078125, 656.5068359375, 0.19581902027130127]","[842.8008422851562, 447.36236572265625, 0.17767076194286346]","[-0.9594386760401209, -0.3640215652562415, 1.154754256164276]","[4.795298257530436, -4.717462732208242, 0.09931163991620236]"
1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000001_RGB.png,"[518.6964111328125, 557.9284057617188, 0.5475249290466309]","[504.236083984375, 573.85986328125, 0.500525712966919]","[502.5016174316406, 541.6864013671875, 0.558178186416626]","[513.9876708984375, 591.5308837890625, 0.5826014876365662]","[514.992919921875, 519.4779052734375, 0.6615610718727112]","[587.8575439453125, 620.9893798828125, 0.6972658634185791]","[591.8634643554688, 475.2785949707031, 0.7390705347061157]","[717.97607421875, 636.8065795898438, 0.45822522044181824]","[711.26318359375, 459.96734619140625, 0.4631457030773163]","[821.8020629882812, 665.81591796875, 0.5630496740341187]","[818.6836547851562, 446.0704345703125, 0.4297260046005249]","[770.5711059570312, 587.7190551757812, 0.5912237763404846]","[774.1556396484375, 493.8779602050781, 0.5243602991104126]","[808.7590942382812, 623.2744140625, 0.1601945459842682]","[828.2543334960938, 475.6058654785156, 0.21693240106105804]","[835.2944946289062, 656.380126953125, 0.2094578742980957]","[842.3028564453125, 448.5111083984375, 0.19340628385543823]","[-0.9993556749468399, -0.33826697259243976, 1.013986737825139]","[4.900288011938129, -4.754537427011075, 0.11682679525982145]"
2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000002_RGB.png,"[518.5556030273438, 558.314697265625, 0.5791608095169067]","[504.3184509277344, 574.2249145507812, 0.49943816661834717]","[502.6743469238281, 541.886474609375, 0.5520712733268738]","[513.9567260742188, 591.1740112304688, 0.5737637281417847]","[515.837646484375, 519.2081298828125, 0.6766772270202637]","[585.9791259765625, 620.0394897460938, 0.7132344841957092]","[591.7606811523438, 473.80767822265625, 0.7396665215492249]","[716.8480224609375, 638.5200805664062, 0.47930198907852173]","[710.8155517578125, 458.8051452636719, 0.4382396638393402]","[818.6846313476562, 665.9766235351562, 0.5608464479446411]","[819.4202880859375, 444.7798156738281, 0.45540741086006165]","[774.2528686523438, 588.6453247070312, 0.5709229707717896]","[774.9482421875, 494.9909362792969, 0.504683256149292]","[809.44775390625, 624.0206909179688, 0.15194222331047058]","[829.0270385742188, 474.9635314941406, 0.19173483550548553]","[834.0254516601562, 656.1685180664062, 0.2129623293876648]","[841.5457763671875, 446.6774597167969, 0.21098390221595764]","[-0.986880363894854, -0.29694992535394993, 0.5575016447075419]","[5.022879850327274, -4.744319893452431, 0.127258604009144]"
3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000003_RGB.png,"[518.5464477539062, 558.1318359375, 0.5673964619636536]","[504.0961608886719, 573.8497924804688, 0.5160128474235535]","[502.4344787597656, 541.543701171875, 0.5509341359138489]","[513.6106567382812, 590.75927734375, 0.556657075881958]","[515.5313720703125, 519.2453002929688, 0.6854891777038574]","[584.0996704101562, 619.4320068359375, 0.7339179515838623]","[590.3128662109375, 474.7517395019531, 0.7496182322502136]","[716.1390380859375, 637.9024047851562, 0.4747089147567749]","[709.2948608398438, 460.30181884765625, 0.5272105932235718]","[819.5921630859375, 666.07177734375, 0.5764485597610474]","[818.361083984375, 446.94818115234375, 0.4557155668735504]","[774.2097778320312, 588.6825561523438, 0.5702232122421265]","[775.48046875, 494.9698181152344, 0.4937100112438202]","[808.1588745117188, 625.2307739257812, 0.16448327898979187]","[829.3070068359375, 474.6015319824219, 0.23496825993061066]","[833.9175415039062, 655.147705078125, 0.22411809861660004]","[841.2345581054688, 449.87841796875, 0.20823177695274353]","[-0.8537251834245826, -0.3783849421649828, -0.0598896288058481]","[5.052147274528612, -4.7264871826115975, 0.1146966431296443]"
4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000004_RGB.png,"[518.4203491210938, 557.5487670898438, 0.5487130284309387]","[504.61151123046875, 573.3121337890625, 0.5179533958435059]","[502.56304931640625, 541.1956176757812, 0.5207180976867676]","[514.6461791992188, 590.3504028320312, 0.5545694828033447]","[515.3571166992188, 519.1607666015625, 0.6838833689689636]","[584.2334594726562, 619.4938354492188, 0.7427924871444702]","[589.3765258789062, 475.93914794921875, 0.76902836561203]","[715.12255859375, 638.6451416015625, 0.5093439817428589]","[707.1537475585938, 459.7938537597656, 0.552911102771759]","[820.029296875, 666.2023315429688, 0.5659360289573669]","[818.4317016601562, 446.4543762207031, 0.4334128797054291]","[773.6254272460938, 588.41845703125, 0.5847926139831543]","[774.1881103515625, 494.24957275390625, 0.5207056999206543]","[808.453125, 625.4501953125, 0.15596508979797363]","[830.55908203125, 468.3170471191406, 0.27290084958076477]","[834.7479858398438, 656.0842895507812, 0.21772539615631104]","[841.0840454101562, 448.9983825683594, 0.20956012606620789]","[-0.757744657750288, -0.3094756448990119, -0.46327275143521385]","[3.1753988339890937, -3.924876793320146, -0.14030079951602972]"
5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000005_RGB.png,"[518.8493041992188, 555.9343872070312, 0.667722761631012]","[505.0847473144531, 570.644775390625, 0.5564442873001099]","[503.8714599609375, 538.986328125, 0.43551111221313477]","[513.566650390625, 587.8536987304688, 0.6988629698753357]","[514.8353271484375, 518.8359375, 0.7403237223625183]","[582.5045776367188, 619.0831909179688, 0.7537335753440857]","[588.6279907226562, 476.55108642578125, 0.788664698600769]","[710.5101928710938, 639.5072021484375, 0.5764816999435425]","[702.7660522460938, 457.6438293457031, 0.5950884819030762]","[818.4288940429688, 665.9484252929688, 0.5580833554267883]","[819.063720703125, 446.0179443359375, 0.4473648965358734]","[775.1574096679688, 586.6078491210938, 0.5746936798095703]","[773.8615112304688, 493.83807373046875, 0.5554489493370056]","[821.098876953125, 627.2434692382812, 0.12979739904403687]","[830.2028198242188, 466.8124084472656, 0.25883015990257263]","[835.0942993164062, 655.94970703125, 0.21946978569030762]","[840.5576782226562, 447.9845886230469, 0.23758459091186523]","[-0.5036104798029863, -0.20917962628281178, -0.9419086495595654]","[3.179159709972901, -3.9480543379928648, -0.16509327624596076]"
6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000006_RGB.png,"[518.518798828125, 555.3087768554688, 0.6891231536865234]","[504.6393127441406, 570.12646484375, 0.5763433575630188]","[503.4267578125, 538.22607421875, 0.42806732654571533]","[512.9129638671875, 587.5418090820312, 0.7096131443977356]","[514.6911010742188, 518.4541625976562, 0.7605552673339844]","[581.6541748046875, 620.8847045898438, 0.7592299580574036]","[589.9677124023438, 473.8243713378906, 0.7790780067443848]","[710.0339965820312, 640.9805297851562, 0.6152514219284058]","[705.4048461914062, 457.33270263671875, 0.5115695595741272]","[820.8917846679688, 666.4298706054688, 0.5739343762397766]","[820.2824096679688, 444.9157409667969, 0.4459741413593292]","[775.1345825195312, 588.400634765625, 0.5935034155845642]","[774.52392578125, 495.451416015625, 0.5412293076515198]","[810.1085815429688, 620.9053344726562, 0.18784745037555695]","[828.2691040039062, 469.5306701660156, 0.2675609588623047]","[834.5269165039062, 654.280029296875, 0.24959832429885864]","[840.8358764648438, 446.85986328125, 0.2247059941291809]","[-0.145456577417085, -0.25876355600127976, -1.538224498098363]","[3.1032924344177686, -3.9090294928202134, -0.20213819421666504]"
7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000007_RGB.png,"[519.662109375, 553.3394165039062, 0.676681637763977]","[505.6252136230469, 568.8944091796875, 0.608202338218689]","[505.889892578125, 536.0758666992188, 0.49082744121551514]","[513.87451171875, 587.660400390625, 0.721204936504364]","[517.1898193359375, 517.19970703125, 0.748388409614563]","[582.8536376953125, 622.3190307617188, 0.7472506761550903]","[593.11865234375, 477.1999206542969, 0.6867591142654419]","[710.8828125, 641.163818359375, 0.6491349935531616]","[708.8939208984375, 459.917724609375, 0.508148193359375]","[821.4443359375, 666.7186279296875, 0.5573042035102844]","[820.0692749023438, 445.0467224121094, 0.44171398878097534]","[774.0546264648438, 588.288818359375, 0.5730352401733398]","[774.5238647460938, 495.782470703125, 0.5316585898399353]","[809.60986328125, 622.0277099609375, 0.17540006339550018]","[827.4201049804688, 477.84796142578125, 0.2529621720314026]","[834.0015869140625, 656.2625732421875, 0.24641484022140503]","[840.6739501953125, 447.4565124511719, 0.21109241247177124]","[0.10593702822703385, -0.26201551829771497, -1.8759686656344932]","[1.5242787685869847, -3.301684972313687, -0.6672301027234917]"
8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000008_RGB.png,"[519.91943359375, 551.9920043945312, 0.6776131987571716]","[505.8915100097656, 567.7705078125, 0.6351878643035889]","[506.1086730957031, 535.28125, 0.4932731091976166]","[513.1908569335938, 587.054443359375, 0.7453923225402832]","[516.3050537109375, 517.2282104492188, 0.7815885543823242]","[583.1290283203125, 621.0393676757812, 0.7779178023338318]","[594.804443359375, 476.62451171875, 0.7190600037574768]","[710.0768432617188, 641.8675537109375, 0.6606565117835999]","[709.9228515625, 460.6541442871094, 0.5170717835426331]","[820.1484985351562, 666.7346801757812, 0.5427325367927551]","[819.950927734375, 445.1980285644531, 0.44432634115219116]","[774.7467651367188, 587.9030151367188, 0.5839632749557495]","[773.9655151367188, 495.0546569824219, 0.5663666725158691]","[811.9261474609375, 623.15234375, 0.16592290997505188]","[828.6619262695312, 477.62030029296875, 0.25337696075439453]","[835.000732421875, 657.4398193359375, 0.2209545224905014]","[841.4501953125, 447.2596740722656, 0.21564927697181702]","[0.14998331159952172, -0.22652894884881442, -1.9535371864413125]","[1.024804014281042, -3.1149642762676137, -0.7608384791204915]"
9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000009_RGB.png,"[521.1968383789062, 551.1698608398438, 0.6531021595001221]","[506.75128173828125, 566.5241088867188, 0.5804094672203064]","[506.8519592285156, 535.416259765625, 0.45928317308425903]","[513.8509521484375, 586.06689453125, 0.7552497386932373]","[517.400146484375, 516.9613037109375, 0.7660531401634216]","[582.87939453125, 619.0349731445312, 0.7805384397506714]","[592.7493896484375, 477.6349182128906, 0.7105811834335327]","[714.6967163085938, 642.970703125, 0.6224152445793152]","[707.5503540039062, 461.7301940917969, 0.6131669282913208]","[822.8876342773438, 666.014892578125, 0.549235463142395]","[820.4749145507812, 444.5213623046875, 0.3878251612186432]","[777.3282470703125, 589.45263671875, 0.5524601340293884]","[775.6654663085938, 495.7529602050781, 0.5465005040168762]","[809.6904907226562, 620.7234497070312, 0.14426596462726593]","[827.5624389648438, 478.0265197753906, 0.22261063754558563]","[836.7090454101562, 655.196533203125, 0.22307220101356506]","[841.28125, 445.9161376953125, 0.22138628363609314]","[0.3560454454407309, -0.01774417313936454, -2.061835425859732]","[0.2783066072320269, -2.9215220815690457, -0.9767570154063678]"
