,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/20/free_1_ID20/RGB/000000_RGB.png,"[518.8135375976562, 546.1677856445312, 0.6043733954429626]","[504.0027160644531, 560.00537109375, 0.5710707902908325]","[504.29705810546875, 532.761962890625, 0.5862902402877808]","[507.99835205078125, 581.0221557617188, 0.7227605581283569]","[509.18768310546875, 515.038330078125, 0.6616911888122559]","[581.3721923828125, 612.2188720703125, 0.775392472743988]","[585.9244995117188, 476.5970764160156, 0.8080399036407471]","[698.9434814453125, 634.6812133789062, 0.6137651205062866]","[698.9407958984375, 456.5091857910156, 0.6468027234077454]","[783.29833984375, 576.583984375, 0.4809364378452301]","[788.9854736328125, 505.39227294921875, 0.4985870122909546]","[776.8963012695312, 589.395263671875, 0.5488303899765015]","[771.4984130859375, 492.369140625, 0.6042868494987488]","[837.2399291992188, 698.2958984375, 0.15895311534404755]","[836.9122314453125, 390.2060546875, 0.0962405726313591]","[825.4053344726562, 567.0242919921875, 0.04663889855146408]","[833.6826782226562, 509.9168701171875, 0.04154793173074722]","[-2.447692115988731, 0.2498764443842877, 1.4370394051276685]","[-3.31157260315731, -19.523318813314642, 1.7292041309738935]"
1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/20/free_1_ID20/RGB/000001_RGB.png,"[518.91845703125, 546.334716796875, 0.6062027215957642]","[503.9876708984375, 560.1572875976562, 0.5743589997291565]","[504.33197021484375, 532.8132934570312, 0.5884755253791809]","[507.94903564453125, 581.2006225585938, 0.7194205522537231]","[509.3251037597656, 514.8528442382812, 0.6600577235221863]","[581.0086669921875, 612.4213256835938, 0.7753822803497314]","[586.553466796875, 476.37103271484375, 0.8012780547142029]","[699.074951171875, 634.9520874023438, 0.6028650999069214]","[698.6229858398438, 456.712646484375, 0.6715148687362671]","[783.9677734375, 579.5465087890625, 0.5047645568847656]","[789.2469482421875, 507.44964599609375, 0.47213834524154663]","[777.5327758789062, 587.9409790039062, 0.5322739481925964]","[771.1741943359375, 492.89752197265625, 0.6096325516700745]","[836.6250610351562, 697.6812744140625, 0.15562179684638977]","[837.5645751953125, 386.11962890625, 0.13225245475769043]","[824.3565063476562, 567.2515869140625, 0.0723491981625557]","[832.96826171875, 511.4779968261719, 0.049430616199970245]","[-2.22156814598394, 0.1510122533150294, 1.4764735969665643]","[-3.296475865585364, -19.498737134316386, 1.7330796017410575]"
2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/20/free_1_ID20/RGB/000002_RGB.png,"[518.57177734375, 546.2302856445312, 0.6137290000915527]","[503.54034423828125, 560.130126953125, 0.5901093482971191]","[504.018798828125, 532.6219482421875, 0.5945394039154053]","[507.7742919921875, 581.3778076171875, 0.7205862402915955]","[508.9412536621094, 515.096923828125, 0.6625868678092957]","[580.6675415039062, 612.8992309570312, 0.7786198258399963]","[585.6558837890625, 476.43658447265625, 0.8011143207550049]","[698.3165283203125, 635.311279296875, 0.6039372086524963]","[698.2422485351562, 456.550537109375, 0.6736258268356323]","[783.5234985351562, 578.2852783203125, 0.47891736030578613]","[787.8919067382812, 504.6260070800781, 0.4912053346633911]","[777.75732421875, 588.9898071289062, 0.5346351861953735]","[772.0202026367188, 492.37445068359375, 0.5985474586486816]","[834.3860473632812, 697.0626220703125, 0.19558796286582947]","[837.7003784179688, 386.96417236328125, 0.1260906308889389]","[824.9324340820312, 568.039794921875, 0.06380806863307953]","[833.3916625976562, 502.0220642089844, 0.045078475028276443]","[-2.178886907280588, 0.2601051807907249, 1.4508048044555377]","[-3.284156900470968, -19.472453077825012, 1.7364401748483453]"
3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/20/free_1_ID20/RGB/000003_RGB.png,"[518.4661254882812, 546.3198852539062, 0.6133301258087158]","[503.38775634765625, 560.1718139648438, 0.5950337648391724]","[503.9031982421875, 532.7149658203125, 0.6033841371536255]","[507.7734375, 581.0384521484375, 0.7322194576263428]","[508.9549255371094, 515.0739135742188, 0.6639586091041565]","[580.5955200195312, 612.4137573242188, 0.7785240411758423]","[586.0953979492188, 475.8352966308594, 0.8019257187843323]","[699.146484375, 634.8182983398438, 0.6077166199684143]","[699.2969360351562, 456.2605895996094, 0.6528928279876709]","[784.0089721679688, 576.2640991210938, 0.4609614312648773]","[788.71826171875, 504.7544250488281, 0.4976390302181244]","[778.2258911132812, 589.3113403320312, 0.5409098863601685]","[771.5967407226562, 492.3354187011719, 0.6121428608894348]","[836.5965576171875, 698.2504272460938, 0.16321532428264618]","[837.4232788085938, 390.5599365234375, 0.1015484482049942]","[825.666748046875, 566.69482421875, 0.04992451146245003]","[834.3670043945312, 502.1946105957031, 0.03803453594446182]","[-1.9614148378694147, 0.25244271472734564, 1.2144253863496748]","[-3.2671873254742017, -19.468961161514155, 1.7425189864612205]"
4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/20/free_1_ID20/RGB/000004_RGB.png,"[518.51953125, 546.0938720703125, 0.6112231612205505]","[503.4463806152344, 560.2066650390625, 0.593255341053009]","[503.8852233886719, 532.444580078125, 0.6038259267807007]","[507.8951416015625, 581.377197265625, 0.7201734185218811]","[508.6353759765625, 514.8522338867188, 0.6570236086845398]","[580.8854370117188, 612.6456298828125, 0.7793197631835938]","[586.0230712890625, 476.0654602050781, 0.8030520677566528]","[699.6675415039062, 635.4122314453125, 0.5740136504173279]","[699.319580078125, 456.0188903808594, 0.6337378621101379]","[784.5252075195312, 576.2176513671875, 0.44936686754226685]","[789.5532836914062, 505.4615478515625, 0.48595401644706726]","[777.97412109375, 588.4906616210938, 0.5275353789329529]","[771.4024658203125, 493.2593688964844, 0.6140120625495911]","[835.6347045898438, 695.6404418945312, 0.17823852598667145]","[837.892333984375, 390.2105712890625, 0.10883999615907669]","[826.2470703125, 566.364501953125, 0.05199895054101944]","[835.7279663085938, 503.16705322265625, 0.041455112397670746]","[-1.771364148262774, 0.013834702760447428, 1.130024171179179]","[-3.267153279905527, -19.44744950193302, 1.7778015814645138]"
5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/20/free_1_ID20/RGB/000005_RGB.png,"[518.7652587890625, 546.667236328125, 0.6213917136192322]","[503.77734375, 560.6377563476562, 0.5945764780044556]","[504.06182861328125, 533.0557250976562, 0.592359185218811]","[508.2344970703125, 581.54150390625, 0.7355958223342896]","[509.16680908203125, 515.1499633789062, 0.6673678159713745]","[581.595947265625, 612.595947265625, 0.7879356741905212]","[586.4039306640625, 476.12530517578125, 0.8023456931114197]","[700.2689819335938, 635.1751098632812, 0.6004154086112976]","[698.9434204101562, 456.4868469238281, 0.6590441465377808]","[784.1226196289062, 577.5888671875, 0.4823148548603058]","[788.9815063476562, 507.150390625, 0.4841187596321106]","[779.569580078125, 588.6270141601562, 0.5163142085075378]","[772.3763427734375, 492.6536865234375, 0.6024733781814575]","[837.0143432617188, 698.4024047851562, 0.17618149518966675]","[836.880126953125, 387.9091796875, 0.1111346185207367]","[825.0936889648438, 566.4227905273438, 0.06397151947021484]","[834.0283203125, 504.81854248046875, 0.04570426419377327]","[-1.7536406729666731, -0.02359445051683672, 1.1976047828094065]","[-3.233758007015006, -19.442420184935884, 1.7858497763947991]"
6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/20/free_1_ID20/RGB/000006_RGB.png,"[518.7064819335938, 546.0691528320312, 0.6086844801902771]","[503.6988525390625, 560.19775390625, 0.5914598703384399]","[504.03594970703125, 532.4364624023438, 0.6051717400550842]","[508.20703125, 581.0752563476562, 0.7283691763877869]","[508.97540283203125, 514.8330688476562, 0.658027172088623]","[581.2162475585938, 612.674072265625, 0.7840742468833923]","[586.1972045898438, 476.0424499511719, 0.8034824132919312]","[700.1471557617188, 635.0617065429688, 0.5953764915466309]","[698.6364135742188, 456.5559387207031, 0.6669233441352844]","[784.0266723632812, 577.5872192382812, 0.4897731840610504]","[788.5498046875, 507.1927490234375, 0.4950857162475586]","[779.5613403320312, 588.4592895507812, 0.5137357115745544]","[772.20263671875, 493.6401672363281, 0.6034327149391174]","[836.6736450195312, 697.7452392578125, 0.17025761306285858]","[837.458984375, 386.78448486328125, 0.12327104806900024]","[824.4389038085938, 566.7734375, 0.07223144918680191]","[833.364501953125, 504.79364013671875, 0.049555547535419464]","[-1.828789973238746, 0.1210176167512796, 1.239704138775168]","[-3.21459612886683, -19.376168982458644, 1.8045993046662119]"
7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/20/free_1_ID20/RGB/000007_RGB.png,"[518.8335571289062, 546.3912963867188, 0.610993504524231]","[503.79217529296875, 560.5465087890625, 0.5858238339424133]","[504.0566101074219, 532.7225952148438, 0.5983262658119202]","[508.271728515625, 581.5283203125, 0.7430380582809448]","[508.746826171875, 514.9636840820312, 0.6619625687599182]","[581.6688232421875, 612.8491821289062, 0.7864164710044861]","[586.2913818359375, 476.3559875488281, 0.8078369498252869]","[699.6461181640625, 635.8198852539062, 0.5763698220252991]","[698.7059936523438, 455.86358642578125, 0.6086073517799377]","[784.4671630859375, 576.6004028320312, 0.45119497179985046]","[788.380615234375, 505.9559020996094, 0.48027676343917847]","[775.404296875, 588.4512939453125, 0.5572392344474792]","[769.7054443359375, 493.5565185546875, 0.6191307902336121]","[835.1175537109375, 696.015869140625, 0.2375360131263733]","[838.5107421875, 389.2686462402344, 0.11212261021137238]","[824.8170776367188, 567.1903686523438, 0.06947515159845352]","[833.1558227539062, 513.6892700195312, 0.05462926998734474]","[-1.8957636641446545, 0.120983519295989, 1.1436320550876768]","[-3.232236719659713, -19.376918512785952, 1.8288567296666898]"
8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/20/free_1_ID20/RGB/000008_RGB.png,"[518.8260498046875, 546.5313720703125, 0.6132919192314148]","[503.5238952636719, 560.5897827148438, 0.5988646149635315]","[504.04803466796875, 532.769287109375, 0.6016576290130615]","[507.953857421875, 581.3446044921875, 0.7274208068847656]","[508.7730407714844, 514.59619140625, 0.6610751152038574]","[581.1788330078125, 612.2291259765625, 0.7717190980911255]","[586.3738403320312, 476.3100280761719, 0.8062609434127808]","[699.0127563476562, 635.3451538085938, 0.5762625336647034]","[698.7472534179688, 455.8970642089844, 0.6200045347213745]","[783.8282470703125, 576.1028442382812, 0.42934650182724]","[787.5220336914062, 507.51556396484375, 0.5055756568908691]","[777.4229125976562, 588.5805053710938, 0.5280261039733887]","[770.9995727539062, 493.9341735839844, 0.6037783622741699]","[835.1644897460938, 694.6768188476562, 0.21735849976539612]","[838.1376953125, 389.1482238769531, 0.119796521961689]","[824.879638671875, 566.8641357421875, 0.06748014688491821]","[834.232666015625, 504.03778076171875, 0.05202484503388405]","[-1.9332780045600193, 0.003510002457541386, 1.1295804009094361]","[-3.2260144873554424, -19.36650316203304, 1.8395860411039855]"
9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/20/free_1_ID20/RGB/000009_RGB.png,"[518.8499755859375, 547.0873413085938, 0.6169787049293518]","[503.3062438964844, 561.1005859375, 0.611953616142273]","[504.0915832519531, 533.0348510742188, 0.592178463935852]","[508.1128234863281, 581.65625, 0.7351219058036804]","[509.60601806640625, 514.9329223632812, 0.6819964051246643]","[580.5028686523438, 613.2610473632812, 0.7953875660896301]","[585.95751953125, 475.9214782714844, 0.8062334060668945]","[699.8176879882812, 635.6699829101562, 0.5875446200370789]","[698.7901611328125, 455.57293701171875, 0.616986095905304]","[783.75048828125, 576.7030639648438, 0.4923251271247864]","[787.3924560546875, 506.83428955078125, 0.4982660412788391]","[779.1200561523438, 588.3854370117188, 0.5289830565452576]","[771.9443359375, 492.4552307128906, 0.594963014125824]","[835.4837036132812, 697.1532592773438, 0.1707959920167923]","[837.4447631835938, 388.7880859375, 0.11518634855747223]","[823.7969360351562, 566.7258911132812, 0.07905910164117813]","[831.5684814453125, 513.5291748046875, 0.05207490921020508]","[-2.0244907427986276, -0.1699361137107061, 1.2139361021499868]","[-3.276242866293612, -19.311360533530234, 1.855941289995505]"
