,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/base_1_ID21/RGB/000000_RGB.png,"[551.49462890625, 546.6200561523438, 0.6341507434844971]","[541.5836791992188, 560.3095092773438, 0.5187224745750427]","[540.88037109375, 531.3150024414062, 0.4195917844772339]","[550.1856079101562, 574.505615234375, 0.6480441093444824]","[551.7310791015625, 513.3671875, 0.736280083656311]","[609.6329345703125, 598.9071044921875, 0.7207354307174683]","[624.0442504882812, 478.1346130371094, 0.6874610781669617]","[716.5435180664062, 621.9725952148438, 0.523495614528656]","[729.325927734375, 460.40814208984375, 0.4827372431755066]","[814.5365600585938, 650.110107421875, 0.4485015869140625]","[817.7606811523438, 443.6513671875, 0.4651220738887787]","[803.4210815429688, 579.9322509765625, 0.5579197406768799]","[798.972900390625, 488.854248046875, 0.46560612320899963]","[830.7350463867188, 613.642822265625, 0.41462528705596924]","[834.20654296875, 487.420166015625, 0.30767372250556946]","[836.4716186523438, 629.2843627929688, 0.07564421743154526]","[843.8450317382812, 472.1301574707031, 0.1515132337808609]","[-13.870519882586278, -3.6201649782694765, 1.8191803569447023]","[0.8170659159133513, -13.23315694815921, -0.23396912383627635]"
1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/base_1_ID21/RGB/000001_RGB.png,"[551.377197265625, 546.5881958007812, 0.6298931241035461]","[541.63720703125, 559.9896240234375, 0.5041733980178833]","[541.0582275390625, 531.5247802734375, 0.4437321722507477]","[550.1289672851562, 574.06689453125, 0.6547741889953613]","[552.0780639648438, 513.7883911132812, 0.7325074672698975]","[609.3655395507812, 598.1201782226562, 0.7090592980384827]","[623.76171875, 479.8738098144531, 0.555252194404602]","[714.759521484375, 620.6377563476562, 0.5114803910255432]","[728.5597534179688, 459.78546142578125, 0.4491502642631531]","[815.8603515625, 649.82421875, 0.5685484409332275]","[818.2945556640625, 443.3841247558594, 0.45064011216163635]","[801.2044677734375, 578.2926025390625, 0.5744075775146484]","[793.2548828125, 488.7612609863281, 0.4049609303474426]","[831.98193359375, 615.0901489257812, 0.3932989835739136]","[834.8414916992188, 478.7998962402344, 0.3473323881626129]","[836.8319702148438, 631.5480346679688, 0.06747753173112869]","[844.3519897460938, 472.2989501953125, 0.1474922001361847]","[-13.562662342395807, -3.5660265108393276, 1.7838941331456828]","[1.017256351594879, -13.368857162246044, -0.3451179376980065]"
2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/base_1_ID21/RGB/000002_RGB.png,"[553.5296020507812, 546.4833374023438, 0.6172811985015869]","[543.3703002929688, 559.6043701171875, 0.5426992177963257]","[543.3822631835938, 531.2471313476562, 0.5455724000930786]","[551.0303955078125, 573.82568359375, 0.6462095975875854]","[554.6585083007812, 513.4313354492188, 0.6918636560440063]","[610.068115234375, 598.2857666015625, 0.7301214337348938]","[624.5858764648438, 480.24749755859375, 0.582522988319397]","[717.2550659179688, 621.2908935546875, 0.5134317874908447]","[728.7723388671875, 460.6855163574219, 0.47555890679359436]","[815.7651977539062, 648.78369140625, 0.5502808094024658]","[818.428466796875, 443.079833984375, 0.45335227251052856]","[801.867431640625, 577.6616821289062, 0.5715146660804749]","[797.1766967773438, 485.3291320800781, 0.47689005732536316]","[830.3894653320312, 611.8096923828125, 0.4343084394931793]","[834.9892578125, 488.87725830078125, 0.2933844327926636]","[837.0108642578125, 627.4395141601562, 0.07935163378715515]","[844.7113037109375, 471.99847412109375, 0.14142008125782013]","[-12.734884775414478, -3.486623304802829, 1.655961097272374]","[0.6475110503601621, -13.147372663918919, -0.34798585759914047]"
3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/base_1_ID21/RGB/000003_RGB.png,"[555.52197265625, 546.8916015625, 0.6138061285018921]","[545.0310668945312, 560.4406127929688, 0.583177387714386]","[545.2949829101562, 531.3738403320312, 0.5989534854888916]","[552.4468994140625, 574.2059936523438, 0.5975525975227356]","[556.9564208984375, 512.6859741210938, 0.6529178619384766]","[609.2015991210938, 597.4121704101562, 0.7214565873146057]","[624.2227172851562, 479.9907531738281, 0.5797156095504761]","[718.127685546875, 620.6661376953125, 0.49005499482154846]","[728.14892578125, 460.8583068847656, 0.47356683015823364]","[815.1301879882812, 649.6448364257812, 0.4450957477092743]","[817.4378662109375, 443.5556640625, 0.4674840569496155]","[802.8062133789062, 576.33154296875, 0.5342203974723816]","[798.3499145507812, 483.2183532714844, 0.47024595737457275]","[829.7491455078125, 614.4835205078125, 0.40851056575775146]","[834.6893920898438, 488.84588623046875, 0.2978786826133728]","[836.2549438476562, 629.1459350585938, 0.07591154426336288]","[843.3381958007812, 473.8868713378906, 0.13913296163082123]","[-12.938889119965916, -3.5040165517907993, 1.6812068386886807]","[0.4979664731174179, -13.07911866144462, -0.3345009885651414]"
4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/base_1_ID21/RGB/000004_RGB.png,"[555.2803955078125, 546.6663208007812, 0.627951443195343]","[544.959228515625, 560.0321655273438, 0.6235203146934509]","[545.0271606445312, 531.6891479492188, 0.6178206205368042]","[552.5996704101562, 574.2756958007812, 0.5949493050575256]","[555.487060546875, 513.3862915039062, 0.6603232622146606]","[609.4708251953125, 598.3916625976562, 0.7012842893600464]","[624.2344360351562, 479.4898681640625, 0.5604951977729797]","[717.4349975585938, 619.52978515625, 0.4785900413990021]","[728.7926025390625, 461.0195007324219, 0.4484321177005768]","[816.2385864257812, 649.54150390625, 0.5581322908401489]","[817.4785766601562, 443.23553466796875, 0.43325895071029663]","[800.3553466796875, 576.1854858398438, 0.5466390252113342]","[790.7320556640625, 485.2276306152344, 0.41547784209251404]","[829.3693237304688, 612.09228515625, 0.4394512474536896]","[833.8480224609375, 489.1590270996094, 0.29771727323532104]","[836.8165283203125, 629.0745239257812, 0.07565515488386154]","[843.5177001953125, 472.589111328125, 0.14283905923366547]","[-13.123207882433888, -3.529647505734053, 1.7088314820063666]","[0.6835669477880066, -13.217956271772474, -0.3300899199854338]"
5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/base_1_ID21/RGB/000005_RGB.png,"[555.6456298828125, 547.6364135742188, 0.6106225252151489]","[545.3364868164062, 560.81884765625, 0.6383717060089111]","[545.4214477539062, 532.3899536132812, 0.6168765425682068]","[552.8394775390625, 574.2377319335938, 0.5856264233589172]","[556.877197265625, 513.9024047851562, 0.6330977082252502]","[609.5179443359375, 598.2644653320312, 0.7216795682907104]","[624.3610229492188, 480.15631103515625, 0.5626879334449768]","[719.489990234375, 620.2015380859375, 0.4958852529525757]","[727.3148803710938, 460.9461364746094, 0.4624764025211334]","[816.201416015625, 649.829833984375, 0.43895766139030457]","[817.3135986328125, 443.128662109375, 0.44875627756118774]","[805.228515625, 577.5035400390625, 0.5219728946685791]","[799.7937622070312, 485.5509948730469, 0.4722509980201721]","[829.5519409179688, 611.8920288085938, 0.43571317195892334]","[833.9740600585938, 487.9264831542969, 0.2937609851360321]","[836.0213623046875, 629.01318359375, 0.07551392167806625]","[842.8969116210938, 471.167236328125, 0.13859419524669647]","[-12.24722132079386, -3.478893575019629, 1.602145765418705]","[0.8042846818101191, -13.286516558394586, -0.30087625320394634]"
6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/base_1_ID21/RGB/000006_RGB.png,"[560.1657104492188, 544.1250610351562, 0.4010392129421234]","[548.4259643554688, 558.2955932617188, 0.5290759205818176]","[548.0769653320312, 529.9423217773438, 0.6866728663444519]","[557.1881103515625, 572.5133666992188, 0.5299972891807556]","[558.5131225585938, 512.4236450195312, 0.5180066823959351]","[610.19140625, 597.7941284179688, 0.7068610191345215]","[624.4882202148438, 480.830810546875, 0.5605862736701965]","[718.7230834960938, 620.2666625976562, 0.47843095660209656]","[727.5147094726562, 461.0412902832031, 0.4677799344062805]","[817.0343017578125, 649.199462890625, 0.5314558148384094]","[818.103759765625, 442.7458190917969, 0.44964927434921265]","[796.4954833984375, 575.0408935546875, 0.36831754446029663]","[790.7803955078125, 488.6224670410156, 0.3972946107387543]","[830.021484375, 611.3816528320312, 0.4492171108722687]","[834.0580444335938, 489.0079040527344, 0.292376309633255]","[837.9904174804688, 628.281982421875, 0.07755295187234879]","[843.6954345703125, 471.55303955078125, 0.1527901291847229]","[-11.95349863648879, -3.4842413469743247, 1.5688107215961002]","[1.1032959006762095, -13.237038510688876, -0.3995251645151712]"
7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/base_1_ID21/RGB/000007_RGB.png,"[565.3363647460938, 544.5718383789062, 0.6152071952819824]","[552.8716430664062, 558.5297241210938, 0.5138247013092041]","[553.1693115234375, 531.2376708984375, 0.5572751760482788]","[560.3204345703125, 572.9808959960938, 0.593556821346283]","[561.3029174804688, 511.9671630859375, 0.5878303050994873]","[611.4528198242188, 598.4241943359375, 0.7288597822189331]","[625.3150024414062, 481.33221435546875, 0.5697106719017029]","[716.5387573242188, 618.2819213867188, 0.45531776547431946]","[726.952392578125, 462.0229187011719, 0.4743039608001709]","[816.9892578125, 649.264404296875, 0.430183082818985]","[817.5525512695312, 443.7583312988281, 0.4325326681137085]","[796.5516357421875, 574.6703491210938, 0.37337085604667664]","[791.6298217773438, 488.2945251464844, 0.39315763115882874]","[829.21484375, 610.8256225585938, 0.4476257264614105]","[832.9132080078125, 487.98724365234375, 0.2930349111557007]","[837.2313232421875, 628.2708740234375, 0.08137160539627075]","[843.1434326171875, 471.5537414550781, 0.15941673517227173]","[-0.5004980305797744, -3.1230842963327587, 0.676786150124184]","[1.30768977364667, -13.045626594005771, -0.5160469357698968]"
8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/base_1_ID21/RGB/000008_RGB.png,"[568.057373046875, 544.145263671875, 0.5912785530090332]","[555.6802368164062, 558.2699584960938, 0.3134567439556122]","[556.3493041992188, 529.125, 0.40935924649238586]","[560.574951171875, 572.3936767578125, 0.5987240672111511]","[563.1681518554688, 511.6911926269531, 0.5863277316093445]","[610.3987426757812, 598.1085815429688, 0.7008441090583801]","[625.1119995117188, 481.0997619628906, 0.5788536071777344]","[715.4158325195312, 618.3709106445312, 0.46919822692871094]","[728.9113159179688, 461.2554626464844, 0.47894808650016785]","[816.3885498046875, 648.6227416992188, 0.5269742608070374]","[818.5809326171875, 443.0528259277344, 0.4393565356731415]","[792.8358764648438, 574.1840209960938, 0.3980535864830017]","[787.7109375, 488.4429016113281, 0.41208526492118835]","[828.445556640625, 611.3536376953125, 0.42334720492362976]","[832.506591796875, 491.6902770996094, 0.29298511147499084]","[837.4529418945312, 627.653076171875, 0.07872872799634933]","[843.6608276367188, 471.13299560546875, 0.15243098139762878]","[2.0937502680220104, -3.1803718132540126, 0.37533194457555935]","[0.20034321153220877, -12.247246083289397, -0.522359701005565]"
9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/base_1_ID21/RGB/000009_RGB.png,"[571.19287109375, 543.7125854492188, 0.5933318734169006]","[558.606689453125, 557.951171875, 0.44088229537010193]","[558.728515625, 528.885986328125, 0.5350014567375183]","[562.3509521484375, 573.2368774414062, 0.6316278576850891]","[563.90380859375, 511.5913391113281, 0.6294313669204712]","[609.1446533203125, 597.0219116210938, 0.690746545791626]","[624.0068359375, 481.439453125, 0.5652624368667603]","[717.9165649414062, 619.6102294921875, 0.4288387596607208]","[728.22216796875, 462.2610778808594, 0.5161317586898804]","[817.2213745117188, 647.9410400390625, 0.40881669521331787]","[818.1959228515625, 443.5343933105469, 0.42676931619644165]","[792.9988403320312, 574.2953491210938, 0.39887505769729614]","[788.4190673828125, 488.9810791015625, 0.4114151895046234]","[827.1232299804688, 611.1050415039062, 0.4142478108406067]","[831.9711303710938, 491.8316955566406, 0.3172844350337982]","[836.2427368164062, 627.2120971679688, 0.08623433858156204]","[843.2463989257812, 472.53375244140625, 0.15453532338142395]","[3.265475531740992, -3.203493157298046, 0.2919623258841614]","[-0.057103126678933004, -11.87906547689711, -0.5963632580247581]"
