,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/01/free_3_ID01/RGB/000000_RGB.png,"[1015.8079982367623, 482.0215677425607, 0.47881630063056946]","[1044.4329967438523, 460.0183136817865, 0.63902348279953]","[989.7941107046033, 454.51164079189846, 0.5444273948669434]","[1075.399792003808, 490.19805386126257, 0.6982028484344482]","[961.5800279746935, 475.8060732750573, 0.5131426453590393]","[1134.32014483365, 600.541960866796, 0.6042643189430237]","[900.6100875781348, 581.7062413630442, 0.7676814794540405]","[1255.452951016082, 733.5698402135736, 0.6396528482437134]","[798.8121328178673, 707.5460785499854, 0.5059601068496704]","[1383.4560910415867, 851.5964182593968, 0.8108972907066345]","[658.620788132888, 825.408051569671, 0.7150264978408813]","[1084.2598175833884, 960.5908787207261, 0.7196435332298279]","[909.5688002185403, 959.0006010258878, 0.6775184869766235]","[1151.4074920327532, 1093.99788131162, 0.14575357735157013]","[853.0669585472855, 1101.525333175977, 0.16733556985855103]","[1104.506561319105, 1040.9906141108866, 0.20550860464572906]","[870.0047831847426, 1042.8213431820732, 0.22426506876945496]","[-1.213074455572736, 0.031166470169690482, 0.30899924235124077]","[-4.9606938537660765, -12.56081107971774, 3.682127556893282]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/01/free_3_ID01/RGB/000001_RGB.png,"[1019.2616655913617, 482.2299553184979, 0.40754756331443787]","[1045.7395287937668, 457.2888758901099, 0.6188250780105591]","[991.4035941276067, 452.562530650497, 0.566176176071167]","[1075.3981643997263, 487.98141986228575, 0.6692968010902405]","[962.6785522229566, 474.2731957508364, 0.5154765844345093]","[1134.1552142866963, 600.8819131060105, 0.6003605723381042]","[900.9840567426585, 581.5313281777222, 0.7595440149307251]","[1256.1738711173718, 735.4448401157847, 0.6247772574424744]","[799.9106028126611, 707.5648502503952, 0.4819068908691406]","[1385.1928531037854, 852.9400596823759, 0.8180808424949646]","[660.3228279746753, 825.5774309011149, 0.7109473943710327]","[1085.3383765549147, 970.8065899934909, 0.7502145171165466]","[909.5800849401741, 960.2430054749802, 0.6738550066947937]","[1151.204367043347, 1095.0986842055975, 0.13205157220363617]","[845.188812256774, 1098.9868133430934, 0.20559047162532806]","[1106.346839000905, 1043.8970809731914, 0.19593928754329681]","[866.290807683997, 1041.7611218832014, 0.203527569770813]","[-1.2330003555538447, 0.03901307011623661, 0.32061438506860684]","[-4.955742672449676, -12.541015884139616, 3.6755873190401642]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/01/free_3_ID01/RGB/000002_RGB.png,"[1015.8989270514644, 481.0287835061439, 0.4656878709793091]","[1044.6089949985621, 458.82104811922864, 0.6371456384658813]","[989.8385985495054, 453.35105057465023, 0.5455422401428223]","[1075.3425003401294, 489.30303437669147, 0.6878412365913391]","[961.318960279976, 474.8424774051739, 0.4986388683319092]","[1134.0637429373, 600.6007716276177, 0.6061758995056152]","[899.3943758359835, 582.0277474226652, 0.7746634483337402]","[1255.5537539622132, 734.1906084103648, 0.6243270039558411]","[795.9324671694426, 708.3235307663824, 0.5275288224220276]","[1383.0815250888995, 851.7472429043085, 0.80254065990448]","[656.8431732082367, 826.198307604845, 0.7117376327514648]","[1085.4902862692145, 970.5048321967288, 0.7476855516433716]","[909.2391561385105, 960.0239299655727, 0.6790599822998047]","[1151.2894364833546, 1094.0339056152966, 0.13553984463214874]","[852.2253244765968, 1101.4869217196472, 0.16306708753108978]","[1104.4811706954292, 1041.9429795126057, 0.20114479959011078]","[869.0890931283328, 1041.575249497062, 0.20513500273227692]","[-1.2037862748582646, 0.0008796925163143568, 0.30897048477514805]","[-4.931712573626017, -12.517310006365738, 3.6620350300095703]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/01/free_3_ID01/RGB/000003_RGB.png,"[1015.4778116220383, 480.92629870246117, 0.46647047996520996]","[1044.4147675781364, 458.4648740926658, 0.6393789649009705]","[989.699167133166, 453.448001524455, 0.5379546284675598]","[1075.308863189106, 488.67917373214505, 0.6775725483894348]","[961.6229967224525, 474.39732768880685, 0.50275719165802]","[1134.1745285217999, 600.7259886349761, 0.6009268760681152]","[900.6979239450816, 582.2342361271739, 0.7630084753036499]","[1257.1230898178662, 735.2928218945465, 0.619177520275116]","[798.666733519895, 707.8270030145006, 0.5055710077285767]","[1384.3411821412587, 851.8642133843191, 0.7998354434967041]","[659.2022225643694, 825.4689239623297, 0.7050742506980896]","[1082.4469921571012, 962.2692640498583, 0.6936636567115784]","[909.2657403385128, 958.7580880177024, 0.6700595617294312]","[1151.17550419763, 1094.9409151166035, 0.1371723711490631]","[845.6772562417163, 1099.0039574394214, 0.2133764773607254]","[1104.9911533077204, 1044.6563040238725, 0.1931474804878235]","[865.9996835672358, 1043.7390948703198, 0.20935454964637756]","[-1.136296781317163, -0.010865753904514094, 0.34467829415947177]","[-4.923817550656656, -12.520191909166417, 3.6556022619416715]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/01/free_3_ID01/RGB/000004_RGB.png,"[1016.4275728572267, 480.988852952671, 0.45308658480644226]","[1044.8139646059276, 458.54620004328547, 0.6395318508148193]","[990.4797660507882, 453.7226325865207, 0.547048032283783]","[1074.8942581760068, 488.38956871252685, 0.6815597414970398]","[962.2566772449591, 475.02346697906785, 0.5167880654335022]","[1134.379715143043, 600.7059148513007, 0.6051970720291138]","[900.6508861871181, 581.4721918960842, 0.7653957009315491]","[1256.9710715966278, 735.2850093949539, 0.625907838344574]","[799.0109717831916, 706.4974674935636, 0.5345726609230042]","[1384.2336517649226, 852.6981977158234, 0.8106865882873535]","[658.4806514214467, 824.4612200218298, 0.7132642269134521]","[1083.3681075604502, 960.1088908986414, 0.7219261527061462]","[910.1828952385962, 957.1478450461275, 0.6973329782485962]","[1150.4296275004194, 1093.2382242331835, 0.14790786802768707]","[845.2064446343267, 1098.4907196189668, 0.22869081795215607]","[1103.4797601573791, 1041.1378580268183, 0.2178945541381836]","[869.6825718300194, 1042.0439994726148, 0.2306998372077942]","[-1.0797940134065207, -0.003482896223003245, 0.37863534624202483]","[-4.9110020770272556, -12.571832991481275, 3.6533878454559368]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/01/free_3_ID01/RGB/000005_RGB.png,"[1019.5458452640405, 482.53144184791313, 0.4147297143936157]","[1045.9428707970505, 457.3551736297078, 0.6230139136314392]","[991.155221744727, 452.76717473704616, 0.5506150722503662]","[1075.7270489311845, 487.95526969003845, 0.6693116426467896]","[962.0741685739222, 474.6266571039297, 0.5085912346839905]","[1133.6777837560405, 599.9495129810281, 0.5921301245689392]","[900.8925311397932, 582.2476909875832, 0.7594625353813171]","[1254.8726559074576, 733.8047577360439, 0.6316519379615784]","[798.8124040852144, 708.1742252186139, 0.5163113474845886]","[1382.2637082912745, 850.7302073670735, 0.7948271036148071]","[658.4567256414446, 824.900998644727, 0.7124113440513611]","[1083.8778731588638, 960.925622626879, 0.7112956643104553]","[909.9328409981653, 957.9681575033449, 0.6732617020606995]","[1150.7795623780023, 1094.1391573459184, 0.14479981362819672]","[845.7992722943804, 1099.3234018672056, 0.2128303498029709]","[1105.0026550432317, 1043.2018770163934, 0.2042178064584732]","[867.1452455734623, 1042.2279187338559, 0.21666979789733887]","[-1.031509591358139, 0.02550777794847798, 0.3926934295608274]","[-4.89352125345932, -12.564706614325672, 3.6371336796319103]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/01/free_3_ID01/RGB/000006_RGB.png,"[1019.3342567334092, 482.2875182495236, 0.4056239724159241]","[1045.948730171745, 457.2162304945931, 0.6252596974372864]","[991.1194144549277, 452.5733270909061, 0.544506311416626]","[1075.790091462619, 487.81789990553614, 0.6648896932601929]","[962.2214124898538, 474.20380556348323, 0.5123005509376526]","[1134.0563644654626, 600.6544825623165, 0.6006733179092407]","[900.8242260218278, 581.514292588333, 0.7630003094673157]","[1256.1047521973655, 734.5996795695858, 0.6417737007141113]","[799.252670989336, 707.5929535475407, 0.5141947269439697]","[1384.6287255290401, 853.1010839795335, 0.8127481937408447]","[658.6744990675868, 825.2107859549592, 0.708942174911499]","[1083.5225129343416, 961.4061998587595, 0.7054937481880188]","[909.8974134826518, 958.1509916951984, 0.6756460666656494]","[1151.203824508653, 1094.4400470871703, 0.13722087442874908]","[852.4471126594741, 1101.6450163294573, 0.16005496680736542]","[1104.4234450039953, 1041.5978189403293, 0.19744911789894104]","[867.3771249016467, 1042.2124022416097, 0.22381024062633514]","[-1.0704067096437448, 0.01914452989440606, 0.36972183438264167]","[-4.884460303470652, -12.555349405205849, 3.628273076656522]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/01/free_3_ID01/RGB/000007_RGB.png,"[1013.7951945222936, 476.4238575310318, 0.5889865756034851]","[1044.5173066352886, 455.6868794458827, 0.6276884078979492]","[989.821562960116, 451.5675220218352, 0.532893180847168]","[1074.616805933533, 486.7430301699284, 0.671841561794281]","[962.1171373216812, 474.57690667249676, 0.5102574229240417]","[1134.2968158418112, 600.3971041035176, 0.6150397658348083]","[900.5155237809834, 581.3431771458684, 0.7700440287590027]","[1257.813193948541, 734.7551700128649, 0.6296258568763733]","[796.5826407466445, 708.2598371933157, 0.5251992344856262]","[1384.6568288261856, 852.57970813867, 0.8225118517875671]","[656.7249548984302, 825.4513458382464, 0.7064740061759949]","[1085.7852081288331, 968.8094112782073, 0.7480520009994507]","[910.0048353520494, 959.0099326226232, 0.6932370662689209]","[1151.722379169108, 1093.5840358470923, 0.13805636763572693]","[845.7177293298834, 1098.9220347006387, 0.20061816275119781]","[1104.0575596064111, 1043.0810002865867, 0.20024968683719635]","[868.6673266572741, 1042.4251843485679, 0.22954389452934265]","[-1.1109282875192954, -0.010508694472540643, 0.3323554225450227]","[-4.9026604811669925, -12.615557034694781, 3.645500935777712]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/01/free_3_ID01/RGB/000008_RGB.png,"[1014.5901163558353, 477.3239768417259, 0.5683069825172424]","[1045.0882701471771, 456.74270621373387, 0.633532702922821]","[990.6741019781526, 452.4972094733482, 0.5522031188011169]","[1075.174314585012, 487.0929107940417, 0.6703162789344788]","[962.5989081298881, 474.6468393945438, 0.5161575675010681]","[1133.4434087682641, 599.2688489540274, 0.5962377190589905]","[900.7099139618174, 581.0685460838027, 0.7660815715789795]","[1255.4509978911835, 733.516129278875, 0.6431379914283752]","[797.0558937601569, 707.7087304512245, 0.534999430179596]","[1383.6311127338474, 850.9301856552547, 0.8210686445236206]","[656.211391557159, 825.84587706767, 0.7104193568229675]","[1085.366588358999, 959.1637954618209, 0.7410635948181152]","[910.7981295815092, 956.8560698877336, 0.6937329173088074]","[1152.5196881553031, 1093.5590792511719, 0.15098991990089417]","[845.8082241168303, 1098.4615312524334, 0.20897983014583588]","[1104.3234016064353, 1039.7128363997501, 0.20863579213619232]","[868.1761157453927, 1040.8197156822994, 0.235136479139328]","[-1.138980958365461, 0.03954122691729479, 0.3539087244304703]","[-4.907480635543514, -12.601573390402752, 3.648209489295453]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/01/free_3_ID01/RGB/000009_RGB.png,"[1016.3604070621186, 479.4156651006913, 0.44472813606262207]","[1044.4472111528332, 457.06036027702794, 0.6521458029747009]","[990.2648138050542, 452.6647984403022, 0.5343644618988037]","[1074.1059552657314, 487.17922806384547, 0.6883850693702698]","[962.0953274269852, 474.8769283582383, 0.5147823691368103]","[1132.4646761804202, 599.2207803801455, 0.5825108289718628]","[900.2200593866708, 581.9184809353085, 0.7713674306869507]","[1256.410850271679, 731.8926484607682, 0.6020708084106445]","[796.8004684262561, 707.7135047565312, 0.5426229238510132]","[1383.1511865435998, 850.9854156870965, 0.8151443600654602]","[656.8847313657916, 825.8007381811353, 0.7096692323684692]","[1084.3432594193143, 962.1107354122928, 0.7214451432228088]","[910.2520141586025, 959.4609959671541, 0.691440224647522]","[1151.4432993225523, 1094.096405612037, 0.14503364264965057]","[852.2867394039495, 1101.5737272706754, 0.1663855016231537]","[1104.6246168685036, 1040.8390299174034, 0.2047060877084732]","[869.6883769512443, 1040.854437902711, 0.21291570365428925]","[-1.140546870778797, 0.09742065445353822, 0.32389962166827047]","[-4.929104731508135, -12.605462878855661, 3.6625890652345583]"
