,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000000_RGB.png,"[952.6365605591873, 497.0053994263708, 0.43341895937919617]","[988.9628390465685, 472.15953483676697, 0.32556045055389404]","[927.8987146271442, 464.593997036896, 0.4867432117462158]","[1034.3474937976298, 464.28968932707244, 0.6991609334945679]","[887.1138317716028, 448.59432339217733, 0.52741539478302]","[1101.9362489531575, 566.3397057061381, 0.47546425461769104]","[829.8231989088476, 552.8692202975677, 0.7245562076568604]","[1172.536722701611, 742.0647399441411, 0.7236395478248596]","[747.506851205452, 737.4141325478006, 0.7298381924629211]","[1161.2271529789512, 881.9146675462325, 0.30044877529144287]","[750.6231704873677, 911.92812084202, 0.4714984893798828]","[1047.9787864894804, 931.54476478421, 0.37708190083503723]","[889.123977066071, 929.3820044803401, 0.5206252932548523]","[1122.0739432153946, 951.9006665003449, 0.38401299715042114]","[771.3001442353683, 975.8031175106794, 0.5132086277008057]","[1122.1724675158118, 1011.426054020854, 0.16118589043617249]","[763.9389792546997, 995.565594778597, 0.23142357170581818]","[-4.8255075385452635, -1.8953594831666873, -0.011928314098980299]","[2.5612798752181254, 2.5320374833315578, 0.27595551039945726]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000001_RGB.png,"[952.6154017061241, 507.52243446814236, 0.3247627317905426]","[991.7848875104985, 480.5999098305948, 0.437382310628891]","[925.809956055526, 477.2658713760063, 0.4817639887332916]","[1037.8675673987661, 468.38729110989357, 0.6476470828056335]","[887.6983043973701, 455.8838195397782, 0.5649890303611755]","[1100.39143566567, 565.3997100954406, 0.7814837098121643]","[828.9925782924456, 554.6357132609934, 0.7468259334564209]","[1168.8298001518867, 747.5536719495378, 0.6179112195968628]","[752.1333700613824, 740.3674744076604, 0.7811885476112366]","[1145.7886772216305, 901.2210901504352, 0.3381149470806122]","[751.6366795490924, 908.8055081576547, 0.5127505660057068]","[1050.3323019917352, 923.3585672944871, 0.4777863919734955]","[895.89372497689, 920.607807889339, 0.5650497674942017]","[1118.1385050525882, 986.3213461287778, 0.3588278889656067]","[770.072116955665, 989.1088893861736, 0.4053284227848053]","[1120.114307900931, 1011.0485583808197, 0.19032910466194153]","[769.1768804572163, 998.2865147755788, 0.22003313899040222]","[-5.587810528377727, -2.5977147651729933, -0.4021517541671143]","[2.661718964126819, 2.540598561823469, 0.4908722785629664]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000002_RGB.png,"[961.9721720514639, 512.5675730939068, 0.379411518573761]","[1001.0382507431758, 483.7831236402718, 0.5048527717590332]","[938.4663139023899, 486.6226959748153, 0.354769766330719]","[1040.5342339263552, 469.94322635860635, 0.632712721824646]","[893.4377246709527, 460.3810523781459, 0.6033982038497925]","[1090.620277321109, 561.0240592819819, 0.7721143960952759]","[832.7730685466665, 552.3686777889507, 0.7113966345787048]","[1152.323507609979, 740.9253085799562, 0.7533491253852844]","[763.3334020293385, 746.9045834417238, 0.7010695338249207]","[1126.78043168521, 939.5629935326936, 0.2609894573688507]","[774.025187496024, 929.7563534191497, 0.41368648409843445]","[1046.2796763350404, 906.6841975044008, 0.5284356474876404]","[898.0283277301452, 903.4152089596141, 0.4476122558116913]","[1112.247988866747, 1026.5215393446742, 0.37826353311538696]","[759.4345849583722, 1017.9808496859391, 0.3682936429977417]","[1098.8073428663424, 1017.4851899895675, 0.17163269221782684]","[780.2197943778112, 1015.8783107330953, 0.17845746874809265]","[-6.534013659135826, -3.7058448465457547, -0.9833942729688464]","[2.9929074189917575, 2.5398124616855013, 0.9441589409910941]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000003_RGB.png,"[953.9246464295084, 506.9975864052376, 0.311879962682724]","[994.0870792307076, 479.2671733549636, 0.4298115074634552]","[930.2129506175585, 476.0426184016094, 0.432852566242218]","[1037.5075413758761, 470.95706094114746, 0.6343756914138794]","[888.5677162443878, 457.81556857097416, 0.5756826400756836]","[1091.9934326314378, 559.8296148998327, 0.7897705435752869]","[831.0515517093673, 553.8236473311238, 0.7471855282783508]","[1149.9645667607851, 743.5911070520349, 0.7485374212265015]","[763.4693612236366, 750.4044747522457, 0.7104004621505737]","[1120.0811047776626, 942.4404890423427, 0.30796411633491516]","[785.9565019779242, 941.7870602569774, 0.4072592556476593]","[1041.711751226054, 912.0055947963128, 0.4873824715614319]","[888.0468829382181, 920.8618226330357, 0.5941413640975952]","[1111.0296729580648, 1031.327854198172, 0.4518375098705292]","[759.9444590637246, 1019.04562827624, 0.27445897459983826]","[1094.512963750034, 1020.9369042192691, 0.15275165438652039]","[782.7003172519142, 1036.8593209235726, 0.14134085178375244]","[-7.291749454159694, -4.27764054408754, -1.102915223895738]","[3.1808718338258677, 2.5596825592820545, 1.161727462037615]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000004_RGB.png,"[952.267094432623, 515.5866701586708, 0.3340948820114136]","[991.7042668549808, 489.33938420118454, 0.4670337438583374]","[929.6110626281161, 489.3233794277137, 0.41539570689201355]","[1037.858995350602, 475.11906159213777, 0.609258234500885]","[888.0759627978126, 463.2518747110597, 0.6018303036689758]","[1090.617239126823, 562.2915288339339, 0.7643377780914307]","[831.56408423472, 553.1781395522896, 0.731857180595398]","[1141.6189725779866, 749.0903472166162, 0.5704892873764038]","[766.7657477704666, 752.2128513940427, 0.7217194437980652]","[1115.3112482555969, 938.0130804190833, 0.26218271255493164]","[785.1262611358079, 945.906417681025, 0.3781141936779022]","[1039.3351237458382, 899.3687681984302, 0.4413582682609558]","[889.7080156640833, 908.9477607544025, 0.3899925649166107]","[1104.7373555779016, 1030.6476241989267, 0.4537864029407501]","[774.6655954487353, 1017.0428072001398, 0.3336850106716156]","[1093.4835584217772, 1021.6168086976979, 0.15754257142543793]","[783.4311657381029, 1037.5867514411896, 0.15468661487102509]","[-7.7153374705427336, -4.498708600279666, -0.944833159931153]","[3.4817767771673673, 2.5490982969123435, 1.4590065556095397]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000005_RGB.png,"[956.2441992599231, 508.14331117187226, 0.3456166088581085]","[996.2512501247818, 479.75051751378294, 0.4483514428138733]","[932.6085668120618, 481.2272426971824, 0.30476877093315125]","[1037.4879016199561, 466.94675299057906, 0.6973403096199036]","[891.2270043001396, 454.6275804559907, 0.6013938188552856]","[1087.4925648106207, 553.7677662576493, 0.7769993543624878]","[829.964040915391, 550.4755572279624, 0.7635133862495422]","[1140.277935321538, 739.8549961357771, 0.6233894228935242]","[771.2238096039329, 755.6898477404809, 0.7447612881660461]","[1115.8179756597244, 932.1905980838608, 0.31004467606544495]","[790.3974739685317, 948.385584218393, 0.398837685585022]","[1033.5611440122525, 918.3222177307641, 0.4024989604949951]","[876.973424314355, 932.0570260422157, 0.5575491189956665]","[1113.6737700423869, 1030.6403542340279, 0.5209746956825256]","[776.7187094909626, 1014.8555243281044, 0.3606722056865692]","[1108.965436954612, 995.5944576243139, 0.2104036957025528]","[786.8840735441308, 1014.520454901135, 0.242288738489151]","[-7.896291819142455, -4.524069122728824, -0.9401090153280466]","[3.9003798158497007, 2.6961816819813653, 1.0210979659221127]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000006_RGB.png,"[956.1796376313458, 509.7881678569196, 0.3541279137134552]","[995.58675363166, 481.9953090633745, 0.4728195369243622]","[933.6774686660365, 484.74541742688973, 0.31569939851760864]","[1037.531412902409, 468.0689317514973, 0.670750081539154]","[894.056051461621, 456.67521489780927, 0.602419912815094]","[1088.3034371641638, 556.4573277493221, 0.7702778577804565]","[830.1928820492893, 552.0588904787185, 0.759131669998169]","[1140.206212235001, 743.7970532218496, 0.6260882019996643]","[762.7666702880625, 756.9448389944725, 0.544460654258728]","[1115.8117907642136, 943.2395341395581, 0.2914583384990692]","[795.2802862138731, 946.6335226778258, 0.39489108324050903]","[1028.9256190804026, 914.1203950332397, 0.540482223033905]","[875.6429664844383, 926.9153162409323, 0.5712776780128479]","[1101.3989225922921, 1022.2385534569382, 0.5295059084892273]","[777.4542237755192, 1012.6928725311732, 0.34842392802238464]","[1091.702091500799, 1019.7146820607907, 0.168336883187294]","[785.3683943697075, 1032.3623593525517, 0.1654522716999054]","[-7.739990006042078, -4.281426423247466, -0.8536601531416287]","[3.9674383102164095, 2.6945539349199326, 1.1230915201177283]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000007_RGB.png,"[956.8471723187535, 507.75604990734735, 0.3336690664291382]","[996.2756641860083, 480.0877570795278, 0.442865252494812]","[931.0314184568166, 478.0643196850584, 0.38825953006744385]","[1037.8869901408086, 467.20760367141906, 0.6620169281959534]","[890.7049231641738, 455.8497483609997, 0.5909832119941711]","[1090.7161974549954, 558.5248189609387, 0.7787808179855347]","[832.0525282196623, 550.8385129381995, 0.7361477017402649]","[1143.4859429667274, 744.3541278455739, 0.6036692261695862]","[771.8155521945989, 750.077760359563, 0.6971089839935303]","[1120.9576238291709, 946.3599766851478, 0.3053019940853119]","[788.4476042785585, 949.8902499385297, 0.384237140417099]","[1038.1450196412402, 916.8593271820598, 0.43677330017089844]","[878.102601772825, 927.3701773283206, 0.5728417634963989]","[1113.6762657019788, 1035.0960831683103, 0.4487442672252655]","[772.2471385436176, 1018.9856239390917, 0.2983088195323944]","[1109.0189308754332, 1018.6896170100854, 0.14660945534706116]","[783.0184595964328, 1037.1596681301303, 0.15032772719860077]","[-6.759117266198855, -3.5466074436296964, -0.40997422239700515]","[4.005215103046459, 2.6531224999115683, 1.2631724830658173]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000008_RGB.png,"[954.3430491854648, 520.65817597056, 0.3937085270881653]","[992.442331052599, 495.05118945884624, 0.4668036997318268]","[932.4591527573544, 492.9794664766173, 0.44145071506500244]","[1038.1548937726695, 471.1405461746334, 0.651580274105072]","[888.4254636476403, 461.01733706718335, 0.6389885544776917]","[1089.7560195536835, 558.2252313029521, 0.7693572640419006]","[831.8088216351505, 550.2742768565155, 0.7351348400115967]","[1142.0346626604733, 744.7106816464225, 0.5901104211807251]","[771.9198273627716, 752.8389364308343, 0.7241836786270142]","[1123.6376367102305, 944.746152984593, 0.30178597569465637]","[785.0493839696785, 950.9499287027074, 0.37733012437820435]","[1038.5812175351573, 915.1897309149695, 0.5201587080955505]","[878.3788061855031, 925.0321783183124, 0.5790114998817444]","[1114.072533042423, 1034.0690649927067, 0.45419859886169434]","[773.2019453514595, 1017.5313054385513, 0.3092580735683441]","[1112.4610964945214, 1019.3602983987175, 0.16653963923454285]","[782.4304604951549, 1035.6395944246863, 0.16514058411121368]","[-5.942451642175473, -3.2862354708955355, -0.15840225872265445]","[4.12341456144232, 2.6816795245987612, 1.0527978661300526]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000009_RGB.png,"[953.9181360131812, 513.0498864368077, 0.3427048921585083]","[992.7810897154869, 486.6926829503319, 0.47517624497413635]","[927.8170089022389, 486.482830530721, 0.2862623333930969]","[1038.4897461857613, 466.83862582607946, 0.6956130266189575]","[887.0433022613922, 457.462541245636, 0.6125705242156982]","[1090.1098606810626, 559.8514247945284, 0.7772761583328247]","[831.8433268416842, 551.0331743863804, 0.740310788154602]","[1139.5445369222878, 743.6273483695893, 0.5890863537788391]","[772.7974857371371, 752.7401951165396, 0.7323210835456848]","[1123.6155012947183, 941.1758406707993, 0.28259971737861633]","[784.2530515459327, 948.5642951465725, 0.3724970817565918]","[1037.4595813089331, 913.8798351499524, 0.4226004481315613]","[879.9869875252411, 923.5973910667535, 0.5804084539413452]","[1112.0481190855044, 1023.1820212896769, 0.40481069684028625]","[773.8026940180447, 1016.8600815152251, 0.3314497172832489]","[1112.5197987484044, 1017.8822168785832, 0.17808450758457184]","[785.672973346878, 1018.1464312745256, 0.2106960266828537]","[-5.012910595458172, -3.092067453275152, -0.03918821495770897]","[4.165075808357696, 2.6745554935397156, 0.9569444885671741]"
