,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000000_RGB.png,"[970.8436993665554, 504.86878877320737, 0.6247588992118835]","[1002.2305249865493, 475.3154048978698, 0.6211297512054443]","[939.5817652331034, 475.6738033166779, 0.6110888123512268]","[1037.2444120493217, 500.7559417654869, 0.6732064485549927]","[897.3734341011061, 501.64808581618024, 0.36553773283958435]","[1116.1226631438337, 670.0903513367871, 0.7830350995063782]","[816.9782017489053, 675.4008979348205, 0.7980318665504456]","[1164.349006114745, 898.8111510400122, 0.6379948854446411]","[771.4294845064005, 899.6575051625382, 0.8086704015731812]","[1116.682124920211, 1028.3430453260642, 0.3387484550476074]","[847.9712014345778, 1058.229002968779, 0.47992587089538574]","[1074.3521575098353, 1088.1917835241536, 0.6574727892875671]","[867.5076587490055, 1089.093584692399, 0.6031382083892822]","[1148.4818194422833, 1093.4595783883058, 0.01145924162119627]","[838.1606008177682, 1109.4643518591472, 0.01263475976884365]","[1119.527827896796, 1095.8177596889282, 0.015284916386008263]","[854.1027115314612, 1121.356820856962, 0.01170092262327671]","[2.5627895160213554, -2.3534561949372206, 0.65968334148921]","[0.02711187714972848, 9.911696692721668, -0.8806472330616044]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000001_RGB.png,"[966.8243853400679, 514.2070044320149, 0.6023585200309753]","[996.7317188497234, 488.0640478961708, 0.6191298365592957]","[936.8534667642842, 487.3218604348789, 0.613056480884552]","[1037.7648113277364, 509.7889274054911, 0.6183420419692993]","[897.196296523539, 507.4784891579343, 0.3996816873550415]","[1116.9603367112566, 673.7895698938578, 0.7870570421218872]","[814.9184145299428, 682.379738716679, 0.8263066411018372]","[1162.3580122949722, 906.2493016937492, 0.6995584964752197]","[769.2206630070161, 904.771111666676, 0.8353172540664673]","[1109.3822121064868, 1039.380696660128, 0.3180052638053894]","[846.8522236283537, 1058.7644847116846, 0.46206504106521606]","[1072.5602739227338, 1088.9552383454475, 0.6468270421028137]","[868.3387676466319, 1087.0105769885363, 0.6473202705383301]","[1150.741693456366, 1094.1573865116343, 0.012072041630744934]","[836.219954217592, 1110.4618561474012, 0.01185945887118578]","[1117.1778931235212, 1099.5539791121246, 0.016001105308532715]","[853.4108170362964, 1123.6781097983976, 0.01086993608623743]","[5.331577567398635, -2.1257759070490745, 0.7387457200137482]","[0.07173420118902099, 11.444148610330332, -0.09343495951609715]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000002_RGB.png,"[966.2117551636857, 517.4472386380236, 0.5878656506538391]","[996.7943273534025, 489.3572878460842, 0.6725662350654602]","[935.9452636866507, 488.58726835499374, 0.6594216227531433]","[1038.0014649612272, 512.868788355975, 0.6383090019226074]","[895.1627137302931, 511.846544485678, 0.393642395734787]","[1117.5563653260047, 674.9793484776394, 0.8107404708862305]","[814.421615510714, 683.3226640147236, 0.8303038477897644]","[1166.7327950529207, 911.2145792125675, 0.7004731297492981]","[764.8139792090649, 901.3014937920752, 0.8373612761497498]","[1104.7464701607594, 1036.988010152972, 0.3198060691356659]","[843.1098735631158, 1056.4998363922953, 0.4584939777851105]","[1074.0983597800164, 1091.385142732607, 0.6478065252304077]","[868.201994650293, 1087.1048695183406, 0.6601292490959167]","[1150.2505910514235, 1089.8352296189967, 0.012660064734518528]","[830.0661459447881, 1101.6851638968078, 0.016352219507098198]","[1114.4219253853119, 1095.3964272456244, 0.01753806695342064]","[851.478308456529, 1121.1002019467348, 0.013593417592346668]","[7.465106877265151, -1.9606301526199768, 0.7373710289240607]","[-1.5706264068774254, 11.551588715761612, -0.9040189495631464]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000003_RGB.png,"[971.9348451429811, 535.71438178254, 0.4987490773200989]","[1003.2054598315358, 504.6343052784922, 0.673610508441925]","[937.288362574936, 503.78198327433324, 0.6309360265731812]","[1041.6972112962567, 523.8584796230957, 0.7223794460296631]","[893.5598492305556, 520.5401204211616, 0.631909191608429]","[1120.264915531965, 679.4735973751904, 0.8389661908149719]","[810.9070215099865, 685.6679329896306, 0.8381140828132629]","[1167.4316882456374, 911.5394489872908, 0.7145432829856873]","[758.5664751946199, 897.3476094496752, 0.8261125683784485]","[1103.7782627459776, 1044.16162088995, 0.3234628438949585]","[845.7845696041751, 1054.2653530018881, 0.49464112520217896]","[1076.4984247590098, 1088.286184560897, 0.6500036120414734]","[867.9930645396618, 1084.1756161988908, 0.6205301284790039]","[1149.7824921175036, 1090.9690186223652, 0.012661014683544636]","[834.3040471994588, 1096.487681528989, 0.01756424829363823]","[1114.3196033420372, 1099.9080372533813, 0.017028866335749626]","[854.0792740326835, 1116.3334921258936, 0.016838394105434418]","[9.789596006544437, -1.7664967733347858, 0.5995208080441901]","[0.3474544760382559, 14.311617026461013, 0.30709564993210386]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000004_RGB.png,"[968.1577186038625, 543.2991253105758, 0.5814986824989319]","[999.6595615789688, 514.4662275087732, 0.6128102540969849]","[935.6100857527426, 510.916857034165, 0.4797811210155487]","[1041.8686522595376, 530.8264697110757, 0.6886755228042603]","[891.477546821795, 524.2921818574208, 0.6723790764808655]","[1122.3633312211352, 686.9233582713773, 0.6875355243682861]","[808.0612642799321, 690.6240959255911, 0.786579966545105]","[1172.4412365954802, 905.8778824422868, 0.7198165655136108]","[756.7499062789446, 898.3794019305851, 0.8112350702285767]","[1113.6056276848294, 1039.299858990733, 0.3518790602684021]","[845.4218309078155, 1054.1220153357526, 0.4516982138156891]","[1073.831107189788, 1095.6951468481004, 0.6363570690155029]","[867.1392776918291, 1089.94395357166, 0.6419064402580261]","[1149.3117890170527, 1094.9297389019086, 0.010163485072553158]","[839.2555443370513, 1108.5182798598776, 0.01403597742319107]","[1118.5656968705862, 1097.2796736751834, 0.01390360202640295]","[854.408158564142, 1116.3275242442605, 0.01419805083423853]","[12.290331299155742, -1.5588663236009155, 0.46399383110067194]","[0.24284060656540662, 15.643371655774283, 0.27372030268118225]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000005_RGB.png,"[967.835887023425, 547.1543768456199, 0.6146187782287598]","[1000.5923957317066, 519.572347034135, 0.7406550049781799]","[936.1062879838082, 515.3109540272172, 0.6619400978088379]","[1040.6646592667753, 541.4796809610228, 0.5432774424552917]","[889.8245521163387, 530.000189372225, 0.6541133522987366]","[1122.288678447251, 689.0773295132055, 0.7191054224967957]","[806.1705851250664, 693.3413266866542, 0.7513750791549683]","[1173.157165377586, 909.6777954385504, 0.7377802133560181]","[755.106405930632, 900.9931170720472, 0.8298499584197998]","[1112.1708404332705, 1039.5511610609599, 0.3112887740135193]","[844.9799906530816, 1051.8897020841214, 0.44212979078292847]","[1077.672686850545, 1090.5088406949762, 0.6376634836196899]","[868.7446378511587, 1084.5879425662752, 0.5860069394111633]","[1149.5432343174816, 1091.806258162033, 0.011566337198019028]","[833.9852538133074, 1091.8712538183654, 0.020008888095617294]","[1117.3593167251704, 1098.6070390573445, 0.015798300504684448]","[854.0688031130909, 1111.9963612757037, 0.018634909763932228]","[13.580685107953814, -1.4734438987240277, 0.389455790518527]","[0.37298212456131635, 18.306196592954084, 0.39679734927383137]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000006_RGB.png,"[967.1353662266267, 572.0638807548214, 0.5886121988296509]","[1000.6929816639607, 542.0063736418871, 0.5150407552719116]","[933.3090876088602, 538.3429623746155, 0.36255475878715515]","[1044.4402667087509, 556.4823928521815, 0.6823190450668335]","[887.1049884560916, 548.8965642547578, 0.6816349625587463]","[1122.1682357451991, 696.6312570706266, 0.8199174404144287]","[804.0281698722188, 702.0099460262172, 0.6432232856750488]","[1178.1302553959968, 904.3801611662325, 0.7313132882118225]","[751.7933635686985, 906.4761897027493, 0.8395279049873352]","[1102.2772862617596, 1047.6454531735317, 0.3983510732650757]","[844.4264967583374, 1053.6794155324471, 0.43502187728881836]","[1078.7271572816612, 1093.796166912418, 0.6514267921447754]","[867.0475350750861, 1090.5752469415131, 0.621091902256012]","[1148.0711206789806, 1089.8403294451198, 0.01015839260071516]","[833.4741318781589, 1096.142412449774, 0.015606016851961613]","[1094.6237493345338, 1104.8328416840325, 0.016354268416762352]","[855.2722535711594, 1116.1636787666946, 0.01609637215733528]","[14.9016808044085, -1.4598338372032749, 0.371089606679577]","[-0.1357652546685857, 18.006456111936075, 0.40122718151611736]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000007_RGB.png,"[967.5392290527859, 580.9385547711379, 0.6751323342323303]","[1001.4159633970875, 549.4771848841983, 0.7166942358016968]","[933.9779243795332, 546.7355400619085, 0.5993874669075012]","[1047.095757021645, 562.2655956755641, 0.6169447898864746]","[886.7045435985043, 559.880938681878, 0.7241599559783936]","[1125.7458180238914, 701.7957533290548, 0.8683874607086182]","[805.6259345458333, 708.2536522978046, 0.6882191896438599]","[1183.8626769720277, 897.1303785582268, 0.6955535411834717]","[749.8083918840283, 903.0374963057022, 0.8145859241485596]","[1104.4525248635898, 1035.089572751983, 0.31167033314704895]","[840.4115772628707, 1064.7304132199818, 0.3454747200012207]","[1078.6859246449228, 1090.263397999444, 0.6431654691696167]","[867.5131926028835, 1086.0104685337515, 0.6121417284011841]","[1146.7219454021235, 1088.2219484531358, 0.00976281426846981]","[834.339311954564, 1094.0474689826447, 0.01948942430317402]","[1097.8438012499284, 1095.8513968399513, 0.016612306237220764]","[853.4782540987514, 1114.6418689502298, 0.01867661066353321]","[16.248429055882564, -1.358530754419108, 0.4385631980330094]","[-0.6353838182979838, 17.895170635139067, 0.39426889440170126]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000008_RGB.png,"[967.9565467393543, 604.0194997479282, 0.614594578742981]","[1005.385798259489, 570.4364936869185, 0.4519357681274414]","[934.4091309542662, 564.7575660317087, 0.5105981230735779]","[1055.3952357554601, 579.4689367922286, 0.6379209756851196]","[884.7309108889373, 570.8805040804282, 0.5877346396446228]","[1130.368213616148, 709.6641339950756, 0.8637850880622864]","[801.6359173928178, 718.9270458383662, 0.746069073677063]","[1190.3692955562924, 892.3747364451417, 0.7383233308792114]","[750.2661284052944, 907.9707642775788, 0.8044453263282776]","[1112.8467301549647, 1032.7196727019718, 0.3343220353126526]","[838.7374779578207, 1049.7580832716828, 0.3492615222930908]","[1076.384600980224, 1096.583601662875, 0.6062051057815552]","[866.5850785019829, 1093.7494004218015, 0.6267297267913818]","[1145.989632072261, 1088.0256594008733, 0.008137688972055912]","[835.9283960730756, 1094.9116182431314, 0.017388971522450447]","[1116.7381145006243, 1091.2129422207545, 0.017718156799674034]","[851.8816287479942, 1113.2013308309154, 0.017427649348974228]","[19.986484382683837, -0.9403682568629366, 0.4869848654171293]","[0.42142189973013106, 24.093592984304287, 1.1851907381235425]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000009_RGB.png,"[966.3270980396145, 614.7798073464567, 0.648108959197998]","[1005.4480812423519, 582.4152257010679, 0.7407091856002808]","[934.3651856440581, 578.0240583953629, 0.5899407267570496]","[1056.806911029058, 591.553354564755, 0.6098446846008301]","[885.2497368167395, 581.8313498634639, 0.7047626972198486]","[1130.215544353277, 718.3815814570921, 0.806433916091919]","[799.7118181008062, 723.1444935350758, 0.746729850769043]","[1188.0947731054735, 896.0084168111864, 0.7102011442184448]","[745.5467276097637, 907.6590238424485, 0.7696576118469238]","[1109.310706033827, 1035.656304493259, 0.342152863740921]","[837.2885848042197, 1066.4472100054438, 0.35356470942497253]","[1073.3920881154625, 1101.568301923736, 0.5746002793312073]","[866.0491084778525, 1098.5344479152973, 0.649340033531189]","[1116.8389174467559, 1093.647512406282, 0.00863993912935257]","[837.5664710744489, 1098.1386146026082, 0.0160150695592165]","[1116.2632881364996, 1090.9406983113422, 0.01611863449215889]","[854.0919693445215, 1114.3099462244852, 0.017268318682909012]","[23.39807210685344, -0.6009938900079594, 0.44291593924713357]","[0.028474854463957613, 24.030111330695583, 1.365805551631506]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000010_RGB.png,"[966.9917030396748, 630.2690643511289, 0.5441688895225525]","[1006.7375777028772, 595.4299819667399, 0.5121983885765076]","[933.9040311542203, 593.0702815689745, 0.5320402383804321]","[1061.0123144555623, 600.7336926276298, 0.553507387638092]","[882.3336670903522, 592.2339100848169, 0.6613379716873169]","[1135.5722064002944, 718.5116812766955, 0.6489797234535217]","[802.4095176128881, 728.0291503983765, 0.7092661261558533]","[1187.8554067985128, 909.1535984172783, 0.7721463441848755]","[744.8758834607231, 911.9317015710001, 0.7521710991859436]","[1102.363549278094, 1039.956434477323, 0.26298394799232483]","[834.6713431872472, 1052.1890727282303, 0.32277002930641174]","[1076.372882230835, 1100.2577551170864, 0.5895701050758362]","[865.7552716876218, 1096.2728377901938, 0.623420774936676]","[1148.0747014079604, 1085.7567793108713, 0.010681302286684513]","[835.1065102652459, 1092.401852749026, 0.01855383813381195]","[1096.1364445681406, 1100.6198427718132, 0.017960062250494957]","[853.6128027028453, 1114.1327543934487, 0.019687334075570107]","[22.753136769681856, -0.661303226966391, 0.4388948875425188]","[0.8439334376728843, 25.200189176250888, 1.2884956788135005]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000011_RGB.png,"[970.1949363795577, 658.2231644557091, 0.48125308752059937]","[1007.9932199985013, 620.173795780416, 0.5220839977264404]","[935.2405111192397, 619.0706057337852, 0.6077478528022766]","[1064.830239603664, 615.6094514004096, 0.6959832906723022]","[882.3440837564756, 609.9969299917364, 0.6166551113128662]","[1137.7278052462043, 726.9810818766487, 0.7454650402069092]","[798.1233307704579, 744.3265670831222, 0.7054101824760437]","[1190.9767173996127, 912.0640800363183, 0.7238049507141113]","[740.8827738599523, 920.8148391285415, 0.8988941311836243]","[1098.3422821267084, 1051.4969069657184, 0.3373016119003296]","[839.108625941936, 1058.5901140610565, 0.3652287423610687]","[1078.4192145893885, 1086.9588191787354, 0.559241771697998]","[860.6333644026668, 1085.1565189255107, 0.5845346450805664]","[1119.1156100363503, 1078.1710592203863, 0.016918592154979706]","[832.5000108352132, 1088.781518736452, 0.0208524689078331]","[1090.756779050101, 1102.2773947686985, 0.01813821867108345]","[852.4363704725343, 1115.876243885852, 0.01904260739684105]","[26.416587732778254, -0.7106209367419593, 0.44549938377465953]","[1.1058060435895274, 25.567811662683, 1.3590879268143985]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000012_RGB.png,"[971.4934389160022, 672.8632461574471, 0.6574440002441406]","[1011.494738913105, 635.88625155817, 0.4883582890033722]","[936.0432454523739, 634.2981440021072, 0.46337708830833435]","[1067.1995971189815, 633.331130163652, 0.5442036390304565]","[881.1883763514727, 623.0935004892528, 0.6321532726287842]","[1135.2052359333222, 745.449939420367, 0.7574594616889954]","[800.1230051453334, 750.259835002845, 0.6986860632896423]","[1195.6674723633041, 916.2625390187402, 0.5780146718025208]","[738.7883186740477, 922.0458503490615, 0.8887854814529419]","[1107.215871073637, 1042.8030055094184, 0.33931171894073486]","[832.9351779132119, 1059.4940853680775, 0.381839781999588]","[1076.1012893630555, 1092.264699978401, 0.5610113143920898]","[862.9697358085932, 1085.8365319108784, 0.571848452091217]","[1116.6603150255153, 1078.174205921611, 0.020714212208986282]","[833.5782442859233, 1083.1784374314534, 0.026869021356105804]","[1098.7120737740888, 1098.259599839354, 0.02282584272325039]","[850.901214302599, 1112.6066042994328, 0.024671563878655434]","[26.038632493178042, -0.6602346526483903, 0.42982129125039986]","[1.1841679747394593, 26.10839038228247, 1.472944113268668]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000013_RGB.png,"[969.9173756301448, 695.8609663121892, 0.5417768955230713]","[1010.6184368754746, 660.4374655555021, 0.3770507574081421]","[936.6687879544716, 660.671515022462, 0.3965831696987152]","[1064.8767890804033, 651.121276805268, 0.5863823890686035]","[879.9949627852418, 646.2276138660482, 0.6396835446357727]","[1132.4750928465435, 753.897638632563, 0.6100430488586426]","[795.5007180600155, 759.5210107351147, 0.5838541388511658]","[1186.4578374269574, 911.5500826672917, 0.4414428174495697]","[735.8729542427625, 918.8924216940813, 0.6679787635803223]","[1104.0711229737592, 1053.652722825506, 0.3648204207420349]","[830.0996203354033, 1061.3334949943671, 0.4477754831314087]","[1058.4652225745147, 1077.8721226040327, 0.5822084546089172]","[856.2517457075749, 1069.454588320819, 0.6198674440383911]","[1120.0923894992964, 1065.1406779555293, 0.05804761126637459]","[837.0944116372632, 1075.713702577714, 0.0406828373670578]","[1099.4025034255803, 1096.1168048122204, 0.03983096405863762]","[840.7669374873927, 1110.1739872388036, 0.035298902541399]","[25.58946577067846, -0.6218482323370352, 0.42405536279025047]","[2.135833638649092, 27.622743875148277, 0.585916519910459]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000014_RGB.png,"[969.709476335432, 704.4594901692967, 0.5474346876144409]","[1012.6003161123892, 666.7809982107722, 0.4787590205669403]","[936.7399685063147, 667.356844534906, 0.5111661553382874]","[1069.2951916277432, 654.9505951819424, 0.5505152344703674]","[883.2509847508437, 650.3017238966222, 0.6172632575035095]","[1142.506342323373, 766.7535407398534, 0.6860466003417969]","[795.7723109277954, 767.682360135856, 0.6095556616783142]","[1187.0091611829257, 922.5153598731858, 0.4888240694999695]","[735.6910966133582, 919.8571568868219, 0.6974138617515564]","[1101.6061708453722, 1052.2873800147697, 0.32199013233184814]","[828.5052193768912, 1061.520018422139, 0.44492149353027344]","[1053.4415683226298, 1083.5975997359812, 0.5106097459793091]","[851.8064876928853, 1075.8473831262977, 0.5329704880714417]","[1124.5450802392927, 1062.5778525683577, 0.07166095823049545]","[823.0108077710859, 1066.9234469597727, 0.04405286908149719]","[1097.7720781633911, 1094.960337858646, 0.03761865571141243]","[840.3316619024553, 1110.8625722723355, 0.03477586433291435]","[28.35643446716337, -1.0532626176514355, 0.538204138040343]","[2.653812861188761, 28.05439608685711, 0.7175243932259212]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000015_RGB.png,"[975.1576097318452, 725.9771756790065, 0.46339815855026245]","[1013.8134236880097, 684.6608800907638, 0.46443381905555725]","[937.098692445939, 687.3336230069249, 0.5793038010597229]","[1068.8487940815803, 665.8165885388478, 0.5706358551979065]","[885.5236083302337, 663.2430209647364, 0.5026826858520508]","[1148.596728290457, 776.7209881366771, 0.7202009558677673]","[796.1863734062003, 762.9761971868572, 0.7450748085975647]","[1187.232468462946, 922.9181376299573, 0.4186902940273285]","[735.386843157004, 917.428554582928, 0.602500319480896]","[1099.5276119259997, 1055.3490117995377, 0.3369975984096527]","[828.9364259516242, 1063.8780912158225, 0.4656447768211365]","[1060.815265854728, 1042.0938041575173, 0.4692150354385376]","[851.4785254704066, 1042.4567598677543, 0.4706527292728424]","[1118.0677585285002, 1035.9897463161467, 0.07020772993564606]","[845.0070631343085, 1061.3292632237542, 0.07115021347999573]","[1088.0928251959813, 1088.6714927005237, 0.07717301696538925]","[857.1769301211283, 1101.5190397735275, 0.05841546878218651]","[30.42502722485585, -1.7596293356295813, 0.6642778838470169]","[2.9680977944870275, 29.026959929039364, 1.4371169501076722]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000016_RGB.png,"[977.0068934895643, 727.0666938513502, 0.45012736320495605]","[1018.8263357529548, 684.3386144825713, 0.432050883769989]","[938.1197427399094, 688.8789788291058, 0.5522830486297607]","[1075.2038284723617, 666.3998133348191, 0.5499038100242615]","[882.3431071940265, 664.9514627159122, 0.50599205493927]","[1150.7329043943246, 773.6966827388515, 0.7189542055130005]","[793.6634785725018, 769.7059060372642, 0.7591233849525452]","[1189.0770864222973, 925.7771869600128, 0.424279123544693]","[736.4981712240439, 918.9199824565328, 0.62647944688797]","[1096.2806502897863, 1057.777505596493, 0.39939168095588684]","[829.1239801953147, 1062.8095148826642, 0.45315900444984436]","[1068.832301026885, 1021.5026593980961, 0.27420905232429504]","[859.7974811997336, 1021.7261836919938, 0.2968258559703827]","[1120.6793035311864, 1030.9519861622196, 0.08420232683420181]","[846.7623798830393, 1056.0971671424627, 0.08021804690361023]","[1087.997881624544, 1085.0257680642742, 0.10553815215826035]","[857.2600464362379, 1096.9580591086235, 0.06978455185890198]","[30.194938433702593, -1.9709423852799834, 0.7030898448528018]","[3.195921020078534, 29.354834423939344, 1.5926791687012067]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/15/base_2_ID15_/RGB/000017_RGB.png,"[973.4379917659746, 747.6925608311831, 0.32133108377456665]","[1014.8261189476935, 703.3283053324594, 0.443517804145813]","[941.5124291949114, 703.5235093153342, 0.41088593006134033]","[1074.464570698417, 679.7193655915391, 0.5681660175323486]","[884.9301296285472, 674.4626384351434, 0.5576817989349365]","[1160.0465974849665, 782.6826848743615, 0.6873222589492798]","[793.64665999699, 768.4611144355185, 0.7679515480995178]","[1192.6828805050736, 918.7845657969285, 0.4399319887161255]","[735.7838700460197, 914.1337413867102, 0.5752514004707336]","[1094.8998994937426, 1059.7944325746355, 0.4427172839641571]","[827.4100045902611, 1063.2362726729073, 0.4883153736591339]","[1068.38785660562, 1006.8324127673754, 0.3229706287384033]","[858.9529174416978, 983.267635350541, 0.21225108206272125]","[1117.2942125618993, 1025.5212138760119, 0.0776762142777443]","[848.9605134489533, 1048.7235781173033, 0.088936947286129]","[1085.8989234006801, 1082.8687586281599, 0.13155533373355865]","[855.8721341822343, 1092.504066285362, 0.0988125130534172]","[29.182958397221086, -2.2766633219883055, 0.6295786013397368]","[2.7741464276391716, 30.074764868863333, 1.928937199641339]"
