,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/19/base_2_ID19/RGB/000000_RGB.png,"[989.3440239225216, 508.2114535294295, 0.5060290098190308]","[1018.4656586884322, 479.1200379459706, 0.44262251257896423]","[959.612688667576, 478.39287869570046, 0.32420340180397034]","[1048.6722543352575, 486.61092297195717, 0.5507642030715942]","[923.9416835835195, 489.7824722857147, 0.5625190138816833]","[1109.1641131595281, 633.7581049677726, 0.6374010443687439]","[856.1592435422602, 633.7304356983823, 0.7249086499214172]","[1125.6760480622524, 888.3097409974257, 0.42780181765556335]","[848.3530916056328, 869.3749546585627, 0.4072923958301544]","[1113.3983794317494, 1043.4232311715157, 0.30889567732810974]","[871.5966342301932, 1037.320149892594, 0.42065349221229553]","[1081.8145052109214, 1026.3274204311872, 0.4577637314796448]","[906.0947335594493, 1024.837186133909, 0.46088308095932007]","[1140.6540203713682, 1067.1288505948935, 0.06687092036008835]","[875.1777429843961, 1076.442218164719, 0.0807313621044159]","[1131.9168246464928, 1088.7100126637927, 0.038455408066511154]","[884.8080050689443, 1102.2929112609447, 0.03958173096179962]","[-0.2928404994022137, -0.2437536399099339, 0.3307408155978865]","[1.8347287108285926, -1.2524885656850506, 0.769476185849519]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/19/base_2_ID19/RGB/000001_RGB.png,"[990.9401609920543, 508.69756461518784, 0.5207531452178955]","[1020.595215869034, 479.8724793129777, 0.3170117437839508]","[960.4280098056092, 478.73771374716034, 0.39407169818878174]","[1048.8979487679314, 486.3087854009093, 0.547326385974884]","[923.8674648373903, 489.42005911017145, 0.5617813467979431]","[1109.1111617734007, 629.3775713420684, 0.6007906794548035]","[857.52339277667, 633.4261822420281, 0.7281333208084106]","[1128.3276321253504, 878.8584611084038, 0.40357112884521484]","[847.7198993643509, 864.5552934515943, 0.38965877890586853]","[1112.4096642055374, 1036.9509007799072, 0.3343207836151123]","[871.1164910260679, 1032.8843862350482, 0.475261926651001]","[1080.012855999329, 1031.7284618161677, 0.41787734627723694]","[904.5192128082858, 1025.1236444523024, 0.4275638461112976]","[1144.8791720607314, 1081.653914941519, 0.04719487950205803]","[870.1452996704695, 1077.3657207207214, 0.08019943535327911]","[1131.9948411354796, 1090.6721436378484, 0.038086049258708954]","[881.424541703739, 1097.7459279911438, 0.048063840717077255]","[-0.297611490461279, -0.2486779503719251, 0.36708352815223977]","[2.1817127263480205, -1.0599519573427105, 0.5984624097823129]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/19/base_2_ID19/RGB/000002_RGB.png,"[990.686580276113, 511.3113882635886, 0.3662111759185791]","[1019.0973860860405, 481.80607296213293, 0.3139585554599762]","[959.5586522120609, 480.49113162446247, 0.4239371716976166]","[1049.7628575769895, 485.46319082695493, 0.5572153329849243]","[923.6767096390056, 487.5970340316385, 0.5527002215385437]","[1108.2275897708716, 632.4569982647972, 0.6274414658546448]","[857.2976983439964, 633.541525117957, 0.7304940223693848]","[1125.2801062426247, 874.306486519419, 0.452691912651062]","[843.2985128761941, 860.7087224716531, 0.42169588804244995]","[1112.7553673125074, 1034.0624460694407, 0.34306514263153076]","[869.1691712491564, 1027.6603196672268, 0.46874457597732544]","[1078.0029819722079, 1028.2911790093247, 0.45587441325187683]","[908.0596857139135, 1006.4562192106066, 0.3624240756034851]","[1138.8863338316157, 1064.247014807693, 0.10057903081178665]","[873.0838303331855, 1068.8781994619912, 0.13341917097568512]","[1128.795948073148, 1083.6873349743569, 0.0545327365398407]","[883.2784912598257, 1086.890351300362, 0.07758501172065735]","[-0.2968958637682358, -0.26366920261792676, 0.4001405237616933]","[2.352696471487373, -0.9534710435644177, 0.54329038434742]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/19/base_2_ID19/RGB/000003_RGB.png,"[985.4294190919619, 507.80270789102497, 0.531795859336853]","[1015.6266831420518, 478.8564745916609, 0.4144585132598877]","[956.5507313619918, 477.7785666617672, 0.34983184933662415]","[1049.6034608839138, 483.8325485508884, 0.5503159761428833]","[923.6297261345115, 486.17749200497894, 0.576363205909729]","[1106.1469692196622, 634.396885316402, 0.5920712947845459]","[857.1781236974549, 632.7180659595149, 0.7197843194007874]","[1123.598465705329, 870.6106316774506, 0.3938533663749695]","[841.7284174719699, 860.6593518145057, 0.45500943064689636]","[1112.1097510267346, 1030.5836051050433, 0.3304107189178467]","[867.3211895747028, 1028.306261473816, 0.44302114844322205]","[1082.7591666199867, 1021.0659189694848, 0.4943884015083313]","[910.7560288892605, 1003.4944138095213, 0.38997384905815125]","[1147.0979219450148, 1060.423555805713, 0.12347669899463654]","[874.8126171353833, 1070.275551819669, 0.11183752864599228]","[1130.5974887778016, 1075.8346878144598, 0.06198709085583687]","[881.994311639301, 1089.3891575936502, 0.07032173871994019]","[0.13326109456196988, -0.6579629763594604, -0.15514508477888397]","[2.444948201202103, -0.8554803844574971, 0.49038544842943993]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/19/base_2_ID19/RGB/000004_RGB.png,"[983.7087160567037, 512.5198300408413, 0.4511931240558624]","[1016.904677867066, 484.0590025321335, 0.36207863688468933]","[955.8533572664182, 481.2808451249424, 0.3560621440410614]","[1053.1459954213785, 490.55032163802923, 0.5937132835388184]","[922.7051385091214, 488.3895144590574, 0.6016097068786621]","[1111.8099463548706, 638.8362297029275, 0.7045863270759583]","[854.9591567992941, 634.0809131106589, 0.7299655675888062]","[1129.7569940299702, 890.8003007633663, 0.4482186436653137]","[843.7178379411303, 861.12886133863, 0.45433229207992554]","[1124.253630601715, 1041.214789446417, 0.38531842827796936]","[870.0181837916824, 1031.5005972447184, 0.42302218079566956]","[1080.0100348189208, 1040.4709743810433, 0.5384076833724976]","[907.249844176289, 1006.0023346856674, 0.3561609387397766]","[1141.2296496816246, 1063.7457127505045, 0.0796595960855484]","[872.5679340927304, 1067.5132906790102, 0.1245078295469284]","[1135.0978140639245, 1086.8440188375007, 0.046940457075834274]","[882.1403619789061, 1093.7054551115934, 0.06223674118518829]","[0.13236172414942513, -0.6054516683767327, -0.12419941245288128]","[1.7932885067650846, -0.3061717916916961, 0.8640970577610092]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/19/base_2_ID19/RGB/000005_RGB.png,"[989.8004041070528, 516.087104160349, 0.413743793964386]","[1018.3568262288305, 486.2361942588618, 0.43418267369270325]","[960.3409872407034, 485.5279152159404, 0.4766846001148224]","[1054.4650057692534, 488.43107261661225, 0.6279736161231995]","[924.451991716627, 490.58352476129755, 0.5665526390075684]","[1110.9146556029523, 635.1145502095283, 0.6872561573982239]","[858.5856214539093, 631.6148759128839, 0.7143787145614624]","[1127.701981116314, 883.4063124337149, 0.4154163897037506]","[840.9972434649646, 852.4565527631485, 0.5015824437141418]","[1120.2510266438005, 1039.2044813915406, 0.381050169467926]","[869.3517341736627, 1029.5104714804559, 0.4275776147842407]","[1074.3019187971777, 1022.5178503173718, 0.49194180965423584]","[905.2790326471304, 997.2221702130332, 0.43831223249435425]","[1138.266433690335, 1065.4441718633118, 0.09309592843055725]","[872.6241406870212, 1069.306476349377, 0.1195337101817131]","[1127.9425409996013, 1087.7066490008442, 0.04586746543645859]","[882.7944418059043, 1093.6846217793463, 0.06885389238595963]","[0.15654731466302527, -0.7124020932330859, -0.17245209900232744]","[2.0642578061119314, 0.15289592401210364, 0.9258881265700067]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/19/base_2_ID19/RGB/000006_RGB.png,"[989.24680170537, 518.2026639458472, 0.4350545406341553]","[1018.5957585080358, 488.10549754678686, 0.47684746980667114]","[958.4198718895085, 487.21704273201215, 0.5250123143196106]","[1055.462618564446, 489.4061159685375, 0.6448699235916138]","[923.4044657295931, 493.65264352484166, 0.5960648059844971]","[1111.5455149450506, 637.1862731917574, 0.7040218710899353]","[857.1701484374541, 635.2062385728018, 0.7388819456100464]","[1126.9769377513503, 871.8071376914368, 0.4852451980113983]","[831.929915378835, 847.7059019692476, 0.5500246286392212]","[1121.6700803892356, 1026.2069777291356, 0.36827409267425537]","[851.7063357883864, 1009.4733631504726, 0.46479156613349915]","[1073.605087236298, 1027.166613095753, 0.49580228328704834]","[897.6648837386836, 1020.4972341033106, 0.4662433862686157]","[1135.8727706207296, 1071.1351437887267, 0.06596657633781433]","[871.2753451844497, 1073.0384640019608, 0.11585585027933121]","[1127.8566035040833, 1083.816675245389, 0.038426730781793594]","[865.2602630328829, 1088.051158531488, 0.06501379609107971]","[-0.08940472978215687, -0.8133273653081557, -0.16927119587167105]","[2.034930873744467, 1.2488081369740658, 0.9219382319013641]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/19/base_2_ID19/RGB/000007_RGB.png,"[983.6943931407841, 520.5240613942213, 0.5482707023620605]","[1014.3413099452005, 489.27525660036235, 0.6250923871994019]","[955.3894901031108, 488.6485747754076, 0.48337307572364807]","[1053.4199754418114, 494.5446790685962, 0.627393901348114]","[922.2966098845945, 495.3177910074419, 0.6441792249679565]","[1113.6183229966673, 641.9208649587181, 0.7480077147483826]","[856.3953546410573, 635.9170675287849, 0.7437418699264526]","[1126.2729447325107, 887.0940292552743, 0.5567960143089294]","[833.8507594626828, 852.2081803802687, 0.6079598069190979]","[1120.6509832201634, 1033.425944366526, 0.4219834506511688]","[864.1343407825766, 1025.8736444131869, 0.3891914486885071]","[1074.2416974461519, 1029.315810032275, 0.6567142605781555]","[897.9303459644219, 1000.3017056427007, 0.3977682292461395]","[1133.8268722899318, 1072.53379822967, 0.06821334362030029]","[870.9624654264621, 1072.9627261586888, 0.12892508506774902]","[1125.7097937202145, 1088.0528946425084, 0.033317919820547104]","[881.0376602134997, 1090.6146349602923, 0.06462237238883972]","[0.2179438269088447, -0.8315438438146568, -0.15252331616876286]","[2.365292151408096, 1.8795327784346638, 0.7809342297001839]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/19/base_2_ID19/RGB/000008_RGB.png,"[987.2628608366183, 526.642876179267, 0.4528522789478302]","[1015.4526380122403, 492.82712273456264, 0.6157770752906799]","[956.661299932614, 492.8343926994612, 0.5039301514625549]","[1056.159775646142, 496.08450103689927, 0.6440014243125916]","[922.4315925164435, 497.05010428515027, 0.6284528374671936]","[1115.717064206654, 640.280348551222, 0.7359421849250793]","[857.6910902505626, 636.971103932146, 0.7554144859313965]","[1126.705019362754, 877.7727406789177, 0.49475806951522827]","[833.7787108553295, 854.03760736819, 0.5954522490501404]","[1122.0412826268202, 1024.2520082130395, 0.3840450942516327]","[854.0087987759425, 1015.7607977183907, 0.4772784411907196]","[1071.204262708733, 1028.3548725823916, 0.4601851999759674]","[899.9834600066494, 1005.504613357459, 0.41338416934013367]","[1135.1585779496443, 1074.5215368412792, 0.060634925961494446]","[871.6513759808104, 1076.1412199165286, 0.09704593569040298]","[1126.0136131488136, 1085.3325171802205, 0.03277567774057388]","[878.8859133639165, 1092.3516140363681, 0.05421493574976921]","[0.3279726197033561, -0.6010622046347107, -0.11258839814753147]","[2.522282210363512, 2.824107226251727, 0.5493256758999066]"
0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/19/base_2_ID19/RGB/000009_RGB.png,"[990.3371879332241, 530.9017735265926, 0.5515899062156677]","[1020.0316308289827, 496.2172050230338, 0.5237821936607361]","[960.563100944397, 495.6303994980825, 0.5297417640686035]","[1055.9310430191824, 496.41512167937833, 0.6383891105651855]","[921.8846090380265, 496.3815930352937, 0.6330659985542297]","[1112.5967301680032, 634.3342768127227, 0.6852695941925049]","[856.2462661071662, 634.5537863498855, 0.7252516150474548]","[1128.8239428633547, 866.8329626036382, 0.5591292381286621]","[836.2433374629002, 846.1473083005346, 0.5616003274917603]","[1116.6617256157194, 1026.243544567506, 0.41469138860702515]","[864.2372596140145, 1022.000597740182, 0.37048986554145813]","[1072.9619666101173, 1018.3814573039349, 0.5557842254638672]","[899.7656865805071, 998.7188064196996, 0.42681223154067993]","[1135.2024147529137, 1073.3491193677035, 0.06125244125723839]","[870.211543156598, 1073.372014331787, 0.1106528490781784]","[1123.12580947998, 1082.7330164477396, 0.033815961331129074]","[864.0240434793012, 1086.5494224986983, 0.06784568727016449]","[0.3178489502717443, -0.5987330848807667, -0.10290092544906593]","[2.446688161845753, 3.37795496513356, 0.36434030244275034]"
