,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000000_RGB.png,"[954.0, 444.0, 1.0]","[978.0, 414.0, 1.0]","[918.0, 420.0, 1.0]","[1032.0, 444.0, 1.0]","[870.0, 444.0, 1.0]","[1092.0, 570.0, 1.0]","[828.0, 570.0, 1.0]","[1164.0, 738.0, 1.0]","[738.0, 750.0, 1.0]","[1152.0, 894.0, 1.0]","[732.0, 924.0, 1.0]","[1068.0, 924.0, 1.0]","[858.0, 906.0, 1.0]","[1158.0, 1020.0, 0.0]","[738.0, 1008.0, 0.0]","[696.0, 1074.0, 0.0]","[690.0, 1074.0, 0.0]","[-4.8255075385452635, -1.8953594831666873, -0.011928314098980299]","[2.5612798752181254, 2.5320374833315578, 0.27595551039945726]"
1,1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000001_RGB.png,"[954.0, 438.0, 1.0]","[984.0, 414.0, 1.0]","[930.0, 414.0, 1.0]","[1026.0, 444.0, 1.0]","[876.0, 438.0, 1.0]","[1092.0, 570.0, 1.0]","[828.0, 570.0, 1.0]","[1170.0, 762.0, 1.0]","[750.0, 744.0, 1.0]","[1140.0, 900.0, 1.0]","[750.0, 918.0, 1.0]","[1068.0, 930.0, 1.0]","[870.0, 906.0, 1.0]","[1104.0, 1104.0, 0.0]","[840.0, 1080.0, 0.0]","[684.0, 1068.0, 0.0]","[684.0, 1068.0, 0.0]","[-5.587810528377727, -2.5977147651729933, -0.4021517541671143]","[2.661718964126819, 2.540598561823469, 0.4908722785629664]"
2,2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000002_RGB.png,"[960.0, 444.0, 1.0]","[990.0, 420.0, 1.0]","[936.0, 420.0, 1.0]","[1038.0, 444.0, 1.0]","[876.0, 444.0, 1.0]","[1092.0, 576.0, 1.0]","[834.0, 570.0, 1.0]","[1152.0, 750.0, 1.0]","[762.0, 756.0, 1.0]","[1134.0, 942.0, 1.0]","[762.0, 936.0, 1.0]","[1026.0, 918.0, 1.0]","[876.0, 918.0, 1.0]","[1086.0, 1098.0, 0.0]","[858.0, 1098.0, 0.0]","[1086.0, 1062.0, 0.0]","[774.0, 978.0, 0.0]","[-6.534013659135826, -3.7058448465457547, -0.9833942729688464]","[2.9929074189917575, 2.5398124616855013, 0.9441589409910941]"
3,3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000003_RGB.png,"[954.0, 450.0, 1.0]","[990.0, 426.0, 1.0]","[930.0, 426.0, 1.0]","[1032.0, 450.0, 1.0]","[876.0, 444.0, 1.0]","[1086.0, 570.0, 1.0]","[834.0, 564.0, 1.0]","[1152.0, 756.0, 1.0]","[768.0, 756.0, 1.0]","[1128.0, 942.0, 1.0]","[768.0, 930.0, 1.0]","[1020.0, 918.0, 0.0]","[864.0, 912.0, 1.0]","[1146.0, 1020.0, 0.0]","[786.0, 1020.0, 0.0]","[768.0, 983.9999999999999, 0.0]","[768.0, 996.0000000000001, 0.0]","[-7.291749454159694, -4.27764054408754, -1.102915223895738]","[3.1808718338258677, 2.5596825592820545, 1.161727462037615]"
4,4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000004_RGB.png,"[960.0, 444.0, 1.0]","[990.0, 426.0, 1.0]","[930.0, 420.0, 1.0]","[1044.0, 450.0, 1.0]","[876.0, 444.0, 1.0]","[1092.0, 576.0, 1.0]","[834.0, 570.0, 1.0]","[1152.0, 756.0, 1.0]","[762.0, 756.0, 1.0]","[1134.0, 942.0, 1.0]","[774.0, 942.0, 1.0]","[1050.0, 936.0, 0.0]","[882.0, 918.0, 1.0]","[1080.0, 1074.0, 0.0]","[774.0, 1026.0, 0.0]","[1140.0, 983.9999999999999, 0.0]","[858.0, 1002.0, 0.0]","[-7.7153374705427336, -4.498708600279666, -0.944833159931153]","[3.4817767771673673, 2.5490982969123435, 1.4590065556095397]"
5,5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000005_RGB.png,"[960.0, 456.0, 1.0]","[984.0, 426.0, 1.0]","[936.0, 432.0, 1.0]","[1038.0, 438.0, 0.0]","[882.0, 444.0, 1.0]","[1080.0, 582.0, 1.0]","[834.0, 564.0, 1.0]","[1146.0, 756.0, 1.0]","[768.0, 750.0, 1.0]","[1116.0, 948.0, 1.0]","[774.0, 936.0, 1.0]","[1026.0, 924.0, 1.0]","[882.0, 924.0, 1.0]","[1020.0, 1086.0, 0.0]","[792.0, 1020.0, 0.0]","[780.0, 978.0, 0.0]","[780.0, 990.0, 0.0]","[-7.896291819142455, -4.524069122728824, -0.9401090153280466]","[3.9003798158497007, 2.6961816819813653, 1.0210979659221127]"
6,6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000006_RGB.png,"[954.0, 450.0, 1.0]","[990.0, 432.0, 1.0]","[936.0, 426.0, 1.0]","[1038.0, 438.0, 1.0]","[876.0, 444.0, 1.0]","[1092.0, 576.0, 1.0]","[834.0, 570.0, 1.0]","[1140.0, 750.0, 1.0]","[762.0, 756.0, 1.0]","[1134.0, 948.0, 1.0]","[780.0, 942.0, 1.0]","[1020.0, 912.0, 1.0]","[870.0, 918.0, 1.0]","[1080.0, 1086.0, 0.0]","[870.0, 1092.0, 0.0]","[1140.0, 978.0, 0.0]","[774.0, 990.0, 0.0]","[-7.739990006042078, -4.281426423247466, -0.8536601531416287]","[3.9674383102164095, 2.6945539349199326, 1.1230915201177283]"
7,7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000007_RGB.png,"[954.0, 444.0, 1.0]","[984.0, 414.0, 1.0]","[930.0, 414.0, 1.0]","[1032.0, 438.0, 0.0]","[876.0, 438.0, 1.0]","[1092.0, 576.0, 1.0]","[834.0, 570.0, 1.0]","[1140.0, 756.0, 1.0]","[762.0, 756.0, 1.0]","[1134.0, 942.0, 1.0]","[774.0, 936.0, 1.0]","[1026.0, 918.0, 1.0]","[882.0, 918.0, 1.0]","[1080.0, 1086.0, 0.0]","[876.0, 1092.0, 0.0]","[1140.0, 990.0, 0.0]","[780.0, 990.0, 0.0]","[-6.759117266198855, -3.5466074436296964, -0.40997422239700515]","[4.005215103046459, 2.6531224999115683, 1.2631724830658173]"
8,8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000008_RGB.png,"[960.0, 438.0, 1.0]","[984.0, 414.0, 1.0]","[924.0, 414.0, 1.0]","[1032.0, 444.0, 1.0]","[876.0, 438.0, 1.0]","[1092.0, 570.0, 1.0]","[834.0, 564.0, 1.0]","[1146.0, 756.0, 1.0]","[768.0, 750.0, 1.0]","[1134.0, 942.0, 1.0]","[774.0, 936.0, 1.0]","[1026.0, 918.0, 1.0]","[882.0, 924.0, 1.0]","[1080.0, 1050.0, 0.0]","[876.0, 1098.0, 0.0]","[774.0, 990.0, 0.0]","[774.0, 1056.0, 0.0]","[-5.942451642175473, -3.2862354708955355, -0.15840225872265445]","[4.12341456144232, 2.6816795245987612, 1.0527978661300526]"
9,9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/11/free_2_ID11_/RGB/000009_RGB.png,"[960.0, 438.0, 1.0]","[990.0, 414.0, 1.0]","[930.0, 420.0, 1.0]","[1032.0, 432.0, 1.0]","[882.0, 444.0, 1.0]","[1092.0, 576.0, 1.0]","[840.0, 564.0, 1.0]","[1140.0, 738.0, 1.0]","[774.0, 762.0, 1.0]","[1140.0, 948.0, 1.0]","[774.0, 936.0, 1.0]","[1014.0, 918.0, 1.0]","[876.0, 918.0, 1.0]","[1086.0, 1038.0, 0.0]","[864.0, 1038.0, 0.0]","[1158.0, 1002.0, 0.0]","[780.0, 1002.0, 0.0]","[-5.012910595458172, -3.092067453275152, -0.03918821495770897]","[4.165075808357696, 2.6745554935397156, 0.9569444885671741]"
