,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000000_RGB.png,"[984.0, 491.99999999999994, 1.0]","[1008.0, 474.0, 1.0]","[966.0, 468.0, 1.0]","[1032.0, 498.00000000000006, 0.0]","[930.0, 491.99999999999994, 1.0]","[1086.0, 636.0, 1.0]","[876.0, 642.0, 1.0]","[1116.0, 810.0, 0.0]","[816.0, 792.0, 1.0]","[1104.0, 954.0, 0.0]","[834.0, 852.0, 0.0]","[1056.0, 948.0, 1.0]","[888.0, 948.0, 1.0]","[1050.0, 1092.0, 0.0]","[882.0, 1092.0, 0.0]","[744.0, 1074.0, 0.0]","[738.0, 1032.0, 0.0]","[-0.9594386760401209, -0.3640215652562415, 1.154754256164276]","[4.795298257530436, -4.717462732208242, 0.09931163991620236]"
1,1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000001_RGB.png,"[984.0, 491.99999999999994, 1.0]","[1014.0, 474.0, 1.0]","[960.0, 468.0, 1.0]","[1032.0, 491.99999999999994, 0.0]","[930.0, 491.99999999999994, 1.0]","[1086.0, 642.0, 1.0]","[870.0, 642.0, 1.0]","[1110.0, 822.0, 0.0]","[822.0, 816.0, 1.0]","[1092.0, 948.0, 0.0]","[828.0, 846.0, 0.0]","[1056.0, 954.0, 1.0]","[888.0, 948.0, 1.0]","[1044.0, 1092.0, 0.0]","[834.0, 1092.0, 0.0]","[756.0, 1080.0, 0.0]","[750.0, 1080.0, 0.0]","[-0.9993556749468399, -0.33826697259243976, 1.013986737825139]","[4.900288011938129, -4.754537427011075, 0.11682679525982145]"
2,2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000002_RGB.png,"[984.0, 491.99999999999994, 1.0]","[1008.0, 474.0, 1.0]","[960.0, 468.0, 1.0]","[1026.0, 491.99999999999994, 0.0]","[930.0, 491.99999999999994, 1.0]","[1086.0, 636.0, 1.0]","[870.0, 642.0, 1.0]","[1110.0, 822.0, 0.0]","[816.0, 804.0, 1.0]","[1092.0, 948.0, 0.0]","[822.0, 846.0, 0.0]","[1056.0, 954.0, 1.0]","[888.0, 948.0, 1.0]","[1152.0, 990.0, 0.0]","[828.0, 1092.0, 0.0]","[750.0, 1086.0, 0.0]","[744.0, 1086.0, 0.0]","[-0.986880363894854, -0.29694992535394993, 0.5575016447075419]","[5.022879850327274, -4.744319893452431, 0.127258604009144]"
3,3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000003_RGB.png,"[984.0, 491.99999999999994, 1.0]","[1008.0, 474.0, 1.0]","[966.0, 468.0, 1.0]","[1032.0, 491.99999999999994, 0.0]","[924.0, 491.99999999999994, 1.0]","[1086.0, 636.0, 1.0]","[876.0, 636.0, 1.0]","[1116.0, 810.0, 0.0]","[816.0, 798.0, 1.0]","[1104.0, 954.0, 0.0]","[828.0, 846.0, 0.0]","[1056.0, 948.0, 1.0]","[888.0, 954.0, 1.0]","[1092.0, 1092.0, 0.0]","[846.0, 1092.0, 0.0]","[744.0, 1080.0, 0.0]","[744.0, 1032.0, 0.0]","[-0.8537251834245826, -0.3783849421649828, -0.0598896288058481]","[5.052147274528612, -4.7264871826115975, 0.1146966431296443]"
4,4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000004_RGB.png,"[984.0, 491.99999999999994, 1.0]","[1008.0, 474.0, 1.0]","[960.0, 468.0, 1.0]","[1026.0, 498.00000000000006, 0.0]","[918.0, 498.00000000000006, 1.0]","[1092.0, 642.0, 1.0]","[870.0, 630.0, 1.0]","[1110.0, 822.0, 0.0]","[810.0, 798.0, 1.0]","[1092.0, 954.0, 0.0]","[816.0, 858.0, 0.0]","[1062.0, 948.0, 1.0]","[888.0, 954.0, 1.0]","[1044.0, 1092.0, 0.0]","[840.0, 1092.0, 0.0]","[756.0, 1080.0, 0.0]","[750.0, 1086.0, 0.0]","[-0.757744657750288, -0.3094756448990119, -0.46327275143521385]","[3.1753988339890937, -3.924876793320146, -0.14030079951602972]"
5,5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000005_RGB.png,"[978.0, 491.99999999999994, 1.0]","[1002.0, 474.0, 1.0]","[960.0, 468.0, 1.0]","[1038.0, 491.99999999999994, 0.0]","[918.0, 491.99999999999994, 1.0]","[1092.0, 642.0, 1.0]","[864.0, 642.0, 1.0]","[1122.0, 822.0, 0.0]","[810.0, 804.0, 0.0]","[1098.0, 954.0, 0.0]","[822.0, 852.0, 0.0]","[1056.0, 948.0, 1.0]","[888.0, 948.0, 1.0]","[1092.0, 1092.0, 0.0]","[882.0, 1092.0, 0.0]","[744.0, 1080.0, 0.0]","[744.0, 1080.0, 0.0]","[-0.5036104798029863, -0.20917962628281178, -0.9419086495595654]","[3.179159709972901, -3.9480543379928648, -0.16509327624596076]"
6,6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000006_RGB.png,"[978.0, 491.99999999999994, 1.0]","[1002.0, 468.0, 1.0]","[960.0, 468.0, 1.0]","[1032.0, 498.00000000000006, 0.0]","[912.0, 498.00000000000006, 1.0]","[1092.0, 642.0, 1.0]","[864.0, 642.0, 1.0]","[1122.0, 816.0, 0.0]","[816.0, 804.0, 1.0]","[1116.0, 960.0, 0.0]","[828.0, 852.0, 0.0]","[1056.0, 948.0, 1.0]","[888.0, 954.0, 0.0]","[1050.0, 1092.0, 0.0]","[846.0, 1092.0, 0.0]","[750.0, 1074.0, 0.0]","[744.0, 1080.0, 0.0]","[-0.145456577417085, -0.25876355600127976, -1.538224498098363]","[3.1032924344177686, -3.9090294928202134, -0.20213819421666504]"
7,7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000007_RGB.png,"[972.0, 491.99999999999994, 1.0]","[996.0000000000001, 474.0, 1.0]","[954.0, 474.0, 1.0]","[1032.0, 491.99999999999994, 1.0]","[912.0, 491.99999999999994, 1.0]","[1086.0, 630.0, 1.0]","[876.0, 642.0, 1.0]","[1122.0, 822.0, 0.0]","[822.0, 816.0, 1.0]","[1086.0, 840.0, 0.0]","[804.0, 942.0, 0.0]","[1062.0, 948.0, 1.0]","[888.0, 948.0, 0.0]","[822.0, 1086.0, 0.0]","[828.0, 1092.0, 0.0]","[756.0, 1080.0, 0.0]","[750.0, 1080.0, 0.0]","[0.10593702822703385, -0.26201551829771497, -1.8759686656344932]","[1.5242787685869847, -3.301684972313687, -0.6672301027234917]"
8,8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000008_RGB.png,"[972.0, 491.99999999999994, 1.0]","[996.0000000000001, 474.0, 1.0]","[948.0, 474.0, 1.0]","[1032.0, 491.99999999999994, 1.0]","[912.0, 498.00000000000006, 1.0]","[1086.0, 642.0, 1.0]","[876.0, 642.0, 1.0]","[1122.0, 822.0, 1.0]","[822.0, 804.0, 1.0]","[1122.0, 954.0, 0.0]","[834.0, 858.0, 0.0]","[1056.0, 948.0, 1.0]","[888.0, 948.0, 1.0]","[1098.0, 1092.0, 0.0]","[882.0, 1092.0, 0.0]","[744.0, 1080.0, 0.0]","[744.0, 1080.0, 0.0]","[0.14998331159952172, -0.22652894884881442, -1.9535371864413125]","[1.024804014281042, -3.1149642762676137, -0.7608384791204915]"
9,9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/base_2_ID16/RGB/000009_RGB.png,"[972.0, 498.00000000000006, 1.0]","[990.0, 474.0, 1.0]","[954.0, 474.0, 1.0]","[1032.0, 491.99999999999994, 1.0]","[912.0, 498.00000000000006, 1.0]","[1086.0, 636.0, 1.0]","[870.0, 636.0, 1.0]","[1116.0, 816.0, 0.0]","[822.0, 804.0, 1.0]","[1092.0, 948.0, 0.0]","[822.0, 852.0, 0.0]","[1062.0, 948.0, 1.0]","[882.0, 948.0, 0.0]","[1146.0, 1002.0, 0.0]","[834.0, 1092.0, 0.0]","[756.0, 1080.0, 0.0]","[750.0, 1086.0, 0.0]","[0.3560454454407309, -0.01774417313936454, -2.061835425859732]","[0.2783066072320269, -2.9215220815690457, -0.9767570154063678]"
