,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_1_ID16/RGB/000000_RGB.png,"[978.0, 498.00000000000006, 1.0]","[1002.0, 474.0, 1.0]","[954.0, 474.0, 1.0]","[1038.0, 498.00000000000006, 1.0]","[918.0, 498.00000000000006, 1.0]","[1092.0, 624.0, 1.0]","[858.0, 642.0, 1.0]","[1152.0, 822.0, 1.0]","[804.0, 798.0, 1.0]","[1056.0, 930.0, 1.0]","[900.0, 918.0, 0.0]","[1080.0, 960.0, 0.0]","[893.9999999999999, 954.0, 0.0]","[1002.0, 1056.0, 0.0]","[930.0, 1056.0, 0.0]","[978.0, 1056.0, 0.0]","[948.0, 1050.0, 0.0]","[1.4162326692688019, 1.4101668902525335, 1.1563447791012433]","[1.5405442407892695, 15.302736647719115, -1.270443879634189]"
1,1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_1_ID16/RGB/000001_RGB.png,"[978.0, 498.00000000000006, 1.0]","[1002.0, 480.0, 1.0]","[954.0, 480.0, 1.0]","[1038.0, 498.00000000000006, 1.0]","[918.0, 498.00000000000006, 1.0]","[1092.0, 630.0, 1.0]","[858.0, 642.0, 1.0]","[1152.0, 816.0, 1.0]","[798.0, 798.0, 1.0]","[1056.0, 930.0, 1.0]","[900.0, 918.0, 0.0]","[1074.0, 960.0, 0.0]","[893.9999999999999, 954.0, 1.0]","[1014.0, 1056.0, 0.0]","[798.0, 816.0, 0.0]","[984.0, 1056.0, 0.0]","[948.0, 1056.0, 0.0]","[1.2917093296497544, 1.4214139498270628, 1.0839497061743255]","[1.5304507174524173, 15.275959869800838, -1.2489712987842763]"
2,2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_1_ID16/RGB/000002_RGB.png,"[978.0, 498.00000000000006, 1.0]","[1002.0, 480.0, 1.0]","[954.0, 480.0, 1.0]","[1032.0, 498.00000000000006, 1.0]","[918.0, 491.99999999999994, 1.0]","[1092.0, 624.0, 1.0]","[864.0, 642.0, 1.0]","[1146.0, 816.0, 1.0]","[798.0, 798.0, 1.0]","[1050.0, 936.0, 1.0]","[893.9999999999999, 918.0, 0.0]","[1074.0, 966.0000000000001, 0.0]","[876.0, 954.0, 0.0]","[1104.0, 960.0, 0.0]","[942.0, 1050.0, 0.0]","[1104.0, 966.0000000000001, 0.0]","[893.9999999999999, 1050.0, 0.0]","[1.3469351050769376, 1.3941923429020413, 1.0157405589417665]","[1.513422531639034, 15.267114101316723, -1.2268111968763902]"
3,3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_1_ID16/RGB/000003_RGB.png,"[978.0, 498.00000000000006, 1.0]","[1002.0, 480.0, 1.0]","[954.0, 480.0, 1.0]","[1032.0, 498.00000000000006, 1.0]","[918.0, 491.99999999999994, 1.0]","[1092.0, 624.0, 1.0]","[864.0, 642.0, 1.0]","[1146.0, 816.0, 1.0]","[798.0, 804.0, 1.0]","[1050.0, 930.0, 1.0]","[893.9999999999999, 918.0, 0.0]","[1074.0, 966.0000000000001, 1.0]","[870.0, 960.0, 1.0]","[1110.0, 966.0000000000001, 0.0]","[942.0, 1050.0, 0.0]","[1110.0, 966.0000000000001, 0.0]","[906.0, 942.0, 0.0]","[1.417574321721866, 1.2845801282585445, 1.131599901127797]","[1.507590252957143, 15.270370773348432, -1.2140667912249707]"
4,4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_1_ID16/RGB/000004_RGB.png,"[978.0, 498.00000000000006, 1.0]","[1002.0, 480.0, 1.0]","[954.0, 480.0, 1.0]","[1032.0, 498.00000000000006, 1.0]","[918.0, 491.99999999999994, 1.0]","[1086.0, 624.0, 1.0]","[864.0, 642.0, 1.0]","[1146.0, 816.0, 1.0]","[804.0, 792.0, 1.0]","[1050.0, 930.0, 1.0]","[888.0, 918.0, 0.0]","[1068.0, 960.0, 0.0]","[864.0, 954.0, 1.0]","[1116.0, 960.0, 0.0]","[936.0, 1050.0, 0.0]","[1116.0, 966.0000000000001, 0.0]","[1104.0, 1044.0, 0.0]","[1.4296537928146653, 1.2856168363216514, 1.1766262330407837]","[1.5115250591979148, 15.23083988108819, -1.1878077652930497]"
5,5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_1_ID16/RGB/000005_RGB.png,"[972.0, 491.99999999999994, 1.0]","[996.0000000000001, 474.0, 1.0]","[954.0, 474.0, 1.0]","[1032.0, 498.00000000000006, 1.0]","[912.0, 491.99999999999994, 1.0]","[1086.0, 624.0, 1.0]","[858.0, 636.0, 1.0]","[1146.0, 816.0, 1.0]","[810.0, 804.0, 1.0]","[1056.0, 930.0, 1.0]","[893.9999999999999, 918.0, 0.0]","[1062.0, 966.0000000000001, 1.0]","[888.0, 948.0, 1.0]","[1104.0, 966.0000000000001, 0.0]","[1104.0, 1050.0, 0.0]","[1110.0, 966.0000000000001, 0.0]","[882.0, 1050.0, 0.0]","[1.5308185683170803, 1.4201752257303386, 1.249639664384029]","[1.521864771831943, 15.239403279782318, -1.1717620968862685]"
6,6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_1_ID16/RGB/000006_RGB.png,"[978.0, 498.00000000000006, 1.0]","[1002.0, 480.0, 1.0]","[954.0, 480.0, 1.0]","[1038.0, 498.00000000000006, 1.0]","[918.0, 498.00000000000006, 1.0]","[1086.0, 624.0, 1.0]","[864.0, 636.0, 1.0]","[1146.0, 816.0, 1.0]","[798.0, 792.0, 1.0]","[1062.0, 924.0, 1.0]","[882.0, 918.0, 0.0]","[1074.0, 960.0, 1.0]","[888.0, 942.0, 0.0]","[1116.0, 972.0, 0.0]","[924.0, 1056.0, 0.0]","[1116.0, 966.0000000000001, 0.0]","[942.0, 1056.0, 0.0]","[1.6144927828538138, 1.7355668612505732, 1.1974382936138255]","[1.5316931755998038, 15.253857211244563, -1.1487990630502816]"
7,7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_1_ID16/RGB/000007_RGB.png,"[978.0, 498.00000000000006, 1.0]","[996.0000000000001, 474.0, 1.0]","[954.0, 474.0, 1.0]","[1032.0, 498.00000000000006, 1.0]","[918.0, 491.99999999999994, 1.0]","[1086.0, 624.0, 1.0]","[858.0, 636.0, 1.0]","[1146.0, 816.0, 1.0]","[810.0, 798.0, 1.0]","[1062.0, 930.0, 1.0]","[906.0, 918.0, 0.0]","[1062.0, 960.0, 1.0]","[882.0, 948.0, 1.0]","[1116.0, 960.0, 0.0]","[930.0, 1056.0, 0.0]","[1110.0, 966.0000000000001, 0.0]","[1098.0, 954.0, 0.0]","[1.698138870176115, 1.92081356799778, 1.0512256230448782]","[1.536705691083113, 15.490188644722158, -1.1275503035960486]"
8,8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_1_ID16/RGB/000008_RGB.png,"[978.0, 498.00000000000006, 1.0]","[996.0000000000001, 474.0, 1.0]","[954.0, 474.0, 1.0]","[1032.0, 498.00000000000006, 1.0]","[912.0, 498.00000000000006, 1.0]","[1086.0, 624.0, 1.0]","[858.0, 636.0, 1.0]","[1146.0, 816.0, 1.0]","[804.0, 798.0, 1.0]","[1056.0, 924.0, 1.0]","[900.0, 912.0, 0.0]","[1068.0, 960.0, 1.0]","[882.0, 948.0, 0.0]","[1116.0, 966.0000000000001, 0.0]","[930.0, 1056.0, 0.0]","[1116.0, 966.0000000000001, 0.0]","[942.0, 1056.0, 0.0]","[1.741522005023348, 1.9408899143273621, 0.9267843041571739]","[1.5422926859567307, 15.48646792990083, -1.1147098416578658]"
9,9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/16/free_1_ID16/RGB/000009_RGB.png,"[978.0, 498.00000000000006, 1.0]","[996.0000000000001, 474.0, 1.0]","[954.0, 474.0, 1.0]","[1032.0, 498.00000000000006, 1.0]","[918.0, 498.00000000000006, 1.0]","[1092.0, 630.0, 1.0]","[864.0, 642.0, 1.0]","[1146.0, 816.0, 1.0]","[810.0, 804.0, 1.0]","[1062.0, 930.0, 1.0]","[893.9999999999999, 918.0, 0.0]","[1068.0, 960.0, 1.0]","[893.9999999999999, 954.0, 1.0]","[1110.0, 972.0, 0.0]","[804.0, 858.0, 0.0]","[1116.0, 960.0, 0.0]","[1104.0, 948.0, 0.0]","[1.7494795237202336, 1.8299806725218315, 0.8405962924504241]","[1.541613180210562, 15.500113435791889, -1.0899670069925942]"
