,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_1_ID21/RGB/000783_RGB.png,"[960.0, 552.0, 1.0]","[978.0, 528.0, 1.0]","[936.0, 528.0, 1.0]","[1002.0, 552.0, 1.0]","[900.0, 546.0, 1.0]","[1056.0, 648.0, 1.0]","[852.0, 666.0, 1.0]","[1104.0, 816.0, 1.0]","[804.0, 816.0, 1.0]","[1080.0, 948.0, 0.0]","[816.0, 948.0, 1.0]","[1008.0, 942.0, 1.0]","[870.0, 966.0000000000001, 0.0]","[1068.0, 1002.0, 0.0]","[840.0, 1080.0, 0.0]","[822.0, 1080.0, 0.0]","[828.0, 1080.0, 0.0]","[1.6544243428634748, -1.7906499969604601, 4.281589546056187]","[-3.50798033447703, -13.22171658598174, -2.6851544483204797]"
1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_1_ID21/RGB/000784_RGB.png,"[954.0, 546.0, 1.0]","[978.0, 528.0, 1.0]","[936.0, 528.0, 1.0]","[1008.0, 546.0, 1.0]","[900.0, 546.0, 1.0]","[1050.0, 654.0, 1.0]","[852.0, 672.0, 1.0]","[1098.0, 816.0, 1.0]","[798.0, 810.0, 1.0]","[1080.0, 948.0, 0.0]","[828.0, 948.0, 1.0]","[1020.0, 930.0, 1.0]","[888.0, 942.0, 1.0]","[1068.0, 996.0000000000001, 0.0]","[852.0, 1080.0, 0.0]","[996.0000000000001, 1080.0, 0.0]","[834.0, 1080.0, 0.0]","[1.8693962149856778, -1.5964230868040608, 5.441208697448767]","[-3.6386861142150764, -13.13168027726379, -2.553719798830462]"
2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_1_ID21/RGB/000785_RGB.png,"[954.0, 546.0, 1.0]","[984.0, 528.0, 1.0]","[942.0, 528.0, 1.0]","[1002.0, 552.0, 1.0]","[900.0, 540.0, 1.0]","[1050.0, 654.0, 1.0]","[852.0, 672.0, 1.0]","[1098.0, 822.0, 1.0]","[810.0, 804.0, 1.0]","[1068.0, 948.0, 0.0]","[828.0, 942.0, 1.0]","[1014.0, 942.0, 1.0]","[882.0, 948.0, 1.0]","[1062.0, 1008.0, 0.0]","[852.0, 1013.9999999999999, 0.0]","[822.0, 1074.0, 0.0]","[834.0, 1080.0, 0.0]","[2.3496111788668625, -1.5376066696993036, 6.319497901770782]","[-1.7651469858157571, -12.067054895614069, -3.041072726735046]"
3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_1_ID21/RGB/000786_RGB.png,"[960.0, 546.0, 1.0]","[984.0, 528.0, 1.0]","[942.0, 528.0, 1.0]","[1008.0, 546.0, 1.0]","[906.0, 546.0, 1.0]","[1056.0, 648.0, 1.0]","[852.0, 666.0, 1.0]","[1098.0, 810.0, 1.0]","[816.0, 816.0, 1.0]","[1074.0, 954.0, 0.0]","[840.0, 942.0, 1.0]","[1014.0, 942.0, 1.0]","[893.9999999999999, 948.0, 1.0]","[1068.0, 1002.0, 0.0]","[864.0, 1080.0, 0.0]","[834.0, 1080.0, 0.0]","[834.0, 1080.0, 0.0]","[2.8963208102736324, -1.3222785192046038, 7.281175455321605]","[-0.1375995602394098, -10.889099556362993, -3.2564404436613716]"
4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_1_ID21/RGB/000787_RGB.png,"[960.0, 546.0, 1.0]","[990.0, 528.0, 1.0]","[948.0, 528.0, 1.0]","[1008.0, 546.0, 1.0]","[906.0, 546.0, 1.0]","[1056.0, 654.0, 1.0]","[846.0, 666.0, 1.0]","[1110.0, 810.0, 1.0]","[822.0, 828.0, 1.0]","[1080.0, 954.0, 0.0]","[846.0, 954.0, 1.0]","[1020.0, 930.0, 1.0]","[893.9999999999999, 942.0, 1.0]","[1026.0, 1002.0, 0.0]","[864.0, 1008.0, 0.0]","[840.0, 1080.0, 0.0]","[846.0, 1080.0, 0.0]","[3.425315290542367, -1.2596007722753677, 7.9693069525288305]","[-0.07773075697536494, -10.430936483807981, -3.0732144458666544]"
5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_1_ID21/RGB/000788_RGB.png,"[960.0, 540.0, 1.0]","[990.0, 522.0, 1.0]","[948.0, 522.0, 1.0]","[1008.0, 546.0, 1.0]","[912.0, 540.0, 1.0]","[1050.0, 648.0, 1.0]","[852.0, 678.0, 1.0]","[1104.0, 810.0, 1.0]","[816.0, 834.0, 1.0]","[1080.0, 960.0, 1.0]","[834.0, 954.0, 1.0]","[1026.0, 936.0, 1.0]","[893.9999999999999, 942.0, 1.0]","[1080.0, 1080.0, 0.0]","[876.0, 1080.0, 0.0]","[1092.0, 996.0000000000001, 0.0]","[846.0, 1080.0, 0.0]","[3.75867529699893, -1.3172733547305013, 8.336361095086401]","[1.0317517294314942, -9.231412375741773, -2.844047582415357]"
6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_1_ID21/RGB/000789_RGB.png,"[966.0, 546.0, 1.0]","[990.0, 528.0, 1.0]","[948.0, 528.0, 1.0]","[1020.0, 540.0, 1.0]","[906.0, 546.0, 1.0]","[1050.0, 654.0, 1.0]","[852.0, 672.0, 1.0]","[1092.0, 822.0, 1.0]","[816.0, 828.0, 1.0]","[1080.0, 954.0, 0.0]","[834.0, 948.0, 1.0]","[1020.0, 942.0, 1.0]","[900.0, 948.0, 1.0]","[1080.0, 942.0, 0.0]","[870.0, 1080.0, 0.0]","[840.0, 1080.0, 0.0]","[846.0, 1080.0, 0.0]","[3.8799002036612698, -1.3891440673187523, 8.551238217341854]","[1.7332980589396771, -8.212944458481436, -2.596044214797968]"
7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_1_ID21/RGB/000790_RGB.png,"[966.0, 546.0, 1.0]","[990.0, 528.0, 1.0]","[948.0, 528.0, 1.0]","[1008.0, 546.0, 1.0]","[906.0, 546.0, 1.0]","[1050.0, 654.0, 1.0]","[852.0, 672.0, 1.0]","[1098.0, 822.0, 1.0]","[810.0, 828.0, 1.0]","[1074.0, 954.0, 0.0]","[834.0, 954.0, 1.0]","[1020.0, 942.0, 1.0]","[893.9999999999999, 966.0000000000001, 1.0]","[1026.0, 1002.0, 0.0]","[870.0, 1080.0, 0.0]","[840.0, 1080.0, 0.0]","[792.0, 1002.0, 0.0]","[3.9011924180999036, -1.3950344551717435, 8.619246637630694]","[1.8181405466512743, -7.484231073626163, -2.4497073068871162]"
8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_1_ID21/RGB/000791_RGB.png,"[966.0, 546.0, 1.0]","[990.0, 528.0, 1.0]","[954.0, 528.0, 1.0]","[1008.0, 546.0, 1.0]","[906.0, 546.0, 1.0]","[1050.0, 654.0, 1.0]","[852.0, 660.0, 1.0]","[1104.0, 828.0, 1.0]","[810.0, 828.0, 1.0]","[1074.0, 954.0, 0.0]","[828.0, 948.0, 1.0]","[1020.0, 948.0, 1.0]","[888.0, 966.0000000000001, 1.0]","[1020.0, 1002.0, 0.0]","[852.0, 1008.0, 0.0]","[840.0, 1080.0, 0.0]","[780.0, 1080.0, 0.0]","[3.9132482903397303, -1.4155496304923956, 8.680916762612922]","[1.53482990542873, -6.376650981015067, -2.05234725757648]"
9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/21/free_1_ID21/RGB/000792_RGB.png,"[966.0, 546.0, 1.0]","[990.0, 528.0, 1.0]","[948.0, 528.0, 1.0]","[1014.0, 552.0, 1.0]","[906.0, 540.0, 1.0]","[1056.0, 654.0, 1.0]","[852.0, 660.0, 1.0]","[1098.0, 828.0, 1.0]","[816.0, 828.0, 1.0]","[1062.0, 954.0, 0.0]","[840.0, 954.0, 1.0]","[1008.0, 948.0, 1.0]","[882.0, 966.0000000000001, 1.0]","[1068.0, 1008.0, 0.0]","[846.0, 1013.9999999999999, 0.0]","[834.0, 1080.0, 0.0]","[840.0, 1080.0, 0.0]","[3.9037320302724137, -1.4400334924474445, 8.744567390145338]","[1.4198562088483442, -5.737932702710616, -1.9003837952178426]"
