,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_2_ID22/RGB/000000_RGB.png,"[960.0, 504.0, 1.0]","[984.0, 480.0, 1.0]","[936.0, 480.0, 1.0]","[1008.0, 510.0, 1.0]","[900.0, 510.0, 1.0]","[1050.0, 648.0, 1.0]","[852.0, 636.0, 1.0]","[1122.0, 834.0, 1.0]","[768.0, 822.0, 1.0]","[1086.0, 960.0, 1.0]","[822.0, 948.0, 1.0]","[1020.0, 942.0, 0.0]","[870.0, 960.0, 1.0]","[1128.0, 978.0, 0.0]","[852.0, 1074.0, 0.0]","[1080.0, 918.0, 0.0]","[1008.0, 972.0, 0.0]","[-8.480187667722985, -0.8617671285410118, 1.1374750378257679]","[1.3682724581380528, -14.071257180620403, 0.11195340708372165]"
1,1,1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_2_ID22/RGB/000001_RGB.png,"[960.0, 504.0, 1.0]","[978.0, 486.0, 1.0]","[936.0, 480.0, 1.0]","[1002.0, 510.0, 1.0]","[900.0, 510.0, 1.0]","[1050.0, 648.0, 1.0]","[858.0, 642.0, 1.0]","[1122.0, 834.0, 1.0]","[774.0, 822.0, 1.0]","[1086.0, 960.0, 1.0]","[822.0, 948.0, 1.0]","[1014.0, 948.0, 0.0]","[864.0, 954.0, 1.0]","[1128.0, 978.0, 0.0]","[858.0, 1074.0, 0.0]","[1080.0, 954.0, 0.0]","[1002.0, 972.0, 0.0]","[-8.758265971903533, -0.8603552662040759, 1.11199479692778]","[1.1270778312989524, -14.160028666562756, 0.22386632660213954]"
2,2,2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_2_ID22/RGB/000002_RGB.png,"[960.0, 504.0, 1.0]","[984.0, 486.0, 1.0]","[936.0, 480.0, 1.0]","[1008.0, 510.0, 1.0]","[900.0, 510.0, 1.0]","[1050.0, 654.0, 1.0]","[858.0, 642.0, 1.0]","[1122.0, 834.0, 1.0]","[768.0, 816.0, 1.0]","[1086.0, 960.0, 1.0]","[822.0, 948.0, 1.0]","[1020.0, 948.0, 0.0]","[870.0, 960.0, 1.0]","[1128.0, 978.0, 0.0]","[858.0, 1074.0, 0.0]","[1080.0, 954.0, 0.0]","[1008.0, 972.0, 0.0]","[-8.818850513644051, -0.8924383935805442, 1.1032662725603088]","[1.1045801781070135, -14.133825128934495, 0.15216551907734588]"
3,3,3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_2_ID22/RGB/000003_RGB.png,"[960.0, 504.0, 1.0]","[978.0, 480.0, 1.0]","[936.0, 480.0, 1.0]","[1002.0, 504.0, 1.0]","[900.0, 504.0, 1.0]","[1056.0, 648.0, 1.0]","[864.0, 642.0, 1.0]","[1122.0, 828.0, 1.0]","[768.0, 822.0, 1.0]","[1092.0, 954.0, 1.0]","[816.0, 942.0, 1.0]","[1020.0, 942.0, 0.0]","[870.0, 960.0, 1.0]","[1128.0, 972.0, 0.0]","[858.0, 1074.0, 0.0]","[1086.0, 918.0, 0.0]","[828.0, 972.0, 0.0]","[-8.729298157906605, -0.9379454896621984, 1.1466145021386513]","[1.0676992613073208, -14.129158949078423, 0.09932831030753533]"
4,4,4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_2_ID22/RGB/000004_RGB.png,"[960.0, 504.0, 1.0]","[978.0, 486.0, 1.0]","[936.0, 486.0, 1.0]","[1008.0, 510.0, 1.0]","[900.0, 510.0, 1.0]","[1056.0, 654.0, 1.0]","[864.0, 642.0, 1.0]","[1116.0, 834.0, 1.0]","[768.0, 822.0, 1.0]","[1092.0, 960.0, 1.0]","[816.0, 948.0, 1.0]","[1020.0, 948.0, 0.0]","[870.0, 966.0000000000001, 1.0]","[1128.0, 972.0, 0.0]","[858.0, 1074.0, 0.0]","[1122.0, 972.0, 0.0]","[828.0, 972.0, 0.0]","[-8.490853947079955, -0.9622638103470346, 1.2709043039401233]","[0.9946071128721742, -14.151190465245067, 0.18347184532173652]"
5,5,5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_2_ID22/RGB/000005_RGB.png,"[960.0, 498.00000000000006, 1.0]","[978.0, 480.0, 1.0]","[936.0, 480.0, 1.0]","[1008.0, 504.0, 1.0]","[900.0, 510.0, 1.0]","[1050.0, 648.0, 1.0]","[858.0, 642.0, 1.0]","[1122.0, 822.0, 1.0]","[774.0, 822.0, 1.0]","[1104.0, 948.0, 1.0]","[810.0, 942.0, 1.0]","[1020.0, 948.0, 0.0]","[864.0, 966.0000000000001, 1.0]","[1074.0, 744.0, 0.0]","[882.0, 1074.0, 0.0]","[1086.0, 912.0, 0.0]","[828.0, 966.0000000000001, 0.0]","[-8.291723319908465, -0.9550344190889062, 1.3766976054150295]","[0.9435743612816115, -14.062280633986509, 0.16637940071020554]"
6,6,6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_2_ID22/RGB/000006_RGB.png,"[960.0, 504.0, 1.0]","[978.0, 486.0, 1.0]","[930.0, 486.0, 1.0]","[1008.0, 510.0, 1.0]","[900.0, 510.0, 1.0]","[1050.0, 654.0, 1.0]","[852.0, 636.0, 1.0]","[1122.0, 822.0, 1.0]","[774.0, 822.0, 1.0]","[1104.0, 954.0, 1.0]","[810.0, 942.0, 1.0]","[1020.0, 942.0, 1.0]","[888.0, 942.0, 1.0]","[852.0, 1074.0, 0.0]","[864.0, 1074.0, 0.0]","[828.0, 1050.0, 0.0]","[822.0, 978.0, 0.0]","[-8.181192717422674, -0.9529012161726629, 1.4297075854783516]","[1.062884807555434, -13.962165766587862, 0.1323151062260685]"
7,7,7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_2_ID22/RGB/000007_RGB.png,"[960.0, 504.0, 1.0]","[984.0, 486.0, 1.0]","[936.0, 486.0, 1.0]","[1008.0, 516.0, 1.0]","[900.0, 504.0, 1.0]","[1056.0, 654.0, 1.0]","[852.0, 636.0, 1.0]","[1128.0, 828.0, 1.0]","[768.0, 816.0, 1.0]","[1116.0, 942.0, 1.0]","[804.0, 930.0, 1.0]","[1020.0, 942.0, 1.0]","[870.0, 960.0, 1.0]","[852.0, 1074.0, 0.0]","[852.0, 1074.0, 0.0]","[822.0, 1050.0, 0.0]","[816.0, 978.0, 0.0]","[-8.054309275199925, -0.9379857364846691, 1.4764331425623214]","[1.0849427036207413, -13.739000639002944, 0.020862104233921406]"
8,8,8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_2_ID22/RGB/000008_RGB.png,"[960.0, 504.0, 1.0]","[978.0, 486.0, 1.0]","[936.0, 486.0, 1.0]","[1002.0, 510.0, 1.0]","[900.0, 510.0, 1.0]","[1056.0, 654.0, 1.0]","[846.0, 636.0, 1.0]","[1122.0, 822.0, 1.0]","[762.0, 816.0, 1.0]","[1116.0, 966.0000000000001, 1.0]","[804.0, 942.0, 1.0]","[1014.0, 942.0, 1.0]","[888.0, 942.0, 1.0]","[1020.0, 1080.0, 0.0]","[840.0, 1080.0, 0.0]","[1116.0, 972.0, 0.0]","[786.0, 990.0, 0.0]","[-7.985419647330471, -0.9361178016749163, 1.4849209503142777]","[1.201242440117655, -13.177897997250447, -0.21345721946497162]"
9,9,9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/base_2_ID22/RGB/000009_RGB.png,"[954.0, 504.0, 1.0]","[978.0, 486.0, 1.0]","[936.0, 486.0, 1.0]","[1008.0, 510.0, 1.0]","[900.0, 510.0, 1.0]","[1056.0, 654.0, 1.0]","[846.0, 636.0, 1.0]","[1122.0, 822.0, 1.0]","[762.0, 822.0, 1.0]","[1116.0, 948.0, 1.0]","[798.0, 942.0, 1.0]","[1014.0, 948.0, 1.0]","[888.0, 942.0, 1.0]","[834.0, 1080.0, 0.0]","[834.0, 1080.0, 0.0]","[810.0, 1080.0, 0.0]","[810.0, 1080.0, 0.0]","[-7.281575762689138, -0.9629775624640927, 1.6676940429128073]","[1.4369457297859236, -12.769569619333362, -0.4345508377697992]"
