,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,im_path,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,head_ypr,shoulder_ypr
0,0,0,0,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/free_1_ID22/RGB/000000_RGB.png,"[972.0, 504.0, 1.0]","[990.0, 486.0, 1.0]","[954.0, 486.0, 1.0]","[1014.0, 504.0, 1.0]","[912.0, 504.0, 1.0]","[1068.0, 636.0, 1.0]","[846.0, 636.0, 1.0]","[1128.0, 804.0, 1.0]","[792.0, 798.0, 1.0]","[1050.0, 936.0, 1.0]","[876.0, 930.0, 1.0]","[1038.0, 978.0, 0.0]","[882.0, 972.0, 1.0]","[1080.0, 1080.0, 0.0]","[882.0, 1080.0, 0.0]","[1008.0, 1080.0, 0.0]","[900.0, 1080.0, 0.0]","[-1.8733901448122094, 0.6598130197876099, 1.0870830455306644]","[4.508004282381127, -9.330673593343601, -0.6307188334879638]"
1,1,1,1,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/free_1_ID22/RGB/000001_RGB.png,"[972.0, 510.0, 1.0]","[990.0, 486.0, 1.0]","[954.0, 486.0, 1.0]","[1014.0, 504.0, 1.0]","[912.0, 504.0, 1.0]","[1074.0, 630.0, 1.0]","[858.0, 636.0, 1.0]","[1128.0, 804.0, 1.0]","[798.0, 792.0, 1.0]","[1044.0, 936.0, 1.0]","[882.0, 930.0, 1.0]","[1062.0, 972.0, 0.0]","[888.0, 930.0, 1.0]","[1086.0, 1080.0, 0.0]","[882.0, 1080.0, 0.0]","[1086.0, 1080.0, 0.0]","[900.0, 1080.0, 0.0]","[-1.82951291948326, 0.608564080584989, 1.0062173255345799]","[5.865941255505919, -7.966375650518004, -0.11254262553777154]"
2,2,2,2,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/free_1_ID22/RGB/000002_RGB.png,"[972.0, 510.0, 1.0]","[990.0, 486.0, 1.0]","[954.0, 486.0, 1.0]","[1014.0, 504.0, 1.0]","[912.0, 504.0, 1.0]","[1068.0, 624.0, 1.0]","[858.0, 630.0, 1.0]","[1122.0, 798.0, 1.0]","[798.0, 792.0, 1.0]","[1056.0, 930.0, 1.0]","[882.0, 930.0, 1.0]","[1062.0, 972.0, 0.0]","[893.9999999999999, 930.0, 1.0]","[1092.0, 1080.0, 0.0]","[882.0, 1080.0, 0.0]","[1080.0, 983.9999999999999, 0.0]","[900.0, 1080.0, 0.0]","[-1.7611090292684142, 0.6253146390726991, 0.9932420464261944]","[5.5648827612181915, -7.86864751226764, -0.23286889394370647]"
3,3,3,3,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/free_1_ID22/RGB/000003_RGB.png,"[978.0, 504.0, 1.0]","[996.0000000000001, 486.0, 1.0]","[954.0, 486.0, 1.0]","[1014.0, 504.0, 1.0]","[912.0, 504.0, 1.0]","[1062.0, 630.0, 1.0]","[846.0, 636.0, 1.0]","[1128.0, 804.0, 1.0]","[792.0, 792.0, 1.0]","[1050.0, 936.0, 1.0]","[876.0, 930.0, 1.0]","[1038.0, 978.0, 0.0]","[888.0, 936.0, 1.0]","[1080.0, 1080.0, 0.0]","[882.0, 1080.0, 0.0]","[1008.0, 1080.0, 0.0]","[900.0, 1080.0, 0.0]","[-1.574704972350672, 0.7786584278915079, 0.9310908984926504]","[5.862279201228792, -7.73707777576154, -0.16244605063212125]"
4,4,4,4,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/free_1_ID22/RGB/000004_RGB.png,"[972.0, 504.0, 1.0]","[990.0, 486.0, 1.0]","[954.0, 486.0, 1.0]","[1014.0, 504.0, 1.0]","[912.0, 504.0, 1.0]","[1068.0, 624.0, 1.0]","[858.0, 630.0, 1.0]","[1122.0, 810.0, 1.0]","[798.0, 786.0, 1.0]","[1050.0, 930.0, 1.0]","[882.0, 930.0, 1.0]","[1056.0, 972.0, 0.0]","[893.9999999999999, 930.0, 1.0]","[1086.0, 1080.0, 0.0]","[882.0, 1080.0, 0.0]","[1080.0, 983.9999999999999, 0.0]","[900.0, 1080.0, 0.0]","[-1.5224132707371953, 0.8151049801464133, 0.8726983514235565]","[6.011494131816094, -7.509697184489954, -0.04966179323633548]"
5,5,5,5,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/free_1_ID22/RGB/000005_RGB.png,"[972.0, 504.0, 1.0]","[990.0, 486.0, 1.0]","[948.0, 486.0, 1.0]","[1008.0, 504.0, 1.0]","[912.0, 504.0, 1.0]","[1068.0, 636.0, 1.0]","[840.0, 636.0, 1.0]","[1128.0, 804.0, 1.0]","[792.0, 798.0, 1.0]","[1050.0, 936.0, 1.0]","[882.0, 930.0, 1.0]","[1056.0, 983.9999999999999, 0.0]","[888.0, 972.0, 1.0]","[1074.0, 1080.0, 0.0]","[882.0, 1080.0, 0.0]","[1008.0, 1080.0, 0.0]","[900.0, 1080.0, 0.0]","[-1.4993454765351673, 0.9194844902268895, 0.7861556033662748]","[6.10841026761204, -7.150088806710135, 0.037439887045497874]"
6,6,6,6,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/free_1_ID22/RGB/000006_RGB.png,"[966.0, 504.0, 1.0]","[990.0, 486.0, 1.0]","[954.0, 486.0, 1.0]","[1014.0, 504.0, 1.0]","[906.0, 504.0, 1.0]","[1062.0, 630.0, 1.0]","[840.0, 642.0, 1.0]","[1128.0, 804.0, 1.0]","[804.0, 792.0, 1.0]","[1050.0, 936.0, 1.0]","[882.0, 936.0, 1.0]","[1032.0, 972.0, 0.0]","[888.0, 936.0, 1.0]","[1074.0, 1038.0, 0.0]","[893.9999999999999, 1068.0, 0.0]","[1092.0, 1062.0, 0.0]","[900.0, 1002.0, 0.0]","[-1.5853558344635084, 1.111889686523066, 0.7265017332002042]","[6.317081840518662, -7.201653891053229, 0.0005948532854760041]"
7,7,7,7,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/free_1_ID22/RGB/000007_RGB.png,"[966.0, 504.0, 1.0]","[990.0, 486.0, 1.0]","[948.0, 486.0, 1.0]","[1008.0, 510.0, 1.0]","[906.0, 504.0, 1.0]","[1056.0, 630.0, 1.0]","[840.0, 642.0, 1.0]","[1128.0, 804.0, 1.0]","[798.0, 792.0, 1.0]","[1050.0, 936.0, 1.0]","[882.0, 936.0, 1.0]","[1026.0, 972.0, 1.0]","[888.0, 936.0, 1.0]","[1074.0, 1038.0, 0.0]","[900.0, 1062.0, 0.0]","[1086.0, 1062.0, 0.0]","[900.0, 996.0000000000001, 0.0]","[-1.592445009221556, 1.0499575948314053, 0.9402896060615227]","[6.282094933216622, -7.078670984600561, 0.00013794623843342053]"
8,8,8,8,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/free_1_ID22/RGB/000008_RGB.png,"[966.0, 504.0, 1.0]","[984.0, 486.0, 1.0]","[948.0, 486.0, 1.0]","[1014.0, 504.0, 1.0]","[906.0, 504.0, 1.0]","[1068.0, 624.0, 1.0]","[846.0, 636.0, 1.0]","[1128.0, 810.0, 1.0]","[798.0, 792.0, 1.0]","[1050.0, 936.0, 1.0]","[882.0, 936.0, 1.0]","[1062.0, 972.0, 0.0]","[893.9999999999999, 936.0, 1.0]","[1080.0, 1080.0, 0.0]","[876.0, 1074.0, 0.0]","[1074.0, 990.0, 0.0]","[906.0, 1080.0, 0.0]","[-1.4505986359948286, 0.751829918724467, 1.4223903099613715]","[6.372111452400062, -6.901126166532065, 0.039823208475068095]"
9,9,9,9,C:/Users/User/Desktop/General_fold/Thesis code/dataset/22/free_1_ID22/RGB/000009_RGB.png,"[966.0, 504.0, 1.0]","[990.0, 486.0, 1.0]","[948.0, 486.0, 1.0]","[1014.0, 504.0, 1.0]","[906.0, 504.0, 1.0]","[1068.0, 624.0, 1.0]","[846.0, 636.0, 1.0]","[1122.0, 810.0, 1.0]","[798.0, 786.0, 1.0]","[1044.0, 936.0, 1.0]","[893.9999999999999, 936.0, 1.0]","[1050.0, 936.0, 0.0]","[900.0, 930.0, 1.0]","[1074.0, 1074.0, 0.0]","[876.0, 1074.0, 0.0]","[1080.0, 1080.0, 0.0]","[912.0, 996.0000000000001, 0.0]","[-1.0169494452288976, -0.013488166767142058, 3.142717282627628]","[6.272195987704314, -6.767419925213755, 0.07148856666768032]"
